block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31324.562500,51685526,0.415925,0.140622,0.000000,0.000000,0.000000,0.015845,491366528,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31329.677734,51693967,0.415857,0.140599,0.000000,0.000000,0.000000,0.015842,491366528,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31416.714844,51837581,0.414705,0.140210,0.000000,0.000000,0.000000,0.015798,491366528,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31474.308594,51932607,0.413882,0.139931,0.000000,0.000000,0.000000,0.015767,491289728,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31439.519531,51875206,0.414404,0.140108,0.000000,0.000000,0.000000,0.015787,491366528,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31485.388672,51950892,0.413801,0.139904,0.000000,0.000000,0.000000,0.015764,491366528,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31971.597656,52753136,0.407508,0.137776,0.000000,0.000000,0.000000,0.015524,491366528,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31933.478516,52690239,0.407930,0.137919,0.000000,0.000000,0.000000,0.015540,491289728,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31781.970703,52440252,0.409939,0.138598,0.000000,0.000000,0.000000,0.015617,491366528,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31863.039062,52574014,0.408896,0.138246,0.000000,0.000000,0.000000,0.015577,491366528,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31521.992188,52011287,0.413320,0.139741,0.000000,0.000000,0.000000,0.015746,491366528,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31544.988281,52049231,0.412954,0.139618,0.000000,0.000000,0.000000,0.015732,491289728,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31368.652344,51758276,0.415341,0.140424,0.000000,0.000000,0.000000,0.015823,491366528,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31409.710938,51826024,0.414798,0.140241,0.000000,0.000000,0.000000,0.015802,491366528,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31469.171875,51924133,0.414014,0.139976,0.000000,0.000000,0.000000,0.015772,491366528,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31484.562500,51949530,0.413747,0.139886,0.000000,0.000000,0.000000,0.015762,491289728,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31489.500000,51957675,0.413747,0.139886,0.000000,0.000000,0.000000,0.015762,491366528,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31541.519531,52043508,0.413064,0.139655,0.000000,0.000000,0.000000,0.015736,491366528,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32015.236328,52825140,0.406952,0.137588,0.000000,0.000000,0.000000,0.015503,491366528,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32045.158203,52874513,0.406509,0.137438,0.000000,0.000000,0.000000,0.015486,491289728,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32225.484375,53172046,0.404297,0.136691,0.000000,0.000000,0.000000,0.015402,491366528,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32258.453125,53226448,0.403884,0.136551,0.000000,0.000000,0.000000,0.015386,491366528,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31613.494141,52162265,0.412124,0.139337,0.000000,0.000000,0.000000,0.015700,491366528,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31618.972656,52171302,0.411988,0.139291,0.000000,0.000000,0.000000,0.015695,491289728,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32215.212891,53155101,0.404426,0.136734,0.000000,0.000000,0.000000,0.015407,491366528,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32252.755859,53217048,0.403955,0.136575,0.000000,0.000000,0.000000,0.015389,491366528,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32060.128906,52899211,0.406382,0.137396,0.000000,0.000000,0.000000,0.015481,491366528,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32083.746094,52938181,0.406020,0.137273,0.000000,0.000000,0.000000,0.015467,491289728,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31491.257812,51960575,0.413723,0.139878,0.000000,0.000000,0.000000,0.015761,491366528,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31536.611328,52035408,0.413129,0.139677,0.000000,0.000000,0.000000,0.015738,491366528,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31461.890625,51912121,0.414110,0.140008,0.000000,0.000000,0.000000,0.015776,491366528,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31489.234375,51957235,0.413685,0.139865,0.000000,0.000000,0.000000,0.015759,491289728,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31376.890625,51771867,0.415232,0.140388,0.000000,0.000000,0.000000,0.015818,491366528,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31411.880859,51829604,0.414769,0.140231,0.000000,0.000000,0.000000,0.015801,491366528,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31523.740234,52014171,0.413297,0.139734,0.000000,0.000000,0.000000,0.015745,491366528,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31566.589844,52084874,0.412672,0.139522,0.000000,0.000000,0.000000,0.015721,491289728,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31817.337891,52498609,0.409483,0.138444,0.000000,0.000000,0.000000,0.015599,491366528,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31847.339844,52548110,0.409098,0.138314,0.000000,0.000000,0.000000,0.015585,491366528,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31912.972656,52656405,0.408256,0.138029,0.000000,0.000000,0.000000,0.015553,491366528,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31946.750000,52712138,0.407729,0.137851,0.000000,0.000000,0.000000,0.015533,491251328,
