block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31324.562500,51685526,6014,399,2409531,9154,2411546,9133,93.778259,99.622124,99.614380,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31329.677734,51693967,6013,400,2415205,5521,2413191,5540,93.762672,99.771446,99.763489,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31416.714844,51837581,6013,400,2416844,1923,2418776,1914,93.762672,99.920708,99.912567,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31474.308594,51932607,6012,400,2419296,1017,2417381,1008,93.761696,99.958153,99.949951,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31439.519531,51875206,6013,400,2418344,1513,2418181,1514,93.762672,99.937454,99.929283,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31485.388672,51950892,6013,400,2414438,5257,2414602,5255,93.762672,99.782791,99.774826,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31971.597656,52753136,6013,400,2410613,9655,2409777,9603,93.762672,99.602081,99.594345,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31933.478516,52690239,6013,399,2418544,457,2419430,459,93.777290,99.981071,99.972855,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31781.970703,52440252,6013,400,2419781,457,2419049,455,93.762672,99.981155,99.972923,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31863.039062,52574014,6013,400,2417486,2018,2418233,2004,93.762672,99.916901,99.908752,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31521.992188,52011287,6013,400,2418213,1377,2418785,1366,93.762672,99.943329,99.935143,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31544.988281,52049231,6012,400,2418363,1457,2417789,1470,93.761696,99.939514,99.931335,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31368.652344,51758276,6013,400,2418369,1014,2419553,995,93.762672,99.958488,99.950294,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31409.710938,51826024,6013,400,2418673,1874,2417506,1876,93.762672,99.922516,99.914368,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31469.171875,51924133,6014,399,2417467,2557,2417348,2558,93.778259,99.894318,99.886223,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31484.562500,51949530,6012,400,2418161,1461,2418276,1464,93.761696,99.939560,99.931381,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31489.500000,51957675,6013,400,2418017,1551,2418999,1553,93.762672,99.935867,99.927704,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31541.519531,52043508,6013,400,2414767,5785,2413738,5829,93.762672,99.760048,99.752113,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32015.236328,52825140,6013,400,2417944,1770,2418832,1762,93.762672,99.927032,99.918877,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32045.158203,52874513,6012,400,2417303,2913,2416396,2940,93.761696,99.879059,99.870964,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32225.484375,53172046,6013,400,2418323,1875,2418330,1875,93.762672,99.922531,99.914375,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32258.453125,53226448,6014,399,2419765,534,2419757,535,93.778259,99.977913,99.969711,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31613.494141,52162265,6013,400,2414828,5819,2414165,5779,93.762672,99.760399,99.752464,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31618.972656,52171302,6012,400,2418241,1372,2418945,1372,93.761696,99.943306,99.935127,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32215.212891,53155101,6013,400,2420029,408,2420024,413,93.762672,99.983040,99.974808,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32252.755859,53217048,6013,400,2419615,870,2419618,867,93.762672,99.964119,99.955917,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32060.128906,52899211,6013,400,2418809,2692,2416860,2703,93.762672,99.888557,99.880455,
