block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31324.562500,51685526,0.024348,18.416702,18.416765,0.024405,51212,0.291279,6399,0.025012,604920.500000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604918.375000,9.444463,799.750000,0.013834,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31329.677734,51693967,0.024344,18.414047,18.414112,0.024401,51213,0.291806,6399,0.025162,604932.125000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,9.443102,799.750000,0.013832,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31416.714844,51837581,0.024277,18.363033,18.363096,0.024334,51213,0.291764,6399,0.025671,604932.125000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,9.416941,799.750000,0.013794,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31474.308594,51932607,0.024229,18.326574,18.326637,0.024286,51205,0.293639,6398,0.025932,604837.750000,801.500000,NA,NA,NA,NA,NA,NA,NA,NA,604835.625000,9.398244,799.625000,0.013766,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31439.519531,51875206,0.024259,18.350075,18.350140,0.024316,51214,0.291469,6399,0.024846,604944.000000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,9.410295,799.750000,0.013784,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31485.388672,51950892,0.024224,18.323343,18.323406,0.024281,51214,0.292882,6399,0.025134,604944.000000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,9.396586,799.750000,0.013764,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31971.597656,52753136,0.023856,18.045046,18.045111,0.023912,51215,0.304080,6399,0.024505,604956.000000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604953.875000,9.253870,799.750000,0.013554,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31933.478516,52690239,0.023880,18.063759,18.063820,0.023936,51207,0.303270,6398,0.024693,604861.250000,801.500000,NA,NA,NA,NA,NA,NA,NA,NA,604859.125000,9.263466,799.625000,0.013568,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31781.970703,52440252,0.023998,18.153065,18.153128,0.024054,51216,0.301391,6399,0.025422,604967.750000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604965.625000,9.309264,799.750000,0.013635,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31863.039062,52574014,0.023937,18.106874,18.106937,0.023993,51216,0.301962,6399,0.025513,604967.625000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,9.285577,799.750000,0.013600,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31521.992188,52011287,0.024196,18.302778,18.302843,0.024253,51216,0.294485,6399,0.025246,604967.625000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,9.386040,799.750000,0.013748,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31544.988281,52049231,0.024174,18.286934,18.286999,0.024231,51209,0.295032,6398,0.025388,604884.875000,801.500000,NA,NA,NA,NA,NA,NA,NA,NA,604882.750000,9.377914,799.625000,0.013735,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31368.652344,51758276,0.024314,18.392971,18.393036,0.024371,51218,0.291787,6399,0.024480,604991.375000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604989.250000,9.432293,799.750000,0.013815,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31409.710938,51826024,0.024282,18.368919,18.368984,0.024339,51218,0.291893,6399,0.024794,604991.125000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604989.000000,9.419959,799.750000,0.013797,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31469.171875,51924133,0.024236,18.334215,18.334280,0.024293,51218,0.291933,6399,0.024120,604991.250000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604989.125000,9.402162,799.750000,0.013771,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31484.562500,51949530,0.024221,18.323103,18.323168,0.024278,51212,0.292582,6398,0.024418,604920.250000,801.500000,NA,NA,NA,NA,NA,NA,NA,NA,604918.125000,9.396463,799.625000,0.013762,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31489.500000,51957675,0.024221,18.323099,18.323164,0.024278,51220,0.294301,6399,0.024150,605015.000000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605012.875000,9.396461,799.750000,0.013762,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31541.519531,52043508,0.024181,18.292877,18.292940,0.024238,51220,0.295688,6399,0.024371,605014.875000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605012.750000,9.380962,799.750000,0.013739,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32015.236328,52825140,0.023823,18.022907,18.022972,0.023879,51222,0.304267,6399,0.024090,605038.500000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605036.375000,9.242517,799.750000,0.013536,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32045.158203,52874513,0.023797,18.003267,18.003330,0.023853,51214,0.304493,6398,0.024209,604944.000000,801.500000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,9.232445,799.625000,0.013521,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32225.484375,53172046,0.023668,17.905674,17.905735,0.023723,51223,0.309582,6399,0.024670,605050.375000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605048.250000,9.182397,799.750000,0.013448,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32258.453125,53226448,0.023643,17.888067,17.888128,0.023699,51225,0.310339,6399,0.024804,605073.875000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605071.750000,9.173368,799.750000,0.013434,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31613.494141,52162265,0.024126,18.253008,18.253071,0.024182,51225,0.294780,6399,0.026550,605073.875000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605071.750000,9.360517,799.750000,0.013708,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31618.972656,52171302,0.024118,18.247353,18.247419,0.024174,51218,0.296073,6398,0.026711,604991.250000,801.500000,NA,NA,NA,NA,NA,NA,NA,NA,604989.125000,9.357616,799.625000,0.013703,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32215.212891,53155101,0.023675,17.913124,17.913187,0.023731,51228,0.310102,6399,0.024668,605109.250000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605107.125000,9.186217,799.750000,0.013452,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32252.755859,53217048,0.023648,17.892628,17.892693,0.023703,51229,0.310758,6399,0.024838,605121.250000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605119.125000,9.175707,799.750000,0.013436,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32060.128906,52899211,0.023790,18.000481,18.000546,0.023845,51230,0.305403,6399,0.023966,605133.000000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605130.875000,9.231016,799.750000,0.013517,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32083.746094,52938181,0.023768,17.985477,17.985540,0.023824,51225,0.306390,6398,0.024259,605074.000000,801.500000,NA,NA,NA,NA,NA,NA,NA,NA,605071.875000,9.223322,799.625000,0.013505,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31491.257812,51960575,0.024219,18.327080,18.327145,0.024276,51234,0.294341,6399,0.024209,605180.250000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605178.125000,9.398502,799.750000,0.013761,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31536.611328,52035408,0.024185,18.301439,18.301504,0.024241,51236,0.294856,6399,0.024306,605203.875000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605201.750000,9.385353,799.750000,0.013741,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31461.890625,51912121,0.024242,18.345978,18.346041,0.024299,51239,0.293425,6399,0.024168,605239.250000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605237.125000,9.408194,799.750000,0.013774,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31489.234375,51957235,0.024217,18.328259,18.328321,0.024274,51234,0.293979,6398,0.024419,605180.250000,801.500000,NA,NA,NA,NA,NA,NA,NA,NA,605178.125000,9.399107,799.625000,0.013760,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31376.890625,51771867,0.024308,18.398193,18.398258,0.024365,51246,0.289890,6399,0.024477,605322.125000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605320.000000,9.434971,799.750000,0.013811,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31411.880859,51829604,0.024281,18.378771,18.378836,0.024338,51249,0.290626,6399,0.024730,605357.375000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605355.250000,9.425011,799.750000,0.013796,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31523.740234,52014171,0.024194,18.316059,18.316122,0.024251,51256,0.294256,6399,0.025155,605440.125000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,605438.000000,9.392851,799.750000,0.013747,
