block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31324.562500,51685526,13028.673828,0.415925,14366.172852,0.458623,9124.172852,0.291279,783.489075,0.025012,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31329.677734,51693967,13028.673828,0.415857,14366.371094,0.458555,9142.201172,0.291806,788.315735,0.025162,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31416.714844,51837581,13028.673828,0.414705,14368.291016,0.457345,9166.263672,0.291764,806.501221,0.025671,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31474.308594,51932607,13026.637695,0.413882,14366.056641,0.456438,9242.083984,0.293639,816.182434,0.025932,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31439.519531,51875206,13028.673828,0.414404,14367.360352,0.456984,9163.633789,0.291469,781.161194,0.024846,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31485.388672,51950892,13028.673828,0.413801,14367.569336,0.456325,9221.492188,0.292882,791.353943,0.025134,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31971.597656,52753136,13028.673828,0.407508,14368.072266,0.449401,9721.923828,0.304080,783.452698,0.024505,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31933.478516,52690239,13026.637695,0.407930,14366.534180,0.449889,9684.459961,0.303270,788.518799,0.024693,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31781.970703,52440252,13028.673828,0.409939,14368.516602,0.452096,9578.813477,0.301391,807.965454,0.025422,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31863.039062,52574014,13028.673828,0.408896,14366.227539,0.450874,9621.416016,0.301962,812.906067,0.025513,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31521.992188,52011287,13028.673828,0.413320,14368.792969,0.455834,9282.748047,0.294485,795.805481,0.025246,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31544.988281,52049231,13026.637695,0.412954,14363.728516,0.455341,9306.776367,0.295032,800.871521,0.025388,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31368.652344,51758276,13028.673828,0.415341,14366.539062,0.457990,9152.966797,0.291787,767.900635,0.024480,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31409.710938,51826024,13028.673828,0.414798,14366.545898,0.457392,9168.282227,0.291893,778.775757,0.024794,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31469.171875,51924133,13028.673828,0.414014,14366.688477,0.456532,9186.890625,0.291933,759.033325,0.024120,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31484.562500,51949530,13026.637695,0.413747,14364.662109,0.456245,9211.827148,0.292582,768.783630,0.024418,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31489.500000,51957675,13028.673828,0.413747,14367.028320,0.456248,9267.392578,0.294301,760.477600,0.024150,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31541.519531,52043508,13028.673828,0.413064,14366.768555,0.455488,9326.451172,0.295688,768.685425,0.024371,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32015.236328,52825140,13028.673828,0.406952,14366.700195,0.448746,9741.172852,0.304267,771.241211,0.024090,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32045.158203,52874513,13026.637695,0.406509,14364.458984,0.448257,9757.528320,0.304493,775.782410,0.024209,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32225.484375,53172046,13028.673828,0.404297,14366.941406,0.445825,9976.441406,0.309582,795.005432,0.024670,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32258.453125,53226448,13028.673828,0.403884,14368.084961,0.445405,10011.046875,0.310339,800.124268,0.024804,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31613.494141,52162265,13028.673828,0.412124,14366.868164,0.454454,9319.029297,0.294780,839.353943,0.026550,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31618.972656,52171302,13026.637695,0.411988,14364.686523,0.454306,9361.519531,0.296073,844.577576,0.026711,0.000000,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32215.212891,53155101,13028.673828,0.404426,14367.417969,0.445982,9990.007812,0.310102,794.669067,0.024668,0.000000,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32252.755859,53217048,13028.673828,0.403955,14367.697266,0.445472,10022.794922,0.310758,801.083008,0.024838,0.000000,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32060.128906,52899211,13028.673828,0.406382,14367.101562,0.448130,9791.257812,0.305403,768.343628,0.023966,0.000000,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32083.746094,52938181,13026.637695,0.406020,14365.553711,0.447752,9830.153320,0.306390,778.306030,0.024259,0.000000,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31491.257812,51960575,13028.673828,0.413723,14367.993164,0.456253,9269.153320,0.294341,762.375732,0.024209,0.000000,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31536.611328,52035408,13028.673828,0.413129,14367.980469,0.455597,9298.774414,0.294856,766.531494,0.024306,0.000000,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31461.890625,51912121,13028.673828,0.414110,14367.819336,0.456674,9231.700195,0.293425,760.385437,0.024168,0.000000,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31489.234375,51957235,13026.637695,0.413685,14367.136719,0.456256,9257.182617,0.293979,768.930298,0.024419,0.000000,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31376.890625,51771867,13028.673828,0.415232,14368.802734,0.457942,9095.841797,0.289890,767.998779,0.024477,0.000000,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31411.880859,51829604,13028.673828,0.414769,14369.035156,0.457440,9129.115234,0.290626,776.825439,0.024730,0.000000,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31523.740234,52014171,13028.673828,0.413297,14369.046875,0.455817,9276.039062,0.294256,792.986084,0.025155,0.000000,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31566.589844,52084874,13026.637695,0.412672,14368.502930,0.455181,9325.182617,0.295413,802.580017,0.025425,0.000000,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31817.337891,52498609,13028.673828,0.409483,14370.380859,0.451652,9591.701172,0.301461,807.863647,0.025391,0.000000,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31847.339844,52548110,13028.673828,0.409098,14371.024414,0.451247,9612.373047,0.301827,813.590332,0.025547,0.000000,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31912.972656,52656405,13028.673828,0.408256,14372.418945,0.450363,9672.804688,0.303099,782.059387,0.024506,0.000000,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31946.750000,52712138,13025.619141,0.407729,14378.884766,0.450089,9718.734375,0.304217,790.961792,0.024759,0.000000,
