block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,31324.562500,51685526,0.059418,0.052486,0.006932,0.000000,0.000000,0.332773,0.000000,0.000000,0.019311,
1,vector0,NA,NA,NA,NA,NA,NA,31329.677734,51693967,0.059408,0.052477,0.006931,0.000000,0.000000,0.332737,0.000000,0.000000,0.019308,
2,vector0,NA,NA,NA,NA,NA,NA,31416.714844,51837581,0.059244,0.052332,0.006912,0.000000,0.000000,0.331864,0.000000,0.000000,0.019254,
3,vector0,NA,NA,NA,NA,NA,NA,31474.308594,51932607,0.059126,0.052228,0.006898,0.000000,0.000000,0.334324,0.000000,0.000000,0.019216,
4,vector0,NA,NA,NA,NA,NA,NA,31439.519531,51875206,0.059201,0.052294,0.006907,0.000000,0.000000,0.332532,0.000000,0.000000,0.019240,
5,vector0,NA,NA,NA,NA,NA,NA,31485.388672,51950892,0.059114,0.052218,0.006897,0.000000,0.000000,0.333482,0.000000,0.000000,0.019212,
6,vector0,NA,NA,NA,NA,NA,NA,31971.597656,52753136,0.058215,0.051424,0.006792,0.000000,0.000000,0.344588,0.000000,0.000000,0.018920,
7,vector0,NA,NA,NA,NA,NA,NA,31933.478516,52690239,0.058276,0.051477,0.006799,0.000000,0.000000,0.343552,0.000000,0.000000,0.018940,
8,vector0,NA,NA,NA,NA,NA,NA,31781.970703,52440252,0.058563,0.051730,0.006832,0.000000,0.000000,0.341363,0.000000,0.000000,0.019033,
9,vector0,NA,NA,NA,NA,NA,NA,31863.039062,52574014,0.058414,0.051599,0.006815,0.000000,0.000000,0.341621,0.000000,0.000000,0.018984,
10,vector0,NA,NA,NA,NA,NA,NA,31521.992188,52011287,0.059046,0.052157,0.006889,0.000000,0.000000,0.333803,0.000000,0.000000,0.019190,
