block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164124.250000,1920804941,0.964737,0.401908,0.000000,0.000000,0.000000,0.007465,49865950912,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164097.125000,1920760344,0.964760,0.401917,0.000000,0.000000,0.000000,0.007465,49865950912,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164134.250000,1920821566,0.964729,0.401904,0.000000,0.000000,0.000000,0.007465,49865950912,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164099.875000,1920764810,0.964758,0.401916,0.000000,0.000000,0.000000,0.007465,49865950912,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164129.625000,1920814012,0.964733,0.401906,0.000000,0.000000,0.000000,0.007465,49865950912,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164129.500000,1920813757,0.964733,0.401906,0.000000,0.000000,0.000000,0.007465,49865950912,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164128.000000,1920811153,0.964734,0.401906,0.000000,0.000000,0.000000,0.007465,49865950912,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164125.125000,1920806543,0.964737,0.401907,0.000000,0.000000,0.000000,0.007465,49865950912,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164131.250000,1920816596,0.964731,0.401905,0.000000,0.000000,0.000000,0.007465,49865950912,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164132.250000,1920818203,0.964731,0.401905,0.000000,0.000000,0.000000,0.007465,49865950912,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164131.250000,1920816653,0.964731,0.401905,0.000000,0.000000,0.000000,0.007465,49865950912,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164124.750000,1920805785,0.964737,0.401907,0.000000,0.000000,0.000000,0.007465,49865950912,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164122.500000,1920802118,0.964739,0.401908,0.000000,0.000000,0.000000,0.007465,49865950912,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164098.000000,1920761642,0.964759,0.401917,0.000000,0.000000,0.000000,0.007465,49865950912,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164117.250000,1920793525,0.964743,0.401910,0.000000,0.000000,0.000000,0.007465,49865950912,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164101.125000,1920766788,0.964756,0.401916,0.000000,0.000000,0.000000,0.007465,49865950912,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164112.125000,1920784999,0.964747,0.401912,0.000000,0.000000,0.000000,0.007465,49865950912,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164121.750000,1920800854,0.964739,0.401908,0.000000,0.000000,0.000000,0.007465,49865950912,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164131.625000,1920817272,0.964731,0.401905,0.000000,0.000000,0.000000,0.007465,49865950912,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164104.000000,1920771627,0.964754,0.401915,0.000000,0.000000,0.000000,0.007465,49865950912,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164109.000000,1920779759,0.964750,0.401913,0.000000,0.000000,0.000000,0.007465,49865950912,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164105.000000,1920773256,0.964753,0.401914,0.000000,0.000000,0.000000,0.007465,49865950912,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164103.250000,1920770284,0.964755,0.401915,0.000000,0.000000,0.000000,0.007465,49865950912,
