block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164124.250000,1920804941,21937,0,97076352,4866,96572797,4849,100.000000,99.994987,99.994987,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164097.125000,1920760344,21937,0,96770620,3139,96881962,3143,100.000000,99.996750,99.996758,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164134.250000,1920821566,21937,0,96885105,0,96773759,0,100.000000,100.000000,100.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164099.875000,1920764810,21937,0,96794137,0,96864727,0,100.000000,100.000000,100.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164129.625000,1920814012,21937,0,96864727,0,96794137,0,100.000000,100.000000,100.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164129.500000,1920813757,21937,0,96788659,46,96870112,47,100.000000,99.999954,99.999954,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164128.000000,1920811153,21937,0,96870159,0,96788705,0,100.000000,100.000000,100.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164125.125000,1920806543,21937,0,96825084,0,96833780,0,100.000000,100.000000,100.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164131.250000,1920816596,21937,0,96833780,0,96825084,0,100.000000,100.000000,100.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164132.250000,1920818203,21937,0,96555435,10937,97081497,10995,100.000000,99.988670,99.988670,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164131.250000,1920816653,21937,0,97092492,0,96566372,0,100.000000,100.000000,100.000000,
