block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164124.250000,1920804941,0.008388,19.831160,19.831161,0.006776,2049302,0.322950,2025,0.000347,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169826,10239.250000,0.004766,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164097.125000,1920760344,0.008388,19.831621,19.831623,0.006776,2049302,0.352026,2025,0.000460,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.170062,10239.250000,0.004766,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164134.250000,1920821566,0.008388,19.830990,19.830992,0.006776,2049302,0.351229,2025,0.000364,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169739,10239.250000,0.004766,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164099.875000,1920764810,0.008388,19.831575,19.831577,0.006776,2049302,0.326701,2025,0.000378,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.170039,10239.250000,0.004766,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164129.625000,1920814012,0.008388,19.831068,19.831070,0.006776,2049302,0.377765,2025,0.000452,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169779,10239.250000,0.004766,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164129.500000,1920813757,0.008388,19.831070,19.831072,0.006776,2049302,0.341374,2025,0.000365,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169779,10239.250000,0.004766,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164128.000000,1920811153,0.008388,19.831097,19.831099,0.006776,2049302,0.335469,2025,0.000380,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169793,10239.250000,0.004766,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164125.125000,1920806543,0.008388,19.831144,19.831146,0.006776,2049302,0.398223,2025,0.000475,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169817,10239.250000,0.004766,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164131.250000,1920816596,0.008388,19.831041,19.831041,0.006776,2049302,0.345588,2025,0.000455,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169765,10239.250000,0.004766,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164132.250000,1920818203,0.008388,19.831024,19.831026,0.006776,2049302,0.327917,2025,0.000371,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169756,10239.250000,0.004766,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164131.250000,1920816653,0.008388,19.831041,19.831041,0.006776,2049302,0.325304,2025,0.000356,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169765,10239.250000,0.004766,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164124.750000,1920805785,0.008388,19.831152,19.831154,0.006776,2049302,0.359498,2025,0.000398,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169822,10239.250000,0.004766,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164122.500000,1920802118,0.008388,19.831190,19.831192,0.006776,2049302,0.346380,2025,0.000380,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169841,10239.250000,0.004766,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164098.000000,1920761642,0.008388,19.831608,19.831608,0.006776,2049302,0.321031,2025,0.000351,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.170055,10239.250000,0.004766,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164117.250000,1920793525,0.008388,19.831280,19.831282,0.006776,2049302,0.329172,2025,0.000360,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169887,10239.250000,0.004766,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164101.125000,1920766788,0.008388,19.831554,19.831556,0.006776,2049302,0.378565,2025,0.000415,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.170028,10239.250000,0.004766,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164112.125000,1920784999,0.008388,19.831366,19.831367,0.006776,2049302,0.331415,2025,0.000355,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169931,10239.250000,0.004766,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164121.750000,1920800854,0.008388,19.831202,19.831203,0.006776,2049302,0.350946,2025,0.000358,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169847,10239.250000,0.004766,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164131.625000,1920817272,0.008388,19.831034,19.831036,0.006776,2049302,0.351929,2025,0.000397,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169761,10239.250000,0.004766,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164104.000000,1920771627,0.008388,19.831505,19.831507,0.006776,2049302,0.377143,2025,0.000444,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.170003,10239.250000,0.004766,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164109.000000,1920779759,0.008388,19.831419,19.831421,0.006776,2049302,0.336774,2025,0.000372,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169958,10239.250000,0.004766,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164105.000000,1920773256,0.008388,19.831488,19.831490,0.006776,2049302,0.323055,2025,0.000353,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169993,10239.250000,0.004766,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164103.250000,1920770284,0.008388,19.831518,19.831520,0.006776,2049302,0.329498,2025,0.000357,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.170010,10239.250000,0.004766,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164110.750000,1920782682,0.008388,19.831390,19.831392,0.006776,2049302,0.323236,2025,0.000347,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169944,10239.250000,0.004766,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164118.625000,1920795833,0.008388,19.831255,19.831257,0.006776,2049302,0.349324,2025,0.000365,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169874,10239.250000,0.004766,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164124.375000,1920805057,0.008388,19.831158,19.831160,0.006776,2049302,0.351525,2025,0.000408,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169825,10239.250000,0.004766,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164131.250000,1920816450,0.008388,19.831041,19.831041,0.006776,2049302,0.328082,2025,0.000356,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169765,10239.250000,0.004766,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164106.500000,1920775847,0.008388,19.831463,19.831465,0.006776,2049302,0.332185,2025,0.000360,24207358.000000,8271.375000,NA,NA,NA,NA,NA,NA,NA,NA,24207356.000000,10.169981,10239.250000,0.004766,
