block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164124.250000,1920804941,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164097.125000,1920760344,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164134.250000,1920821566,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164099.875000,1920764810,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164129.625000,1920814012,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164129.500000,1920813757,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164128.000000,1920811153,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164125.125000,1920806543,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164131.250000,1920816596,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164132.250000,1920818203,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164131.250000,1920816653,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164124.750000,1920805785,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164122.500000,1920802118,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164098.000000,1920761642,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164117.250000,1920793525,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164101.125000,1920766788,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164112.125000,1920784999,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164121.750000,1920800854,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164131.625000,1920817272,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164104.000000,1920771627,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164109.000000,1920779759,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164105.000000,1920773256,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164103.250000,1920770284,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164110.750000,1920782682,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164118.625000,1920795833,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164124.375000,1920805057,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164131.250000,1920816450,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164106.500000,1920775847,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164114.625000,1920789141,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164134.125000,1920821424,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164121.750000,1920800835,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164133.250000,1920819901,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164132.500000,1920818544,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164111.375000,1920783769,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164129.625000,1920813872,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164107.375000,1920777171,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164123.125000,1920803057,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164117.375000,1920793666,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164130.625000,1920815663,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1164126.875000,1920809363,
