block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,1164124.250000,1920804941,195.423706,158.106659,0.000000,0.000000,
1,vector0,NA,NA,1164097.125000,1920760344,195.428253,158.110336,0.000000,0.000000,
2,vector0,NA,NA,1164134.250000,1920821566,195.422028,158.105301,0.000000,0.000000,
3,vector0,NA,NA,1164099.875000,1920764810,195.427795,158.109970,0.000000,0.000000,
4,vector0,NA,NA,1164129.625000,1920814012,195.422806,158.105927,0.000000,0.000000,
5,vector0,NA,NA,1164129.500000,1920813757,195.422821,158.105942,0.000000,0.000000,
6,vector0,NA,NA,1164128.000000,1920811153,195.423080,158.106140,0.000000,0.000000,
7,vector0,NA,NA,1164125.125000,1920806543,195.423553,158.106537,0.000000,0.000000,
8,vector0,NA,NA,1164131.250000,1920816596,195.422531,158.105698,0.000000,0.000000,
9,vector0,NA,NA,1164132.250000,1920818203,195.422363,158.105576,0.000000,0.000000,
10,vector0,NA,NA,1164131.250000,1920816653,195.422531,158.105698,0.000000,0.000000,
11,vector0,NA,NA,1164124.750000,1920805785,195.423615,158.106583,0.000000,0.000000,
12,vector0,NA,NA,1164122.500000,1920802118,195.423996,158.106888,0.000000,0.000000,
13,vector0,NA,NA,1164098.000000,1920761642,195.428116,158.110214,0.000000,0.000000,
14,vector0,NA,NA,1164117.250000,1920793525,195.424881,158.107605,0.000000,0.000000,
15,vector0,NA,NA,1164101.125000,1920766788,195.427582,158.109802,0.000000,0.000000,
16,vector0,NA,NA,1164112.125000,1920784999,195.425735,158.108307,0.000000,0.000000,
17,vector0,NA,NA,1164121.750000,1920800854,195.424118,158.106995,0.000000,0.000000,
18,vector0,NA,NA,1164131.625000,1920817272,195.422470,158.105652,0.000000,0.000000,
19,vector0,NA,NA,1164104.000000,1920771627,195.427109,158.109406,0.000000,0.000000,
20,vector0,NA,NA,1164109.000000,1920779759,195.426270,158.108734,0.000000,0.000000,
21,vector0,NA,NA,1164105.000000,1920773256,195.426941,158.109268,0.000000,0.000000,
22,vector0,NA,NA,1164103.250000,1920770284,195.427231,158.109512,0.000000,0.000000,
23,vector0,NA,NA,1164110.750000,1920782682,195.425964,158.108490,0.000000,0.000000,
24,vector0,NA,NA,1164118.625000,1920795833,195.424652,158.107422,0.000000,0.000000,
25,vector0,NA,NA,1164124.375000,1920805057,195.423676,158.106644,0.000000,0.000000,
26,vector0,NA,NA,1164131.250000,1920816450,195.422531,158.105698,0.000000,0.000000,
27,vector0,NA,NA,1164106.500000,1920775847,195.426682,158.109070,0.000000,0.000000,
28,vector0,NA,NA,1164114.625000,1920789141,195.425323,158.107956,0.000000,0.000000,
29,vector0,NA,NA,1164134.125000,1920821424,195.422043,158.105316,0.000000,0.000000,
30,vector0,NA,NA,1164121.750000,1920800835,195.424118,158.106995,0.000000,0.000000,
31,vector0,NA,NA,1164133.250000,1920819901,195.422195,158.105438,0.000000,0.000000,
32,vector0,NA,NA,1164132.500000,1920818544,195.422318,158.105530,0.000000,0.000000,
33,vector0,NA,NA,1164111.375000,1920783769,195.425858,158.108398,0.000000,0.000000,
34,vector0,NA,NA,1164129.625000,1920813872,195.422806,158.105927,0.000000,0.000000,
35,vector0,NA,NA,1164107.375000,1920777171,195.426529,158.108948,0.000000,0.000000,
36,vector0,NA,NA,1164123.125000,1920803057,195.423889,158.106812,0.000000,0.000000,
37,vector0,NA,NA,1164117.375000,1920793666,195.424850,158.107590,0.000000,0.000000,
38,vector0,NA,NA,1164130.625000,1920815663,195.422638,158.105789,0.000000,0.000000,
39,vector0,NA,NA,1164126.875000,1920809363,195.423264,158.106293,0.000000,0.000000,
