block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164124.250000,1920804941,1123074.125000,0.964737,263858.250000,0.226658,375954.062500,0.322950,404.495148,0.000347,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164097.125000,1920760344,1123074.125000,0.964760,263860.250000,0.226665,409792.218750,0.352026,535.220581,0.000460,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164134.250000,1920821566,1123074.125000,0.964729,263862.812500,0.226660,408878.281250,0.351229,423.818787,0.000364,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164099.875000,1920764810,1123074.125000,0.964758,263859.468750,0.226664,380312.937500,0.326701,439.862427,0.000378,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164129.625000,1920814012,1123074.125000,0.964733,263860.406250,0.226659,439767.281250,0.377765,525.766052,0.000452,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164129.500000,1920813757,1123074.125000,0.964733,263860.500000,0.226659,397404.000000,0.341374,425.181824,0.000365,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164128.000000,1920811153,1123074.125000,0.964734,263864.562500,0.226663,390529.187500,0.335469,442.616974,0.000380,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164125.125000,1920806543,1123074.125000,0.964737,263859.562500,0.226659,463581.218750,0.398223,552.935730,0.000475,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164131.250000,1920816596,1123074.125000,0.964731,263863.968750,0.226662,402310.125000,0.345588,529.655762,0.000455,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164132.250000,1920818203,1123074.125000,0.964731,263860.718750,0.226659,381738.781250,0.327917,431.747864,0.000371,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164131.250000,1920816653,1123074.125000,0.964731,263859.937500,0.226658,378696.656250,0.325304,414.953339,0.000356,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164124.750000,1920805785,1123074.125000,0.964737,263860.875000,0.226660,418500.968750,0.359498,463.783020,0.000398,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164122.500000,1920802118,1123074.125000,0.964739,263858.187500,0.226658,403229.000000,0.346380,442.627258,0.000380,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164098.000000,1920761642,1123074.125000,0.964759,263859.718750,0.226665,373711.906250,0.321031,408.945465,0.000351,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164117.250000,1920793525,1123074.125000,0.964743,263859.031250,0.226660,383194.593750,0.329172,419.278168,0.000360,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164101.125000,1920766788,1123074.125000,0.964756,263858.281250,0.226663,440687.406250,0.378565,483.282410,0.000415,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164112.125000,1920784999,1123074.125000,0.964747,263858.375000,0.226661,385804.125000,0.331415,413.701202,0.000355,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164121.750000,1920800854,1123074.125000,0.964739,263858.500000,0.226659,408543.781250,0.350946,416.432739,0.000358,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164131.625000,1920817272,1123074.125000,0.964731,263859.312500,0.226658,409691.781250,0.351929,462.410309,0.000397,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164104.000000,1920771627,1123074.125000,0.964754,263858.531250,0.226662,439033.468750,0.377143,516.885437,0.000444,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164109.000000,1920779759,1123074.125000,0.964750,263858.468750,0.226661,392041.156250,0.336774,432.484253,0.000372,0.000000,
