block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,1164124.250000,1920804941,0.107651,0.055424,0.052227,0.000000,0.000000,0.044792,0.000000,0.997822,0.004049,
1,vector0,NA,NA,NA,NA,NA,NA,1164097.125000,1920760344,0.107653,0.055425,0.052228,0.000000,0.000000,0.044813,0.000000,0.997869,0.004056,
2,vector0,NA,NA,NA,NA,NA,NA,1164134.250000,1920821566,0.107650,0.055423,0.052226,0.000000,0.000000,0.044820,0.000000,0.997825,0.004053,
3,vector0,NA,NA,NA,NA,NA,NA,1164099.875000,1920764810,0.107653,0.055425,0.052228,0.000000,0.000000,0.044809,0.000000,0.997850,0.004052,
4,vector0,NA,NA,NA,NA,NA,NA,1164129.625000,1920814012,0.107650,0.055424,0.052227,0.000000,0.000000,0.044820,0.000000,0.997839,0.004055,
5,vector0,NA,NA,NA,NA,NA,NA,1164129.500000,1920813757,0.107650,0.055424,0.052227,0.000000,0.000000,0.044815,0.000000,0.997828,0.004053,
6,vector0,NA,NA,NA,NA,NA,NA,1164128.000000,1920811153,0.107650,0.055424,0.052227,0.000000,0.000000,0.044816,0.000000,0.997837,0.004055,
7,vector0,NA,NA,NA,NA,NA,NA,1164125.125000,1920806543,0.107651,0.055424,0.052227,0.000000,0.000000,0.044809,0.000000,0.997839,0.004054,
8,vector0,NA,NA,NA,NA,NA,NA,1164131.250000,1920816596,0.107650,0.055423,0.052226,0.000000,0.000000,0.044814,0.000000,0.997835,0.004055,
9,vector0,NA,NA,NA,NA,NA,NA,1164132.250000,1920818203,0.107650,0.055423,0.052226,0.000000,0.000000,0.044815,0.000000,0.997835,0.004055,
10,vector0,NA,NA,NA,NA,NA,NA,1164131.250000,1920816653,0.107650,0.055423,0.052226,0.000000,0.000000,0.044809,0.000000,0.997822,0.004050,
11,vector0,NA,NA,NA,NA,NA,NA,1164124.750000,1920805785,0.107651,0.055424,0.052227,0.000000,0.000000,0.044818,0.000000,0.997845,0.004055,
12,vector0,NA,NA,NA,NA,NA,NA,1164122.500000,1920802118,0.107651,0.055424,0.052227,0.000000,0.000000,0.044820,0.000000,0.997847,0.004055,
13,vector0,NA,NA,NA,NA,NA,NA,1164098.000000,1920761642,0.107653,0.055425,0.052228,0.000000,0.000000,0.044806,0.000000,0.997840,0.004046,
14,vector0,NA,NA,NA,NA,NA,NA,1164117.250000,1920793525,0.107651,0.055424,0.052227,0.000000,0.000000,0.044798,0.000000,0.997852,0.004055,
15,vector0,NA,NA,NA,NA,NA,NA,1164101.125000,1920766788,0.107653,0.055425,0.052228,0.000000,0.000000,0.044796,0.000000,0.997861,0.004055,
16,vector0,NA,NA,NA,NA,NA,NA,1164112.125000,1920784999,0.107652,0.055424,0.052227,0.000000,0.000000,0.044816,0.000000,0.997838,0.004050,
17,vector0,NA,NA,NA,NA,NA,NA,1164121.750000,1920800854,0.107651,0.055424,0.052227,0.000000,0.000000,0.044805,0.000000,0.997829,0.004050,
18,vector0,NA,NA,NA,NA,NA,NA,1164131.625000,1920817272,0.107650,0.055423,0.052226,0.000000,0.000000,0.044800,0.000000,0.997837,0.004055,
19,vector0,NA,NA,NA,NA,NA,NA,1164104.000000,1920771627,0.107653,0.055425,0.052228,0.000000,0.000000,0.044815,0.000000,0.997865,0.004055,
20,vector0,NA,NA,NA,NA,NA,NA,1164109.000000,1920779759,0.107652,0.055425,0.052227,0.000000,0.000000,0.044825,0.000000,0.997852,0.004054,
21,vector0,NA,NA,NA,NA,NA,NA,1164105.000000,1920773256,0.107652,0.055425,0.052228,0.000000,0.000000,0.044823,0.000000,0.997840,0.004050,
22,vector0,NA,NA,NA,NA,NA,NA,1164103.250000,1920770284,0.107653,0.055425,0.052228,0.000000,0.000000,0.044815,0.000000,0.997850,0.004052,
23,vector0,NA,NA,NA,NA,NA,NA,1164110.750000,1920782682,0.107652,0.055424,0.052227,0.000000,0.000000,0.044803,0.000000,0.997830,0.004047,
24,vector0,NA,NA,NA,NA,NA,NA,1164118.625000,1920795833,0.107651,0.055424,0.052227,0.000000,0.000000,0.044823,0.000000,0.997843,0.004053,
25,vector0,NA,NA,NA,NA,NA,NA,1164124.375000,1920805057,0.107651,0.055424,0.052227,0.000000,0.000000,0.044814,0.000000,0.997840,0.004056,
26,vector0,NA,NA,NA,NA,NA,NA,1164131.250000,1920816450,0.107650,0.055423,0.052226,0.000000,0.000000,0.044794,0.000000,0.997833,0.004055,
27,vector0,NA,NA,NA,NA,NA,NA,1164106.500000,1920775847,0.107652,0.055425,0.052228,0.000000,0.000000,0.044822,0.000000,0.997845,0.004052,
28,vector0,NA,NA,NA,NA,NA,NA,1164114.625000,1920789141,0.107652,0.055424,0.052227,0.000000,0.000000,0.044792,0.000000,0.997825,0.004046,
29,vector0,NA,NA,NA,NA,NA,NA,1164134.125000,1920821424,0.107650,0.055423,0.052226,0.000000,0.000000,0.044821,0.000000,0.997825,0.004054,
30,vector0,NA,NA,NA,NA,NA,NA,1164121.750000,1920800835,0.107651,0.055424,0.052227,0.000000,0.000000,0.044799,0.000000,0.997824,0.004050,
31,vector0,NA,NA,NA,NA,NA,NA,1164133.250000,1920819901,0.107650,0.055423,0.052226,0.000000,0.000000,0.044819,0.000000,0.997816,0.004050,
32,vector0,NA,NA,NA,NA,NA,NA,1164132.500000,1920818544,0.107650,0.055423,0.052226,0.000000,0.000000,0.044823,0.000000,0.997837,0.004054,
33,vector0,NA,NA,NA,NA,NA,NA,1164111.375000,1920783769,0.107652,0.055424,0.052227,0.000000,0.000000,0.044818,0.000000,0.997840,0.004051,
34,vector0,NA,NA,NA,NA,NA,NA,1164129.625000,1920813872,0.107650,0.055424,0.052227,0.000000,0.000000,0.044819,0.000000,0.997838,0.004056,
35,vector0,NA,NA,NA,NA,NA,NA,1164107.375000,1920777171,0.107652,0.055425,0.052228,0.000000,0.000000,0.044804,0.000000,0.997829,0.004046,
36,vector0,NA,NA,NA,NA,NA,NA,1164123.125000,1920803057,0.107651,0.055424,0.052227,0.000000,0.000000,0.044810,0.000000,0.997837,0.004053,
37,vector0,NA,NA,NA,NA,NA,NA,1164117.375000,1920793666,0.107651,0.055424,0.052227,0.000000,0.000000,0.044810,0.000000,0.997839,0.004053,
38,vector0,NA,NA,NA,NA,NA,NA,1164130.625000,1920815663,0.107650,0.055424,0.052227,0.000000,0.000000,0.044820,0.000000,0.997838,0.004054,
39,vector0,NA,NA,NA,NA,NA,NA,1164126.875000,1920809363,0.107650,0.055424,0.052227,0.000000,0.000000,0.044813,0.000000,0.997835,0.004053,
