block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30099.769531,49664621,0.433246,0.146344,0.000000,0.000000,0.000000,0.016490,491366528,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30102.445312,49669036,0.433209,0.146331,0.000000,0.000000,0.000000,0.016488,491366528,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30281.757812,49964899,0.430644,0.145465,0.000000,0.000000,0.000000,0.016390,491366528,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30277.925781,49958574,0.430630,0.145460,0.000000,0.000000,0.000000,0.016390,491289728,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30379.761719,50126606,0.429255,0.144995,0.000000,0.000000,0.000000,0.016338,491366528,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30395.384766,50152382,0.429034,0.144921,0.000000,0.000000,0.000000,0.016329,491366528,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30164.599609,49771588,0.432315,0.146030,0.000000,0.000000,0.000000,0.016454,491366528,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30156.310547,49757910,0.432368,0.146047,0.000000,0.000000,0.000000,0.016456,491289728,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30125.689453,49707389,0.432875,0.146218,0.000000,0.000000,0.000000,0.016475,491366528,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30126.982422,49709522,0.432856,0.146212,0.000000,0.000000,0.000000,0.016475,491366528,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30143.404297,49736615,0.432621,0.146132,0.000000,0.000000,0.000000,0.016466,491366528,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30140.681641,49732124,0.432592,0.146123,0.000000,0.000000,0.000000,0.016465,491289728,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30311.896484,50014627,0.430217,0.145320,0.000000,0.000000,0.000000,0.016374,491366528,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30315.250000,50020163,0.430169,0.145304,0.000000,0.000000,0.000000,0.016372,491366528,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30274.361328,49952694,0.430751,0.145500,0.000000,0.000000,0.000000,0.016394,491366528,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30273.910156,49951951,0.430691,0.145480,0.000000,0.000000,0.000000,0.016392,491289728,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30098.855469,49663114,0.433263,0.146349,0.000000,0.000000,0.000000,0.016490,491366528,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30103.250000,49670364,0.433199,0.146327,0.000000,0.000000,0.000000,0.016488,491366528,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30100.384766,49665635,0.433242,0.146341,0.000000,0.000000,0.000000,0.016489,491366528,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30107.035156,49676609,0.433077,0.146286,0.000000,0.000000,0.000000,0.016483,491289728,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30154.070312,49754215,0.432471,0.146081,0.000000,0.000000,0.000000,0.016460,491366528,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30155.175781,49756042,0.432454,0.146075,0.000000,0.000000,0.000000,0.016459,491366528,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30232.039062,49882863,0.431356,0.145704,0.000000,0.000000,0.000000,0.016417,491366528,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30227.890625,49876020,0.431349,0.145701,0.000000,0.000000,0.000000,0.016417,491289728,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30365.187500,50102561,0.429466,0.145065,0.000000,0.000000,0.000000,0.016345,491366528,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30372.781250,50115090,0.429358,0.145029,0.000000,0.000000,0.000000,0.016341,491366528,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30463.179688,50264247,0.428085,0.144598,0.000000,0.000000,0.000000,0.016293,491366528,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30465.486328,50268052,0.427987,0.144565,0.000000,0.000000,0.000000,0.016289,491289728,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30169.410156,49779529,0.432255,0.146006,0.000000,0.000000,0.000000,0.016452,491366528,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30168.042969,49777271,0.432276,0.146013,0.000000,0.000000,0.000000,0.016452,491366528,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30361.611328,50096659,0.429521,0.145082,0.000000,0.000000,0.000000,0.016347,491366528,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30357.427734,50089757,0.429514,0.145079,0.000000,0.000000,0.000000,0.016347,491289728,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30399.505859,50159182,0.428987,0.144901,0.000000,0.000000,0.000000,0.016327,491366528,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30406.332031,50170449,0.428893,0.144869,0.000000,0.000000,0.000000,0.016323,491366528,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30240.033203,49896054,0.431255,0.145665,0.000000,0.000000,0.000000,0.016413,491366528,
