block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30099.769531,49664621,6018,399,2395393,7068,2396582,7108,93.782143,99.705048,99.697144,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30102.445312,49669036,6017,400,2398039,5631,2396778,5663,93.766556,99.765007,99.757004,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30281.757812,49964899,6017,400,2400712,2004,2401751,2005,93.766556,99.916595,99.908394,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30277.925781,49958574,6016,400,2402403,839,2401364,838,93.765587,99.965103,99.956833,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30379.761719,50126606,6017,400,2401140,1981,2401507,1939,93.766556,99.918449,99.910240,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30395.384766,50152382,6017,400,2397986,5372,2397666,5367,93.766556,99.776566,99.768555,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30164.599609,49771588,6017,400,2390154,12530,2391072,12566,93.766556,99.477852,99.470238,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30156.310547,49757910,6017,399,2402716,465,2401761,466,93.781174,99.980629,99.972359,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30125.689453,49707389,6017,400,2402852,467,2402872,463,93.766556,99.980652,99.972366,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30126.982422,49709522,6017,400,2401047,2054,2401037,2049,93.766556,99.914627,99.906433,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30143.404297,49736615,6017,400,2401721,1410,2401697,1397,93.766556,99.941597,99.933357,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30140.681641,49732124,6016,400,2401343,1488,2401367,1500,93.765587,99.937828,99.929596,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30311.896484,50014627,6017,400,2402595,1021,2401902,1030,93.766556,99.957329,99.949074,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30315.250000,50020163,6017,400,2401072,1923,2401772,1907,93.766556,99.920326,99.912117,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30274.361328,49952694,6018,399,2401429,2598,2400093,2628,93.782143,99.891273,99.883133,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30273.910156,49951951,6016,400,2400917,1496,2402231,1488,93.765587,99.937920,99.929688,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30098.855469,49663114,6017,400,2402630,1593,2401065,1577,93.766556,99.934052,99.925827,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30103.250000,49670364,6017,400,2396636,5929,2398213,5932,93.766556,99.753242,99.745255,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30100.384766,49665635,6017,400,2402866,634,2402996,626,93.766556,99.973793,99.965515,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30107.035156,49676609,6016,400,2400055,2977,2399915,2995,93.765587,99.875732,99.867592,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30154.070312,49754215,6017,400,2402151,1905,2401413,1921,93.766556,99.920418,99.912216,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30155.175781,49756042,6018,399,2403053,162,2403776,161,93.782143,99.993286,99.985001,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30232.039062,49882863,6017,400,2398930,4305,2399429,4269,93.766556,99.821632,99.813560,
