block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30099.769531,49664621,0.025339,19.034544,19.034626,0.025414,6437,0.118086,6399,0.026513,600768.875000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600766.250000,9.761304,799.750000,0.014397,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30102.445312,49669036,0.025337,19.032694,19.032778,0.025412,6439,0.118151,6399,0.026629,600763.875000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600761.250000,9.760356,799.750000,0.014396,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30281.757812,49964899,0.025187,18.921412,18.921495,0.025262,6439,0.122860,6399,0.026594,600809.000000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600806.375000,9.703288,799.750000,0.014311,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30277.925781,49958574,0.025186,18.919760,18.919842,0.025261,6438,0.122838,6398,0.026922,600680.500000,802.000000,NA,NA,NA,NA,NA,NA,NA,NA,600677.875000,9.702441,799.625000,0.014310,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30379.761719,50126606,0.025106,18.860744,18.860826,0.025180,6440,0.125882,6399,0.025707,600820.875000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600818.250000,9.672176,799.750000,0.014265,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30395.384766,50152382,0.025093,18.850359,18.850443,0.025167,6441,0.125935,6399,0.026013,600798.875000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600796.250000,9.666851,799.750000,0.014257,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30164.599609,49771588,0.025285,18.994310,18.994392,0.025360,6441,0.119594,6399,0.025960,600790.250000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600787.625000,9.740672,799.750000,0.014366,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30156.310547,49757910,0.025288,18.995916,18.995998,0.025363,6441,0.119446,6398,0.026144,600676.000000,802.000000,NA,NA,NA,NA,NA,NA,NA,NA,600673.375000,9.741496,799.625000,0.014368,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30125.689453,49707389,0.025317,19.020157,19.020239,0.025392,6443,0.118639,6399,0.026858,600831.750000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600829.125000,9.753926,799.750000,0.014385,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30126.982422,49709522,0.025316,19.017490,19.017574,0.025391,6444,0.118907,6399,0.027028,600773.375000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600770.750000,9.752559,799.750000,0.014384,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30143.404297,49736615,0.025302,19.007280,19.007362,0.025378,6442,0.119354,6399,0.026003,600778.125000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600775.500000,9.747323,799.750000,0.014376,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30140.681641,49732124,0.025301,19.006914,19.006998,0.025376,6443,0.119428,6398,0.026151,600712.250000,802.000000,NA,NA,NA,NA,NA,NA,NA,NA,600709.625000,9.747135,799.625000,0.014375,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30311.896484,50014627,0.025162,18.902899,18.902981,0.025236,6446,0.124922,6399,0.025777,600818.500000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600815.875000,9.693794,799.750000,0.014296,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30315.250000,50020163,0.025159,18.901302,18.901384,0.025234,6447,0.125275,6399,0.026081,600834.250000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600831.625000,9.692976,799.750000,0.014295,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30274.361328,49952694,0.025193,18.927120,18.927206,0.025268,6447,0.122448,6399,0.026585,600843.500000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600840.875000,9.706216,799.750000,0.014314,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30273.910156,49951951,0.025189,18.924980,18.925062,0.025264,6448,0.122544,6398,0.026907,600766.500000,802.000000,NA,NA,NA,NA,NA,NA,NA,NA,600763.875000,9.705118,799.625000,0.014312,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30098.855469,49663114,0.025340,19.037949,19.038031,0.025415,6449,0.117949,6399,0.026476,600858.125000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600855.500000,9.763051,799.750000,0.014398,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30103.250000,49670364,0.025336,19.034554,19.034637,0.025411,6449,0.118248,6399,0.026748,600838.750000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600836.125000,9.761310,799.750000,0.014396,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30100.384766,49665635,0.025339,19.037998,19.038080,0.025414,6452,0.117885,6399,0.025701,600890.250000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600887.625000,9.763076,799.750000,0.014397,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30107.035156,49676609,0.025329,19.029119,19.029203,0.025404,6450,0.118263,6398,0.025795,600742.750000,802.000000,NA,NA,NA,NA,NA,NA,NA,NA,600740.125000,9.758523,799.625000,0.014391,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30154.070312,49754215,0.025293,19.005165,19.005247,0.025369,6453,0.119291,6399,0.025123,600923.750000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600921.125000,9.746239,799.750000,0.014371,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30155.175781,49756042,0.025293,19.003527,19.003609,0.025368,6456,0.119279,6399,0.025485,600894.000000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600891.375000,9.745399,799.750000,0.014371,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30232.039062,49882863,0.025228,18.954348,18.954430,0.025303,6456,0.121674,6399,0.025097,600866.625000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600864.000000,9.720179,799.750000,0.014334,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30227.890625,49876020,0.025228,18.956207,18.956291,0.025303,6457,0.121701,6398,0.025400,600843.125000,802.000000,NA,NA,NA,NA,NA,NA,NA,NA,600840.500000,9.721132,799.625000,0.014334,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30365.187500,50102561,0.025118,18.872566,18.872648,0.025192,6460,0.125474,6399,0.025339,600909.000000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600906.375000,9.678239,799.750000,0.014271,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30372.781250,50115090,0.025111,18.868959,18.869041,0.025186,6461,0.125620,6399,0.025580,600944.375000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600941.750000,9.676390,799.750000,0.014268,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30463.179688,50264247,0.025037,18.812965,18.813047,0.025111,6463,0.128138,6399,0.026104,600944.375000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,600941.750000,9.647675,799.750000,0.014225,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30465.486328,50268052,0.025031,18.810213,18.810295,0.025105,6466,0.128502,6398,0.026259,600902.000000,802.000000,NA,NA,NA,NA,NA,NA,NA,NA,600899.375000,9.646263,799.625000,0.014222,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30169.410156,49779529,0.025281,18.999630,18.999712,0.025356,6469,0.119502,6399,0.027754,601054.375000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,601051.750000,9.743400,799.750000,0.014364,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30168.042969,49777271,0.025282,18.999483,18.999567,0.025357,6472,0.119569,6399,0.028115,601022.500000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,601019.875000,9.743325,799.750000,0.014365,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30361.611328,50096659,0.025121,18.880564,18.880646,0.025195,6477,0.126749,6399,0.026184,601092.875000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,601090.250000,9.682341,799.750000,0.014273,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30357.427734,50089757,0.025120,18.882467,18.882549,0.025195,6480,0.126976,6398,0.026358,601070.625000,802.000000,NA,NA,NA,NA,NA,NA,NA,NA,601068.000000,9.683316,799.625000,0.014273,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30399.505859,50159182,0.025089,18.858742,18.858824,0.025164,6485,0.126345,6399,0.025269,601147.500000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,601144.875000,9.671149,799.750000,0.014255,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30406.332031,50170449,0.025084,18.856312,18.856394,0.025158,6492,0.126567,6399,0.025565,601205.000000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,601202.375000,9.669904,799.750000,0.014252,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30240.033203,49896054,0.025222,18.961872,18.961954,0.025296,6500,0.121826,6399,0.025162,601264.125000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,601261.500000,9.724037,799.750000,0.014330,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30242.160156,49899565,0.025216,18.960690,18.960772,0.025291,6509,0.122083,6398,0.025371,601268.875000,802.000000,NA,NA,NA,NA,NA,NA,NA,NA,601266.250000,9.723431,799.625000,0.014327,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30180.490234,49797809,0.025271,19.006794,19.006878,0.025346,6525,0.120088,6399,0.025181,601501.875000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,601499.250000,9.747074,799.750000,0.014359,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30189.396484,49812505,0.025264,19.006115,19.006197,0.025339,6547,0.120286,6399,0.025459,601657.875000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,601655.250000,9.746725,799.750000,0.014354,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30145.560547,49740175,0.025301,19.045746,19.045830,0.025376,6592,0.119167,6399,0.025553,602037.000000,802.125000,NA,NA,NA,NA,NA,NA,NA,NA,602034.375000,9.767049,799.750000,0.014375,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30168.460938,49777961,0.025274,19.105453,19.105536,0.025349,6859,0.120022,6398,0.025721,604383.125000,801.875000,NA,NA,NA,NA,NA,NA,NA,NA,604380.500000,9.797668,799.500000,0.014360,
