block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30099.769531,49664621,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30102.445312,49669036,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30281.757812,49964899,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30277.925781,49958574,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30379.761719,50126606,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30395.384766,50152382,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30164.599609,49771588,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30156.310547,49757910,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30125.689453,49707389,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30126.982422,49709522,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30143.404297,49736615,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30140.681641,49732124,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30311.896484,50014627,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30315.250000,50020163,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30274.361328,49952694,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30273.910156,49951951,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30098.855469,49663114,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30103.250000,49670364,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30100.384766,49665635,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30107.035156,49676609,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30154.070312,49754215,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30155.175781,49756042,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30232.039062,49882863,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30227.890625,49876020,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30365.187500,50102561,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30372.781250,50115090,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30463.179688,50264247,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30465.486328,50268052,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30169.410156,49779529,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30168.042969,49777271,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30361.611328,50096659,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30357.427734,50089757,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30399.505859,50159182,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30406.332031,50170449,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30240.033203,49896054,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30242.160156,49899565,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30180.490234,49797809,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30189.396484,49812505,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30145.560547,49740175,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30168.460938,49777961,
