block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,30099.769531,49664621,75.159744,38.515427,0.025341,0.050678,
1,vector0,NA,NA,30102.445312,49669036,75.153481,38.512005,0.025339,0.050674,
2,vector0,NA,NA,30281.757812,49964899,74.708511,38.283958,0.025189,0.050374,
3,vector0,NA,NA,30277.925781,49958574,74.705864,38.282818,0.025188,0.050372,
4,vector0,NA,NA,30379.761719,50126606,74.467529,38.160454,0.025108,0.050211,
5,vector0,NA,NA,30395.384766,50152382,74.429298,38.140839,0.025095,0.050185,
6,vector0,NA,NA,30164.599609,49771588,74.998253,38.432652,0.025287,0.050569,
7,vector0,NA,NA,30156.310547,49757910,75.007622,38.437206,0.025290,0.050575,
8,vector0,NA,NA,30125.689453,49707389,75.095581,38.482288,0.025319,0.050635,
9,vector0,NA,NA,30126.982422,49709522,75.092392,38.480637,0.025318,0.050632,
10,vector0,NA,NA,30143.404297,49736615,75.051834,38.459675,0.025304,0.050605,
11,vector0,NA,NA,30140.681641,49732124,75.046486,38.457138,0.025303,0.050602,
12,vector0,NA,NA,30311.896484,50014627,74.634743,38.245892,0.025164,0.050324,
13,vector0,NA,NA,30315.250000,50020163,74.626526,38.241661,0.025161,0.050318,
14,vector0,NA,NA,30274.361328,49952694,74.727760,38.293308,0.025195,0.050386,
15,vector0,NA,NA,30273.910156,49951951,74.717224,38.287899,0.025191,0.050379,
16,vector0,NA,NA,30098.855469,49663114,75.163498,38.516598,0.025342,0.050680,
17,vector0,NA,NA,30103.250000,49670364,75.152077,38.510975,0.025338,0.050672,
18,vector0,NA,NA,30100.384766,49665635,75.160172,38.514641,0.025341,0.050677,
19,vector0,NA,NA,30107.035156,49676609,75.130882,38.500118,0.025331,0.050658,
20,vector0,NA,NA,30154.070312,49754215,75.026337,38.446072,0.025295,0.050587,
21,vector0,NA,NA,30155.175781,49756042,75.023155,38.444660,0.025295,0.050585,
22,vector0,NA,NA,30232.039062,49882863,74.832863,38.346916,0.025230,0.050456,
23,vector0,NA,NA,30227.890625,49876020,74.831947,38.346188,0.025230,0.050456,
24,vector0,NA,NA,30365.187500,50102561,74.505234,38.178768,0.025120,0.050235,
25,vector0,NA,NA,30372.781250,50115090,74.486610,38.169224,0.025113,0.050223,
26,vector0,NA,NA,30463.179688,50264247,74.266060,38.055958,0.025039,0.050074,
27,vector0,NA,NA,30465.486328,50268052,74.249229,38.047131,0.025033,0.050062,
28,vector0,NA,NA,30169.410156,49779529,74.989685,38.426521,0.025283,0.050561,
29,vector0,NA,NA,30168.042969,49777271,74.993553,38.428265,0.025284,0.050564,
30,vector0,NA,NA,30361.611328,50096659,74.515961,38.183266,0.025123,0.050241,
31,vector0,NA,NA,30357.427734,50089757,74.515099,38.182564,0.025122,0.050240,
32,vector0,NA,NA,30399.505859,50159182,74.423584,38.135670,0.025091,0.050179,
33,vector0,NA,NA,30406.332031,50170449,74.407890,38.127110,0.025086,0.050167,
34,vector0,NA,NA,30240.033203,49896054,74.818436,38.336781,0.025224,0.050443,
35,vector0,NA,NA,30242.160156,49899565,74.802063,38.328094,0.025218,0.050432,
36,vector0,NA,NA,30180.490234,49797809,74.968605,38.412415,0.025273,0.050543,
37,vector0,NA,NA,30189.396484,49812505,74.948402,38.401081,0.025266,0.050528,
38,vector0,NA,NA,30145.560547,49740175,75.062386,38.456924,0.025303,0.050601,
39,vector0,NA,NA,30168.460938,49777961,75.016785,38.418728,0.025277,0.050551,
