block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30099.769531,49664621,13040.611328,0.433246,17491.189453,0.581107,3554.369629,0.118086,798.032715,0.026513,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30102.445312,49669036,13040.642578,0.433209,17491.181641,0.581055,3556.636963,0.118151,801.612122,0.026629,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30281.757812,49964899,13040.647461,0.430644,17490.978516,0.577608,3720.416260,0.122860,805.318176,0.026594,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30277.925781,49958574,13038.577148,0.430630,17487.396484,0.577563,3719.273438,0.122838,815.152100,0.026922,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30379.761719,50126606,13040.649414,0.429255,17491.353516,0.575757,3824.271484,0.125882,780.977600,0.025707,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30395.384766,50152382,13040.653320,0.429034,17492.837891,0.575510,3827.843750,0.125935,790.662415,0.026013,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30164.599609,49771588,13040.614258,0.432315,17491.921875,0.579883,3607.506592,0.119594,783.086670,0.025960,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30156.310547,49757910,13038.613281,0.432368,17489.351562,0.579957,3602.041748,0.119446,788.396362,0.026144,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30125.689453,49707389,13040.649414,0.432875,17492.283203,0.580643,3574.084229,0.118639,809.114563,0.026858,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30126.982422,49709522,13040.653320,0.432856,17493.136719,0.580647,3582.322510,0.118907,814.279419,0.027028,0.000000,
