block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,30099.769531,49664621,0.068147,0.046773,0.021374,0.000000,0.000000,0.190281,0.000000,0.000000,0.020073,
1,vector0,NA,NA,NA,NA,NA,NA,30102.445312,49669036,0.068142,0.046770,0.021372,0.000000,0.000000,0.190272,0.000000,0.000000,0.020104,
2,vector0,NA,NA,NA,NA,NA,NA,30281.757812,49964899,0.067738,0.046493,0.021245,0.000000,0.000000,0.194090,0.000000,0.000000,0.019916,
3,vector0,NA,NA,NA,NA,NA,NA,30277.925781,49958574,0.067735,0.046491,0.021244,0.000000,0.000000,0.194275,0.000000,0.000000,0.019981,
4,vector0,NA,NA,NA,NA,NA,NA,30379.761719,50126606,0.067519,0.046343,0.021176,0.000000,0.000000,0.195402,0.000000,0.000000,0.019915,
5,vector0,NA,NA,NA,NA,NA,NA,30395.384766,50152382,0.067483,0.046320,0.021164,0.000000,0.000000,0.195454,0.000000,0.000000,0.019838,
6,vector0,NA,NA,NA,NA,NA,NA,30164.599609,49771588,0.068000,0.046673,0.021327,0.000000,0.000000,0.191753,0.000000,0.000000,0.020054,
7,vector0,NA,NA,NA,NA,NA,NA,30156.310547,49757910,0.068008,0.046680,0.021328,0.000000,0.000000,0.191590,0.000000,0.000000,0.020054,
8,vector0,NA,NA,NA,NA,NA,NA,30125.689453,49707389,0.068088,0.046734,0.021354,0.000000,0.000000,0.190786,0.000000,0.000000,0.020075,
9,vector0,NA,NA,NA,NA,NA,NA,30126.982422,49709522,0.068085,0.046732,0.021352,0.000000,0.000000,0.190862,0.000000,0.000000,0.020042,
10,vector0,NA,NA,NA,NA,NA,NA,30143.404297,49736615,0.068050,0.046708,0.021342,0.000000,0.000000,0.191423,0.000000,0.000000,0.020030,
11,vector0,NA,NA,NA,NA,NA,NA,30140.681641,49732124,0.068044,0.046704,0.021340,0.000000,0.000000,0.191586,0.000000,0.000000,0.020057,
12,vector0,NA,NA,NA,NA,NA,NA,30311.896484,50014627,0.067670,0.046448,0.021222,0.000000,0.000000,0.196869,0.000000,0.000000,0.019944,
13,vector0,NA,NA,NA,NA,NA,NA,30315.250000,50020163,0.067662,0.046443,0.021219,0.000000,0.000000,0.197057,0.000000,0.000000,0.019940,
14,vector0,NA,NA,NA,NA,NA,NA,30274.361328,49952694,0.067754,0.046507,0.021247,0.000000,0.000000,0.194442,0.000000,0.000000,0.019964,
15,vector0,NA,NA,NA,NA,NA,NA,30273.910156,49951951,0.067744,0.046501,0.021243,0.000000,0.000000,0.194541,0.000000,0.000000,0.019959,
16,vector0,NA,NA,NA,NA,NA,NA,30098.855469,49663114,0.068149,0.046778,0.021371,0.000000,0.000000,0.189897,0.000000,0.000000,0.020076,
17,vector0,NA,NA,NA,NA,NA,NA,30103.250000,49670364,0.068139,0.046770,0.021368,0.000000,0.000000,0.190219,0.000000,0.000000,0.020071,
18,vector0,NA,NA,NA,NA,NA,NA,30100.384766,49665635,0.068146,0.046777,0.021368,0.000000,0.000000,0.190105,0.000000,0.000000,0.020071,
19,vector0,NA,NA,NA,NA,NA,NA,30107.035156,49676609,0.068119,0.046757,0.021362,0.000000,0.000000,0.190412,0.000000,0.000000,0.020086,
20,vector0,NA,NA,NA,NA,NA,NA,30154.070312,49754215,0.068024,0.046694,0.021331,0.000000,0.000000,0.191339,0.000000,0.000000,0.020054,
21,vector0,NA,NA,NA,NA,NA,NA,30155.175781,49756042,0.068021,0.046691,0.021330,0.000000,0.000000,0.191510,0.000000,0.000000,0.020026,
22,vector0,NA,NA,NA,NA,NA,NA,30232.039062,49882863,0.067849,0.046574,0.021275,0.000000,0.000000,0.193381,0.000000,0.000000,0.019996,
23,vector0,NA,NA,NA,NA,NA,NA,30227.890625,49876020,0.067847,0.046574,0.021273,0.000000,0.000000,0.193415,0.000000,0.000000,0.019992,
24,vector0,NA,NA,NA,NA,NA,NA,30365.187500,50102561,0.067551,0.046371,0.021180,0.000000,0.000000,0.197014,0.000000,0.000000,0.019901,
25,vector0,NA,NA,NA,NA,NA,NA,30372.781250,50115090,0.067534,0.046359,0.021175,0.000000,0.000000,0.197192,0.000000,0.000000,0.019893,
