block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27307.039062,45056615,0.477686,0.161311,0.000000,0.000000,0.000000,0.018176,491366528,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27480.912109,45343506,0.474664,0.160290,0.000000,0.000000,0.000000,0.018061,491366528,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27486.279297,45352359,0.474571,0.160259,0.000000,0.000000,0.000000,0.018057,491366528,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27560.753906,45475245,0.473215,0.159801,0.000000,0.000000,0.000000,0.018006,491289728,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27579.587891,45506321,0.472966,0.159717,0.000000,0.000000,0.000000,0.017996,491366528,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27202.886719,44884764,0.479515,0.161929,0.000000,0.000000,0.000000,0.018246,491366528,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27229.183594,44928151,0.479052,0.161772,0.000000,0.000000,0.000000,0.018228,491366528,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27551.796875,45460462,0.473369,0.159853,0.000000,0.000000,0.000000,0.018012,491289728,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27561.949219,45477218,0.473268,0.159819,0.000000,0.000000,0.000000,0.018008,491366528,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27486.222656,45352268,0.474572,0.160259,0.000000,0.000000,0.000000,0.018057,491366528,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27487.197266,45353877,0.474555,0.160254,0.000000,0.000000,0.000000,0.018057,491366528,
