block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27307.039062,45056615,6015,399,2398337,7082,2398571,7049,93.779236,99.706284,99.698387,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27480.912109,45343506,6014,400,2399554,5639,2400141,5624,93.763641,99.765892,99.757896,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27486.279297,45352359,6014,400,2403845,1953,2403273,1952,93.763641,99.918831,99.910637,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27560.753906,45475245,6013,400,2404340,833,2403799,839,93.762672,99.965233,99.956978,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27579.587891,45506321,6014,400,2404637,655,2405152,675,93.763641,99.972359,99.964088,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27202.886719,44884764,6014,400,2399640,5344,2400421,5360,93.763641,99.777504,99.769485,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27229.183594,44928151,6014,400,2394208,11739,2393356,11794,93.763641,99.510864,99.503204,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27551.796875,45460462,6014,399,2404459,466,2404819,462,93.778259,99.980713,99.972450,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27561.949219,45477218,6014,400,2405261,468,2404913,460,93.763641,99.980713,99.972435,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27486.222656,45352268,6014,400,2403651,2047,2403267,2047,93.763641,99.914902,99.906708,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27487.197266,45353877,6014,400,2403867,1394,2404241,1403,93.763641,99.941864,99.933632,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27311.857422,45064564,6013,400,2403345,1490,2404275,1488,93.762672,99.938095,99.929871,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27322.531250,45082177,6014,400,2405077,1020,2404145,1023,93.763641,99.957542,99.949287,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27196.824219,44874762,6014,400,2403439,1910,2403791,1907,93.763641,99.920662,99.912468,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27207.646484,44892618,6015,399,2403161,2611,2402823,2601,93.779236,99.891670,99.883530,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27087.503906,44694381,6013,400,2403874,1499,2403670,1483,93.762672,99.938011,99.929794,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27092.150391,44702048,6014,400,2404174,1571,2404376,1589,93.763641,99.934326,99.926109,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27097.376953,44710670,6014,400,2399998,5897,2399765,5927,93.763641,99.754257,99.746284,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27098.626953,44712735,6014,400,2404782,852,2404978,860,93.763641,99.964417,99.956161,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27371.537109,45163037,6013,400,2401304,2979,2403452,2972,93.762672,99.876297,99.868156,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27381.187500,45178959,6014,400,2405070,1911,2402939,1902,93.763641,99.920753,99.912560,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27468.244141,45322603,6015,399,2404921,1195,2404686,1197,93.779236,99.950294,99.942078,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27476.761719,45336656,6014,400,2399977,5734,2400227,5717,93.763641,99.762016,99.754028,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27161.724609,44816845,6013,400,2404727,1402,2403668,1388,93.762672,99.942009,99.933784,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27175.287109,44839223,6014,400,2405070,419,2406145,417,93.763641,99.982628,99.974350,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27171.316406,44832674,6014,400,2404913,881,2405747,887,93.763641,99.963257,99.955009,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27177.357422,44842640,6014,400,2403835,2751,2403008,2739,93.763641,99.885918,99.877769,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27176.523438,44841265,6013,400,2402001,3902,2402221,3904,93.762672,99.837784,99.829697,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27187.398438,44859209,6015,399,2404733,1860,2404509,1862,93.779236,99.922668,99.914490,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27426.783203,45254193,6014,400,2405279,1025,2405596,1022,93.763641,99.957466,99.949226,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27442.478516,45280086,6014,400,2405204,1554,2404887,1557,93.763641,99.935364,99.927155,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27349.390625,45126496,6013,400,2403665,2321,2404731,2314,93.762672,99.903702,99.895523,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27356.847656,45138800,6014,400,2405886,1586,2404829,1583,93.763641,99.934166,99.925957,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27076.402344,44676063,6014,400,2406149,930,2406040,931,93.763641,99.961342,99.953094,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27084.160156,44688862,6014,400,2406831,565,2406955,550,93.763641,99.976845,99.968575,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27072.669922,44669905,6014,399,2404441,2751,2404663,2740,93.778259,99.885948,99.877831,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27088.908203,44696701,6014,400,2406053,2273,2405852,2262,93.763641,99.905846,99.897675,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27166.935547,44825444,6014,400,2408399,566,2408564,552,93.763641,99.976791,99.968536,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27184.636719,44854652,6014,400,2408628,1822,2408491,1807,93.763641,99.924721,99.916534,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27304.863281,45053022,6012,401,2417756,1244,2417544,1254,93.747078,99.948364,99.940155,
