block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27307.039062,45056615,0.027931,21.002584,21.002665,0.028000,12834,0.162331,6399,0.028174,601379.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601377.625000,10.770556,799.750000,0.015870,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27480.912109,45343506,0.027754,20.869349,20.869427,0.027823,12836,0.167922,6399,0.027980,601369.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601367.500000,10.702229,799.750000,0.015769,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27486.279297,45352359,0.027748,20.865557,20.865633,0.027818,12835,0.168021,6399,0.028233,601377.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601375.625000,10.700286,799.750000,0.015766,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27560.753906,45475245,0.027669,20.803930,20.804007,0.027738,12833,0.169776,6398,0.028881,601226.375000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,601224.125000,10.668682,799.625000,0.015721,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27579.587891,45506321,0.027655,20.795378,20.795454,0.027724,12836,0.170234,6399,0.029037,601389.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601387.625000,10.664296,799.750000,0.015713,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27202.886719,44884764,0.028038,21.081795,21.081875,0.028108,12836,0.158914,6399,0.030864,601345.625000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601343.375000,10.811176,799.750000,0.015930,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27229.183594,44928151,0.028010,21.062891,21.062969,0.028080,12838,0.159993,6399,0.031098,601387.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601384.875000,10.801482,799.750000,0.015915,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27551.796875,45460462,0.027678,20.812401,20.812481,0.027747,12836,0.169549,6398,0.028825,601275.750000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,601273.500000,10.673025,799.625000,0.015726,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27561.949219,45477218,0.027672,20.808611,20.808691,0.027741,12839,0.169492,6399,0.029123,601387.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601385.500000,10.671082,799.750000,0.015723,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27486.222656,45352268,0.027748,20.865551,20.865629,0.027818,12839,0.167760,6399,0.027983,601376.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601374.250000,10.700283,799.750000,0.015766,
