block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27307.039062,45056615,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27480.912109,45343506,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27486.279297,45352359,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27560.753906,45475245,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27579.587891,45506321,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27202.886719,44884764,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27229.183594,44928151,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27551.796875,45460462,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27561.949219,45477218,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27486.222656,45352268,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27487.197266,45353877,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27311.857422,45064564,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27322.531250,45082177,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27196.824219,44874762,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27207.646484,44892618,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27087.503906,44694381,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27092.150391,44702048,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27097.376953,44710670,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27098.626953,44712735,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27371.537109,45163037,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27381.187500,45178959,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27468.244141,45322603,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27476.761719,45336656,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27161.724609,44816845,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27175.287109,44839223,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27171.316406,44832674,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27177.357422,44842640,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27176.523438,44841265,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27187.398438,44859209,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27426.783203,45254193,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27442.478516,45280086,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27349.390625,45126496,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27356.847656,45138800,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27076.402344,44676063,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27084.160156,44688862,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27072.669922,44669905,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27088.908203,44696701,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27166.935547,44825444,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27184.636719,44854652,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27304.863281,45053022,
