block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,27307.039062,45056615,86.473206,42.454456,0.027933,0.055861,
1,vector0,NA,NA,27480.912109,45343506,85.926086,42.185844,0.027756,0.055508,
2,vector0,NA,NA,27486.279297,45352359,85.909325,42.177608,0.027751,0.055497,
3,vector0,NA,NA,27560.753906,45475245,85.663765,42.057064,0.027671,0.055338,
4,vector0,NA,NA,27579.587891,45506321,85.618675,42.034908,0.027657,0.055309,
5,vector0,NA,NA,27202.886719,44884764,86.804306,42.617004,0.028040,0.056075,
6,vector0,NA,NA,27229.183594,44928151,86.720474,42.575844,0.028013,0.056021,
7,vector0,NA,NA,27551.796875,45460462,85.691635,42.070736,0.027680,0.055356,
8,vector0,NA,NA,27561.949219,45477218,85.673477,42.061810,0.027674,0.055344,
9,vector0,NA,NA,27486.222656,45352268,85.909500,42.177696,0.027751,0.055497,
10,vector0,NA,NA,27487.197266,45353877,85.906456,42.176197,0.027750,0.055495,
11,vector0,NA,NA,27311.857422,45064564,86.444466,42.440334,0.027923,0.055843,
12,vector0,NA,NA,27322.531250,45082177,86.424202,42.430386,0.027917,0.055829,
13,vector0,NA,NA,27196.824219,44874762,86.823654,42.626503,0.028046,0.056088,
14,vector0,NA,NA,27207.646484,44892618,86.789131,42.609547,0.028035,0.056065,
15,vector0,NA,NA,27087.503906,44694381,87.160446,42.791847,0.028155,0.056305,
16,vector0,NA,NA,27092.150391,44702048,87.159142,42.791195,0.028154,0.056304,
17,vector0,NA,NA,27097.376953,44710670,87.142326,42.782940,0.028149,0.056293,
18,vector0,NA,NA,27098.626953,44712735,87.138329,42.780968,0.028148,0.056291,
19,vector0,NA,NA,27371.537109,45163037,86.256004,42.347801,0.027863,0.055721,
20,vector0,NA,NA,27381.187500,45178959,86.239098,42.339489,0.027857,0.055710,
21,vector0,NA,NA,27468.244141,45322603,85.965797,42.205299,0.027769,0.055533,
22,vector0,NA,NA,27476.761719,45336656,85.939133,42.192219,0.027760,0.055516,
23,vector0,NA,NA,27161.724609,44816845,86.922333,42.674919,0.028078,0.056151,
24,vector0,NA,NA,27175.287109,44839223,86.892532,42.660286,0.028068,0.056132,
25,vector0,NA,NA,27171.316406,44832674,86.905266,42.666519,0.028072,0.056140,
26,vector0,NA,NA,27177.357422,44842640,86.885948,42.657036,0.028066,0.056128,
27,vector0,NA,NA,27176.523438,44841265,86.875053,42.651680,0.028063,0.056121,
28,vector0,NA,NA,27187.398438,44859209,86.853897,42.641281,0.028056,0.056107,
29,vector0,NA,NA,27426.783203,45254193,86.095825,42.269104,0.027811,0.055617,
30,vector0,NA,NA,27442.478516,45280086,86.046600,42.244926,0.027795,0.055585,
31,vector0,NA,NA,27349.390625,45126496,86.325996,42.382092,0.027885,0.055766,
32,vector0,NA,NA,27356.847656,45138800,86.315979,42.377159,0.027882,0.055759,
33,vector0,NA,NA,27076.402344,44676063,87.210007,42.816082,0.028171,0.056337,
34,vector0,NA,NA,27084.160156,44688862,87.185081,42.803818,0.028163,0.056321,
35,vector0,NA,NA,27072.669922,44669905,87.208496,42.815296,0.028170,0.056336,
36,vector0,NA,NA,27088.908203,44696701,87.169930,42.796318,0.028158,0.056311,
37,vector0,NA,NA,27166.935547,44825444,86.919670,42.673401,0.028077,0.056149,
38,vector0,NA,NA,27184.636719,44854652,86.863266,42.645615,0.028059,0.056113,
39,vector0,NA,NA,27304.863281,45053022,86.461739,42.447891,0.027928,0.055852,
