block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27307.039062,45056615,13044.196289,0.477686,13663.294922,0.500358,4432.787109,0.162331,769.345459,0.028174,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27480.912109,45343506,13044.196289,0.474664,13663.270508,0.497191,4614.653809,0.167922,768.910889,0.027980,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27486.279297,45352359,13044.196289,0.474571,13665.750000,0.497184,4618.263672,0.168021,776.015137,0.028233,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27560.753906,45475245,13042.157227,0.473215,13661.936523,0.495703,4679.168457,0.169776,795.983643,0.028881,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27579.587891,45506321,13044.196289,0.472966,13664.769531,0.495467,4694.988281,0.170234,800.823059,0.029037,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27202.886719,44884764,13044.196289,0.479515,13665.250977,0.502346,4322.920410,0.158914,839.583008,0.030864,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27229.183594,44928151,13044.196289,0.479052,13664.363281,0.501828,4356.468262,0.159993,846.761230,0.031098,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27551.796875,45460462,13042.157227,0.473369,13663.221680,0.495910,4671.376465,0.169549,794.179382,0.028825,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27561.949219,45477218,13044.199219,0.473268,13664.521484,0.495775,4671.530273,0.169492,802.686646,0.029123,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27486.222656,45352268,13044.196289,0.474572,13665.973633,0.497194,4611.100586,0.167760,769.143005,0.027983,0.000000,
