block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,27307.039062,45056615,0.072417,0.060776,0.011641,0.000000,0.000000,0.243679,0.000000,0.000000,0.022152,
1,vector0,NA,NA,NA,NA,NA,NA,27480.912109,45343506,0.071959,0.060392,0.011567,0.000000,0.000000,0.248071,0.000000,0.000000,0.022012,
2,vector0,NA,NA,NA,NA,NA,NA,27486.279297,45352359,0.071945,0.060380,0.011565,0.000000,0.000000,0.247867,0.000000,0.000000,0.022007,
3,vector0,NA,NA,NA,NA,NA,NA,27560.753906,45475245,0.071739,0.060207,0.011532,0.000000,0.000000,0.250750,0.000000,0.000000,0.021945,
4,vector0,NA,NA,NA,NA,NA,NA,27579.587891,45506321,0.071701,0.060176,0.011526,0.000000,0.000000,0.251267,0.000000,0.000000,0.021933,
5,vector0,NA,NA,NA,NA,NA,NA,27202.886719,44884764,0.072694,0.061009,0.011685,0.000000,0.000000,0.240492,0.000000,0.000000,0.022237,
6,vector0,NA,NA,NA,NA,NA,NA,27229.183594,44928151,0.072624,0.060950,0.011674,0.000000,0.000000,0.241382,0.000000,0.000000,0.022215,
7,vector0,NA,NA,NA,NA,NA,NA,27551.796875,45460462,0.071762,0.060227,0.011536,0.000000,0.000000,0.250375,0.000000,0.000000,0.021952,
8,vector0,NA,NA,NA,NA,NA,NA,27561.949219,45477218,0.071747,0.060214,0.011533,0.000000,0.000000,0.250670,0.000000,0.000000,0.021947,
9,vector0,NA,NA,NA,NA,NA,NA,27486.222656,45352268,0.071945,0.060380,0.011565,0.000000,0.000000,0.248608,0.000000,0.000000,0.022007,
10,vector0,NA,NA,NA,NA,NA,NA,27487.197266,45353877,0.071942,0.060378,0.011564,0.000000,0.000000,0.248756,0.000000,0.000000,0.022007,
11,vector0,NA,NA,NA,NA,NA,NA,27311.857422,45064564,0.072393,0.060756,0.011637,0.000000,0.000000,0.243953,0.000000,0.000000,0.022144,
12,vector0,NA,NA,NA,NA,NA,NA,27322.531250,45082177,0.072376,0.060742,0.011634,0.000000,0.000000,0.243888,0.000000,0.000000,0.022139,
13,vector0,NA,NA,NA,NA,NA,NA,27196.824219,44874762,0.072710,0.061022,0.011688,0.000000,0.000000,0.240158,0.000000,0.000000,0.022242,
14,vector0,NA,NA,NA,NA,NA,NA,27207.646484,44892618,0.072681,0.060998,0.011683,0.000000,0.000000,0.240703,0.000000,0.000000,0.022233,
15,vector0,NA,NA,NA,NA,NA,NA,27087.503906,44694381,0.072992,0.061259,0.011733,0.000000,0.000000,0.237055,0.000000,0.000000,0.022328,
16,vector0,NA,NA,NA,NA,NA,NA,27092.150391,44702048,0.072991,0.061258,0.011733,0.000000,0.000000,0.237366,0.000000,0.000000,0.022328,
17,vector0,NA,NA,NA,NA,NA,NA,27097.376953,44710670,0.072977,0.061246,0.011730,0.000000,0.000000,0.237552,0.000000,0.000000,0.022323,
18,vector0,NA,NA,NA,NA,NA,NA,27098.626953,44712735,0.072973,0.061244,0.011729,0.000000,0.000000,0.237513,0.000000,0.000000,0.022322,
19,vector0,NA,NA,NA,NA,NA,NA,27371.537109,45163037,0.072234,0.060624,0.011611,0.000000,0.000000,0.245371,0.000000,0.000000,0.022096,
20,vector0,NA,NA,NA,NA,NA,NA,27381.187500,45178959,0.072220,0.060612,0.011608,0.000000,0.000000,0.245457,0.000000,0.000000,0.022092,
21,vector0,NA,NA,NA,NA,NA,NA,27468.244141,45322603,0.071991,0.060420,0.011571,0.000000,0.000000,0.247520,0.000000,0.000000,0.022022,
22,vector0,NA,NA,NA,NA,NA,NA,27476.761719,45336656,0.071969,0.060401,0.011568,0.000000,0.000000,0.248022,0.000000,0.000000,0.022015,
23,vector0,NA,NA,NA,NA,NA,NA,27161.724609,44816845,0.072792,0.061092,0.011700,0.000000,0.000000,0.239597,0.000000,0.000000,0.022267,
24,vector0,NA,NA,NA,NA,NA,NA,27175.287109,44839223,0.072767,0.061071,0.011696,0.000000,0.000000,0.239985,0.000000,0.000000,0.022259,
25,vector0,NA,NA,NA,NA,NA,NA,27171.316406,44832674,0.072777,0.061080,0.011697,0.000000,0.000000,0.239899,0.000000,0.000000,0.022263,
26,vector0,NA,NA,NA,NA,NA,NA,27177.357422,44842640,0.072761,0.061066,0.011695,0.000000,0.000000,0.239854,0.000000,0.000000,0.022258,
27,vector0,NA,NA,NA,NA,NA,NA,27176.523438,44841265,0.072752,0.061059,0.011693,0.000000,0.000000,0.239822,0.000000,0.000000,0.022255,
28,vector0,NA,NA,NA,NA,NA,NA,27187.398438,44859209,0.072734,0.061044,0.011690,0.000000,0.000000,0.240052,0.000000,0.000000,0.022249,
29,vector0,NA,NA,NA,NA,NA,NA,27426.783203,45254193,0.072099,0.060511,0.011588,0.000000,0.000000,0.246977,0.000000,0.000000,0.022055,
30,vector0,NA,NA,NA,NA,NA,NA,27442.478516,45280086,0.072057,0.060477,0.011581,0.000000,0.000000,0.247483,0.000000,0.000000,0.022043,
31,vector0,NA,NA,NA,NA,NA,NA,27349.390625,45126496,0.072291,0.060673,0.011618,0.000000,0.000000,0.244588,0.000000,0.000000,0.022114,
32,vector0,NA,NA,NA,NA,NA,NA,27356.847656,45138800,0.072282,0.060666,0.011616,0.000000,0.000000,0.244718,0.000000,0.000000,0.022112,
33,vector0,NA,NA,NA,NA,NA,NA,27076.402344,44676063,0.073031,0.061294,0.011736,0.000000,0.000000,0.236931,0.000000,0.000000,0.022341,
34,vector0,NA,NA,NA,NA,NA,NA,27084.160156,44688862,0.073009,0.061277,0.011732,0.000000,0.000000,0.237384,0.000000,0.000000,0.022334,
35,vector0,NA,NA,NA,NA,NA,NA,27072.669922,44669905,0.073028,0.061293,0.011735,0.000000,0.000000,0.237064,0.000000,0.000000,0.022340,
36,vector0,NA,NA,NA,NA,NA,NA,27088.908203,44696701,0.072995,0.061266,0.011728,0.000000,0.000000,0.237502,0.000000,0.000000,0.022330,
37,vector0,NA,NA,NA,NA,NA,NA,27166.935547,44825444,0.072783,0.061091,0.011693,0.000000,0.000000,0.239645,0.000000,0.000000,0.022266,
38,vector0,NA,NA,NA,NA,NA,NA,27184.636719,44854652,0.072733,0.061052,0.011682,0.000000,0.000000,0.239964,0.000000,0.000000,0.022252,
39,vector0,NA,NA,NA,NA,NA,NA,27304.863281,45053022,0.072379,0.060772,0.011608,0.000000,0.000000,0.243438,0.000000,0.000000,0.022148,
