block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26650.083984,43972641,0.487717,0.165288,0.000000,0.000000,0.000000,0.018624,491366528,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26730.472656,44105281,0.486251,0.164790,0.000000,0.000000,0.000000,0.018568,491366528,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26730.013672,44104525,0.486259,0.164793,0.000000,0.000000,0.000000,0.018568,491366528,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26777.609375,44183054,0.485319,0.164475,0.000000,0.000000,0.000000,0.018532,491289728,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26792.500000,44207622,0.485125,0.164409,0.000000,0.000000,0.000000,0.018525,491366528,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26541.634766,43793695,0.489710,0.165963,0.000000,0.000000,0.000000,0.018700,491366528,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26553.986328,43814076,0.489483,0.165886,0.000000,0.000000,0.000000,0.018691,491366528,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26771.480469,44172946,0.485430,0.164512,0.000000,0.000000,0.000000,0.018537,491289728,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26786.384766,44197534,0.485236,0.164446,0.000000,0.000000,0.000000,0.018529,491366528,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26736.509766,44115239,0.486141,0.164753,0.000000,0.000000,0.000000,0.018564,491366528,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26741.521484,44123510,0.486050,0.164722,0.000000,0.000000,0.000000,0.018560,491366528,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26623.166016,43928222,0.488135,0.165429,0.000000,0.000000,0.000000,0.018640,491289728,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26634.693359,43947244,0.488000,0.165383,0.000000,0.000000,0.000000,0.018635,491366528,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26539.242188,43789747,0.489755,0.165978,0.000000,0.000000,0.000000,0.018702,491366528,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26548.039062,43804263,0.489592,0.165923,0.000000,0.000000,0.000000,0.018696,491366528,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26468.763672,43673461,0.490982,0.166394,0.000000,0.000000,0.000000,0.018749,491289728,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26473.697266,43681600,0.490967,0.166389,0.000000,0.000000,0.000000,0.018748,491366528,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26470.164062,43675773,0.491033,0.166411,0.000000,0.000000,0.000000,0.018751,491366528,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26473.587891,43681421,0.490970,0.166389,0.000000,0.000000,0.000000,0.018748,491366528,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26654.482422,43979898,0.487561,0.165234,0.000000,0.000000,0.000000,0.018618,491289728,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26665.812500,43998593,0.487431,0.165190,0.000000,0.000000,0.000000,0.018613,491366528,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26693.687500,44044582,0.486922,0.165018,0.000000,0.000000,0.000000,0.018594,491366528,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26710.947266,44073065,0.486607,0.164911,0.000000,0.000000,0.000000,0.018582,491366528,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26524.169922,43764882,0.489957,0.166046,0.000000,0.000000,0.000000,0.018710,491289728,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26533.769531,43780721,0.489856,0.166012,0.000000,0.000000,0.000000,0.018706,491366528,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26513.736328,43747666,0.490227,0.166138,0.000000,0.000000,0.000000,0.018720,491366528,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26516.529297,43752274,0.490175,0.166120,0.000000,0.000000,0.000000,0.018718,491366528,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26524.443359,43765332,0.489953,0.166044,0.000000,0.000000,0.000000,0.018709,491289728,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26535.927734,43784282,0.489817,0.165999,0.000000,0.000000,0.000000,0.018704,491366528,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26701.142578,44056885,0.486787,0.164971,0.000000,0.000000,0.000000,0.018588,491366528,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26710.210938,44071850,0.486622,0.164915,0.000000,0.000000,0.000000,0.018582,491366528,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26653.423828,43978149,0.487582,0.165241,0.000000,0.000000,0.000000,0.018619,491289728,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26664.435547,43996319,0.487458,0.165199,0.000000,0.000000,0.000000,0.018614,491366528,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26465.859375,43668668,0.491115,0.166438,0.000000,0.000000,0.000000,0.018754,491366528,
