block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26650.083984,43972641,6015,399,2396977,7076,2396561,7088,93.779236,99.705391,99.697495,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26730.472656,44105281,6014,400,2398156,5630,2398514,5652,93.763641,99.765350,99.757355,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26730.013672,44104525,6014,400,2402012,1954,2401624,1962,93.763641,99.918541,99.910339,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26777.609375,44183054,6013,400,2402316,823,2402977,855,93.762672,99.965096,99.956825,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26792.500000,44207622,6014,400,2403216,980,2402525,978,93.763641,99.959274,99.951019,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26541.634766,43793695,6014,400,2398822,5365,2398194,5367,93.763641,99.776779,99.768768,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26553.986328,43814076,6014,400,2391679,12091,2392294,12102,93.763641,99.496841,99.489197,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26771.480469,44172946,6014,399,2403488,463,2403022,465,93.778259,99.980698,99.972435,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26786.384766,44197534,6014,400,2403431,468,2403901,462,93.763641,99.980652,99.972374,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26736.509766,44115239,6014,400,2401711,2044,2402240,2060,93.763641,99.914642,99.906448,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26741.521484,44123510,6014,400,2402828,1401,2402285,1399,93.763641,99.941765,99.933533,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26623.166016,43928222,6013,400,2402212,1489,2402179,1494,93.762672,99.937950,99.929718,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26634.693359,43947244,6014,400,2403047,1032,2403088,1019,93.763641,99.957344,99.949097,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26539.242188,43789747,6014,400,2402110,1921,2402269,1904,93.763641,99.920448,99.912247,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26548.039062,43804263,6015,399,2401444,2602,2401286,2617,93.779236,99.891449,99.883308,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26468.763672,43673461,6013,400,2402262,1485,2402503,1497,93.762672,99.937981,99.929749,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26473.697266,43681600,6014,400,2402780,1577,2402517,1588,93.763641,99.934181,99.925957,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26470.164062,43675773,6014,400,2399044,5926,2397819,5922,93.763641,99.753616,99.745636,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26473.587891,43681421,6014,400,2401490,2274,2402719,2273,93.763641,99.905441,99.897263,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26654.482422,43979898,6013,400,2400879,2983,2400800,2987,93.762672,99.875824,99.867683,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26665.812500,43998593,6014,400,2402347,1922,2402441,1904,93.763641,99.920433,99.912231,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26693.687500,44044582,6015,399,2404261,475,2403622,480,93.779236,99.980141,99.971878,
