block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26650.083984,43972641,0.028619,21.505396,21.505476,0.028691,8570,0.147671,6399,0.028764,600962.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,600960.500000,11.028408,799.750000,0.016261,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26730.472656,44105281,0.028533,21.441835,21.441914,0.028604,8571,0.150629,6399,0.028843,600994.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,600991.750000,10.995813,799.750000,0.016212,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26730.013672,44104525,0.028534,21.440422,21.440500,0.028605,8571,0.150663,6399,0.029111,600944.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,600941.750000,10.995089,799.750000,0.016212,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26777.609375,44183054,0.028478,21.399723,21.399803,0.028550,8570,0.152264,6398,0.029623,600871.375000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,600869.125000,10.974217,799.625000,0.016181,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26792.500000,44207622,0.028467,21.391069,21.391150,0.028538,8572,0.152344,6399,0.029964,600962.375000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,600960.125000,10.969779,799.750000,0.016174,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26541.634766,43793695,0.028736,21.593475,21.593555,0.028808,8573,0.144683,6399,0.031536,600968.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,600966.250000,11.073578,799.750000,0.016327,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26553.986328,43814076,0.028723,21.585304,21.585386,0.028794,8574,0.145057,6399,0.031793,601020.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601018.500000,11.069387,799.750000,0.016320,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26771.480469,44172946,0.028485,21.406702,21.406782,0.028556,8573,0.152128,6398,0.029713,600929.750000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,600927.500000,10.977796,799.625000,0.016185,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26786.384766,44197534,0.028473,21.398460,21.398539,0.028545,8576,0.152361,6399,0.029890,601032.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601030.500000,10.973569,799.750000,0.016178,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26736.509766,44115239,0.028527,21.437454,21.437532,0.028598,8576,0.150677,6399,0.028835,601006.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601004.625000,10.993566,799.750000,0.016208,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26741.521484,44123510,0.028521,21.432802,21.432882,0.028593,8575,0.150937,6399,0.029018,600989.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,600986.875000,10.991180,799.750000,0.016205,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26623.166016,43928222,0.028644,21.525671,21.525751,0.028715,8575,0.148039,6398,0.028602,600921.750000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,600919.500000,11.038806,799.625000,0.016275,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26634.693359,43947244,0.028636,21.519989,21.520069,0.028707,8578,0.148181,6399,0.028880,601023.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601021.000000,11.035892,799.750000,0.016270,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26539.242188,43789747,0.028739,21.597467,21.597548,0.028810,8578,0.144650,6399,0.028609,601025.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601023.250000,11.075624,799.750000,0.016329,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26548.039062,43804263,0.028729,21.589165,21.589247,0.028801,8578,0.144782,6399,0.028970,600993.625000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,600991.375000,11.071366,799.750000,0.016323,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26468.763672,43673461,0.028811,21.652920,21.653000,0.028883,8580,0.142632,6398,0.029053,600968.375000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,600966.125000,11.104061,799.625000,0.016370,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26473.697266,43681600,0.028810,21.652102,21.652182,0.028882,8580,0.142640,6399,0.029331,601057.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601055.500000,11.103642,799.750000,0.016369,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26470.164062,43675773,0.028814,21.656113,21.656197,0.028886,8582,0.142161,6399,0.029985,601088.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601086.625000,11.105700,799.750000,0.016371,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26473.587891,43681421,0.028810,21.653513,21.653599,0.028882,8583,0.142268,6399,0.030252,601094.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601092.250000,11.104365,799.750000,0.016369,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26654.482422,43979898,0.028610,21.501608,21.501688,0.028681,8582,0.148603,6398,0.030332,600956.125000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,600953.875000,11.026466,799.625000,0.016256,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26665.812500,43998593,0.028602,21.496788,21.496868,0.028674,8585,0.148826,6399,0.030469,601076.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601074.500000,11.023993,799.750000,0.016251,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26693.687500,44044582,0.028572,21.475342,21.475422,0.028644,8588,0.149964,6399,0.029368,601104.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601102.500000,11.012996,799.750000,0.016234,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26710.947266,44073065,0.028554,21.460018,21.460098,0.028625,8587,0.150472,6399,0.029538,601064.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601062.000000,11.005137,799.750000,0.016224,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26524.169922,43764882,0.028750,21.610250,21.610331,0.028822,8588,0.144050,6398,0.029517,601039.625000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,601037.375000,11.082180,799.625000,0.016335,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26533.769531,43780721,0.028745,21.605003,21.605083,0.028816,8591,0.144264,6399,0.029699,601111.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601109.000000,11.079489,799.750000,0.016332,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26513.736328,43747666,0.028766,21.623857,21.623938,0.028838,8594,0.143450,6399,0.030495,601181.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601179.250000,11.089158,799.750000,0.016344,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26516.529297,43752274,0.028763,21.619965,21.620045,0.028835,8595,0.143549,6399,0.030756,601136.625000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601134.375000,11.087162,799.750000,0.016343,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26524.443359,43765332,0.028750,21.613209,21.613289,0.028822,8598,0.144351,6398,0.029464,601128.125000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,601125.875000,11.083696,799.625000,0.016335,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26535.927734,43784282,0.028742,21.606113,21.606194,0.028814,8601,0.144544,6399,0.029700,601191.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601188.750000,11.080058,799.750000,0.016331,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26701.142578,44056885,0.028564,21.473501,21.473579,0.028636,8603,0.150020,6399,0.029355,601221.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601218.875000,11.012052,799.750000,0.016230,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26710.210938,44071850,0.028555,21.467764,21.467844,0.028626,8608,0.150302,6399,0.029582,601264.625000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601262.375000,11.009109,799.750000,0.016224,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26653.423828,43978149,0.028611,21.511862,21.511940,0.028683,8611,0.148616,6398,0.030230,601218.750000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,601216.500000,11.031725,799.625000,0.016256,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26664.435547,43996319,0.028604,21.508739,21.508821,0.028675,8619,0.148660,6399,0.030521,601379.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601377.625000,11.030123,799.750000,0.016252,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26465.859375,43668668,0.028818,21.669550,21.669630,0.028890,8621,0.142280,6399,0.030063,601364.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601361.750000,11.112590,799.750000,0.016374,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26473.857422,43681862,0.028810,21.666630,21.666710,0.028882,8632,0.142392,6399,0.030326,601464.625000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601462.375000,11.111093,799.750000,0.016369,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26469.242188,43674247,0.028810,21.668779,21.668863,0.028882,8638,0.142330,6398,0.029074,601419.500000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,601417.250000,11.112194,799.625000,0.016369,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26480.832031,43693372,0.028802,21.668617,21.668697,0.028874,8656,0.142657,6399,0.029242,601678.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601676.000000,11.112112,799.750000,0.016365,
