block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26650.083984,43972641,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26730.472656,44105281,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26730.013672,44104525,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26777.609375,44183054,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26792.500000,44207622,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26541.634766,43793695,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26553.986328,43814076,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26771.480469,44172946,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26786.384766,44197534,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26736.509766,44115239,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26741.521484,44123510,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26623.166016,43928222,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26634.693359,43947244,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26539.242188,43789747,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26548.039062,43804263,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26468.763672,43673461,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26473.697266,43681600,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26470.164062,43675773,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26473.587891,43681421,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26654.482422,43979898,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26665.812500,43998593,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26693.687500,44044582,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26710.947266,44073065,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26524.169922,43764882,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26533.769531,43780721,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26513.736328,43747666,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26516.529297,43752274,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26524.443359,43765332,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26535.927734,43784282,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26701.142578,44056885,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26710.210938,44071850,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26653.423828,43978149,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26664.435547,43996319,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26465.859375,43668668,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26473.857422,43681862,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26469.242188,43674247,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26480.832031,43693372,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26539.287109,43789826,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26554.753906,43815344,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26653.005859,43977460,
