block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,26650.083984,43972641,87.918655,43.501007,0.028621,0.057238,
1,vector0,NA,NA,26730.472656,44105281,87.654297,43.370182,0.028535,0.057066,
2,vector0,NA,NA,26730.013672,44104525,87.655800,43.370930,0.028536,0.057067,
3,vector0,NA,NA,26777.609375,44183054,87.486328,43.287075,0.028481,0.056957,
4,vector0,NA,NA,26792.500000,44207622,87.451393,43.269775,0.028469,0.056934,
5,vector0,NA,NA,26541.634766,43793695,88.277985,43.678753,0.028738,0.057472,
6,vector0,NA,NA,26553.986328,43814076,88.236961,43.658436,0.028725,0.057445,
7,vector0,NA,NA,26771.480469,44172946,87.506310,43.296986,0.028487,0.056970,
8,vector0,NA,NA,26786.384766,44197534,87.471397,43.279655,0.028476,0.056947,
9,vector0,NA,NA,26736.509766,44115239,87.634636,43.360390,0.028529,0.057053,
10,vector0,NA,NA,26741.521484,44123510,87.618240,43.352264,0.028523,0.057042,
11,vector0,NA,NA,26623.166016,43928222,87.993996,43.538185,0.028646,0.057287,
12,vector0,NA,NA,26634.693359,43947244,87.969681,43.526146,0.028638,0.057271,
13,vector0,NA,NA,26539.242188,43789747,88.286072,43.682690,0.028741,0.057477,
14,vector0,NA,NA,26548.039062,43804263,88.256729,43.668217,0.028731,0.057458,
15,vector0,NA,NA,26468.763672,43673461,88.507393,43.792160,0.028813,0.057621,
16,vector0,NA,NA,26473.697266,43681600,88.504654,43.790844,0.028812,0.057620,
17,vector0,NA,NA,26470.164062,43675773,88.516487,43.796688,0.028816,0.057627,
18,vector0,NA,NA,26473.587891,43681421,88.505074,43.791023,0.028812,0.057620,
19,vector0,NA,NA,26654.482422,43979898,87.890640,43.487034,0.028612,0.057220,
20,vector0,NA,NA,26665.812500,43998593,87.867149,43.475349,0.028604,0.057204,
21,vector0,NA,NA,26693.687500,44044582,87.775459,43.429951,0.028575,0.057145,
22,vector0,NA,NA,26710.947266,44073065,87.718681,43.401886,0.028556,0.057108,
23,vector0,NA,NA,26524.169922,43764882,88.322685,43.700684,0.028753,0.057501,
24,vector0,NA,NA,26533.769531,43780721,88.304459,43.691700,0.028747,0.057489,
25,vector0,NA,NA,26513.736328,43747666,88.371300,43.724712,0.028769,0.057533,
26,vector0,NA,NA,26516.529297,43752274,88.362022,43.720108,0.028765,0.057526,
27,vector0,NA,NA,26524.443359,43765332,88.321930,43.700233,0.028752,0.057500,
28,vector0,NA,NA,26535.927734,43784282,88.297546,43.688145,0.028744,0.057484,
29,vector0,NA,NA,26701.142578,44056885,87.751266,43.417824,0.028567,0.057129,
30,vector0,NA,NA,26710.210938,44071850,87.721581,43.403084,0.028557,0.057109,
31,vector0,NA,NA,26653.423828,43978149,87.894852,43.488762,0.028613,0.057222,
32,vector0,NA,NA,26664.435547,43996319,87.872414,43.477592,0.028606,0.057207,
33,vector0,NA,NA,26465.859375,43668668,88.531754,43.803810,0.028821,0.057637,
34,vector0,NA,NA,26473.857422,43681862,88.505348,43.790577,0.028812,0.057619,
35,vector0,NA,NA,26469.242188,43674247,88.507011,43.791370,0.028812,0.057620,
36,vector0,NA,NA,26480.832031,43693372,88.482567,43.779045,0.028804,0.057604,
37,vector0,NA,NA,26539.287109,43789826,88.288132,43.682617,0.028741,0.057477,
38,vector0,NA,NA,26554.753906,43815344,88.237656,43.657173,0.028724,0.057444,
39,vector0,NA,NA,26653.005859,43977460,87.897560,43.486046,0.028611,0.057218,
