block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26650.083984,43972641,12997.708984,0.487717,13021.852539,0.488623,3935.444336,0.147671,766.555176,0.028764,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26730.472656,44105281,12997.711914,0.486251,13021.299805,0.487133,4026.386719,0.150629,770.975159,0.028843,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26730.013672,44104525,12997.711914,0.486259,13022.644531,0.487192,4027.212646,0.150663,778.132751,0.029111,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26777.609375,44183054,12995.679688,0.485319,13020.646484,0.486251,4077.255127,0.152264,793.233948,0.029623,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26792.500000,44207622,12997.713867,0.485125,13023.874023,0.486101,4081.686035,0.152344,802.812134,0.029964,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26541.634766,43793695,12997.713867,0.489710,13022.493164,0.490644,3840.115723,0.144683,837.018188,0.031536,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26553.986328,43814076,12997.717773,0.489483,13023.447266,0.490452,3851.843750,0.145057,844.230896,0.031793,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26771.480469,44172946,12995.677734,0.485430,13020.041992,0.486340,4072.697510,0.152128,795.473328,0.029713,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26786.384766,44197534,12997.716797,0.485236,13023.651367,0.486204,4081.188477,0.152361,800.641846,0.029890,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26736.509766,44115239,12997.721680,0.486141,13023.226562,0.487095,4028.587158,0.150677,770.950317,0.028835,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26741.521484,44123510,12997.722656,0.486050,13024.117188,0.487037,4036.278809,0.150937,775.991516,0.029018,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26623.166016,43928222,12995.690430,0.488135,13022.664062,0.489148,3941.272217,0.148039,761.479370,0.028602,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26634.693359,43947244,12997.723633,0.488000,13024.348633,0.488999,3946.761230,0.148181,769.205444,0.028880,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26539.242188,43789747,12997.723633,0.489755,13023.895508,0.490741,3838.892090,0.144650,759.257568,0.028609,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26548.039062,43804263,12997.717773,0.489592,13021.764648,0.490498,3843.665527,0.144782,769.088501,0.028970,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26468.763672,43673461,12995.697266,0.490982,13019.177734,0.491870,3775.305420,0.142632,768.987244,0.029053,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26473.697266,43681600,12997.723633,0.490967,13021.648438,0.491871,3776.199951,0.142640,776.506042,0.029331,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26470.164062,43675773,12997.724609,0.491033,13022.407227,0.491965,3763.020508,0.142161,793.716370,0.029985,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26473.587891,43681421,12997.725586,0.490970,13022.497070,0.491905,3766.348389,0.142268,800.886658,0.030252,0.000000,
