block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,26650.083984,43972641,0.084378,0.060530,0.023848,0.000000,0.000000,0.236669,0.000000,0.000000,0.022843,
1,vector0,NA,NA,NA,NA,NA,NA,26730.472656,44105281,0.084123,0.060348,0.023775,0.000000,0.000000,0.238719,0.000000,0.000000,0.022775,
2,vector0,NA,NA,NA,NA,NA,NA,26730.013672,44104525,0.084125,0.060349,0.023776,0.000000,0.000000,0.239039,0.000000,0.000000,0.022775,
3,vector0,NA,NA,NA,NA,NA,NA,26777.609375,44183054,0.083962,0.060232,0.023730,0.000000,0.000000,0.240507,0.000000,0.000000,0.022731,
4,vector0,NA,NA,NA,NA,NA,NA,26792.500000,44207622,0.083928,0.060208,0.023720,0.000000,0.000000,0.240816,0.000000,0.000000,0.022722,
5,vector0,NA,NA,NA,NA,NA,NA,26541.634766,43793695,0.084721,0.060777,0.023944,0.000000,0.000000,0.233408,0.000000,0.000000,0.022937,
6,vector0,NA,NA,NA,NA,NA,NA,26553.986328,43814076,0.084681,0.060749,0.023932,0.000000,0.000000,0.233851,0.000000,0.000000,0.022926,
7,vector0,NA,NA,NA,NA,NA,NA,26771.480469,44172946,0.083982,0.060246,0.023736,0.000000,0.000000,0.239961,0.000000,0.000000,0.022736,
8,vector0,NA,NA,NA,NA,NA,NA,26786.384766,44197534,0.083947,0.060222,0.023725,0.000000,0.000000,0.240160,0.000000,0.000000,0.022727,
9,vector0,NA,NA,NA,NA,NA,NA,26736.509766,44115239,0.084102,0.060335,0.023768,0.000000,0.000000,0.238908,0.000000,0.000000,0.022770,
10,vector0,NA,NA,NA,NA,NA,NA,26741.521484,44123510,0.084086,0.060323,0.023763,0.000000,0.000000,0.239174,0.000000,0.000000,0.022765,
11,vector0,NA,NA,NA,NA,NA,NA,26623.166016,43928222,0.084447,0.060582,0.023865,0.000000,0.000000,0.236242,0.000000,0.000000,0.022863,
12,vector0,NA,NA,NA,NA,NA,NA,26634.693359,43947244,0.084423,0.060565,0.023858,0.000000,0.000000,0.236354,0.000000,0.000000,0.022857,
13,vector0,NA,NA,NA,NA,NA,NA,26539.242188,43789747,0.084727,0.060783,0.023943,0.000000,0.000000,0.233317,0.000000,0.000000,0.022939,
14,vector0,NA,NA,NA,NA,NA,NA,26548.039062,43804263,0.084700,0.060763,0.023937,0.000000,0.000000,0.233530,0.000000,0.000000,0.022931,
15,vector0,NA,NA,NA,NA,NA,NA,26468.763672,43673461,0.084938,0.060936,0.024002,0.000000,0.000000,0.231697,0.000000,0.000000,0.022996,
16,vector0,NA,NA,NA,NA,NA,NA,26473.697266,43681600,0.084937,0.060934,0.024003,0.000000,0.000000,0.231696,0.000000,0.000000,0.022996,
17,vector0,NA,NA,NA,NA,NA,NA,26470.164062,43675773,0.084948,0.060942,0.024006,0.000000,0.000000,0.231124,0.000000,0.000000,0.022999,
18,vector0,NA,NA,NA,NA,NA,NA,26473.587891,43681421,0.084936,0.060934,0.024002,0.000000,0.000000,0.231250,0.000000,0.000000,0.022996,
19,vector0,NA,NA,NA,NA,NA,NA,26654.482422,43979898,0.084347,0.060511,0.023836,0.000000,0.000000,0.237532,0.000000,0.000000,0.022836,
20,vector0,NA,NA,NA,NA,NA,NA,26665.812500,43998593,0.084323,0.060495,0.023827,0.000000,0.000000,0.237594,0.000000,0.000000,0.022830,
21,vector0,NA,NA,NA,NA,NA,NA,26693.687500,44044582,0.084234,0.060432,0.023802,0.000000,0.000000,0.238495,0.000000,0.000000,0.022806,
22,vector0,NA,NA,NA,NA,NA,NA,26710.947266,44073065,0.084180,0.060393,0.023787,0.000000,0.000000,0.238857,0.000000,0.000000,0.022791,
23,vector0,NA,NA,NA,NA,NA,NA,26524.169922,43764882,0.084758,0.060809,0.023949,0.000000,0.000000,0.232992,0.000000,0.000000,0.022948,
24,vector0,NA,NA,NA,NA,NA,NA,26533.769531,43780721,0.084742,0.060796,0.023945,0.000000,0.000000,0.233163,0.000000,0.000000,0.022944,
25,vector0,NA,NA,NA,NA,NA,NA,26513.736328,43747666,0.084804,0.060842,0.023962,0.000000,0.000000,0.232418,0.000000,0.000000,0.022961,
26,vector0,NA,NA,NA,NA,NA,NA,26516.529297,43752274,0.084794,0.060836,0.023958,0.000000,0.000000,0.232765,0.000000,0.000000,0.022958,
27,vector0,NA,NA,NA,NA,NA,NA,26524.443359,43765332,0.084755,0.060809,0.023946,0.000000,0.000000,0.233254,0.000000,0.000000,0.022948,
28,vector0,NA,NA,NA,NA,NA,NA,26535.927734,43784282,0.084731,0.060792,0.023939,0.000000,0.000000,0.233485,0.000000,0.000000,0.022942,
