block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35226.328125,58123441,0.366334,0.125046,0.000000,0.000000,0.000000,0.014090,491366528,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35285.332031,58220802,0.365721,0.124837,0.000000,0.000000,0.000000,0.014066,491366528,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35199.195312,58078670,0.366616,0.125143,0.000000,0.000000,0.000000,0.014101,491366528,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35240.542969,58146894,0.366129,0.124976,0.000000,0.000000,0.000000,0.014082,491289728,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35078.695312,57879846,0.367875,0.125573,0.000000,0.000000,0.000000,0.014149,491366528,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35110.343750,57932064,0.367544,0.125460,0.000000,0.000000,0.000000,0.014136,491366528,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35277.695312,58208202,0.365800,0.124864,0.000000,0.000000,0.000000,0.014069,491366528,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35253.410156,58168127,0.365995,0.124931,0.000000,0.000000,0.000000,0.014077,491289728,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35489.031250,58556903,0.363622,0.124121,0.000000,0.000000,0.000000,0.013986,491366528,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35544.472656,58648380,0.363055,0.123927,0.000000,0.000000,0.000000,0.013964,491366528,
