block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35226.328125,58123441,6015,399,2411393,8359,2411295,8318,93.779236,99.655388,99.647614,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35285.332031,58220802,6014,400,2414121,5539,2414274,5524,93.763641,99.771400,99.763451,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35199.195312,58078670,6014,400,2417618,1964,2417912,1964,93.763641,99.918831,99.910690,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35240.542969,58146894,6013,400,2418031,1467,2417711,1494,93.762672,99.938805,99.930626,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35078.695312,57879846,6014,400,2417725,1464,2418921,1443,93.763641,99.939934,99.931755,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35110.343750,57932064,6014,400,2415108,5256,2413933,5256,93.763641,99.782791,99.774826,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35277.695312,58208202,6014,400,2409243,10516,2409343,10547,93.763641,99.564781,99.557106,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35253.410156,58168127,6014,399,2419047,464,2418928,452,93.778259,99.981071,99.972862,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35489.031250,58556903,6014,400,2419462,449,2419368,464,93.763641,99.981140,99.972908,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35544.472656,58648380,6014,400,2417815,2017,2417907,2003,93.763641,99.916939,99.908791,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35643.898438,58812432,6014,400,2418603,1376,2418395,1368,93.763641,99.943306,99.935120,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35665.242188,58847653,6013,400,2417967,1465,2418186,1462,93.762672,99.939514,99.931343,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35080.109375,57882180,6014,400,2418930,1003,2418993,1006,93.763641,99.958488,99.950294,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35126.261719,57958333,6014,400,2418131,1867,2418050,1882,93.763641,99.922546,99.914383,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35133.812500,57970792,6015,399,2418195,2554,2416621,2561,93.779236,99.894318,99.886223,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35166.230469,58024279,6013,400,2417433,1465,2419006,1459,93.762672,99.939583,99.931404,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35132.718750,57968984,6014,400,2418754,1563,2418263,1541,93.763641,99.935867,99.927704,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35166.546875,58024802,6014,400,2413997,5807,2414511,5805,93.763641,99.760094,99.752151,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35678.328125,58869245,6014,400,2417237,3049,2417004,3019,93.763641,99.874634,99.866547,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35692.769531,58893070,6013,400,2416721,2924,2416980,2928,93.762672,99.879082,99.870987,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35598.457031,58737451,6014,400,2418785,1881,2417870,1868,93.763641,99.922546,99.914398,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35621.246094,58775054,6015,399,2418802,1030,2419733,1027,93.779236,99.957504,99.949333,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35220.359375,58113593,6014,400,2414955,5149,2415303,5185,93.763641,99.786514,99.778542,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35240.937500,58147548,6013,400,2418783,1374,2418404,1370,93.762672,99.943306,99.935127,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35032.562500,57803727,6014,400,2419491,411,2420563,410,93.763641,99.983040,99.974808,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35091.941406,57901704,6014,400,2420156,865,2419078,872,93.763641,99.964119,99.955917,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35106.015625,57924928,6014,400,2418768,2709,2416903,2685,93.763641,99.888580,99.880478,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35160.339844,58014562,6013,400,2415720,3632,2417592,3649,93.762672,99.849586,99.841530,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35175.402344,58039412,6015,399,2419528,1832,2418262,1821,93.779236,99.924545,99.916420,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35214.656250,58104181,6014,400,2419170,1008,2420447,1007,93.763641,99.958382,99.950188,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35743.570312,58976890,6014,400,2420182,383,2420982,368,93.763641,99.984489,99.976257,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35755.601562,58996743,6013,400,2419643,1471,2418858,1471,93.762672,99.939232,99.931061,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35931.246094,59286555,6014,400,2419457,1554,2420012,1555,93.763641,99.935799,99.927635,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35951.925781,59320678,6014,400,2420793,915,2420237,915,93.763641,99.962212,99.954010,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35274.253906,58202520,6014,400,2421478,549,2420949,546,93.763641,99.977386,99.969177,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35326.175781,58288194,6014,399,2418702,2698,2419237,2695,93.778259,99.888649,99.880569,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35991.218750,59385507,6014,400,2421639,1146,2421168,1175,93.763641,99.952095,99.943916,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36002.980469,59404920,6014,400,2422550,549,2422992,550,93.763641,99.977325,99.969109,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35674.796875,58863413,6014,400,2422510,1782,2423399,1784,93.763641,99.926468,99.918320,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35700.562500,58905929,6012,401,2432426,1026,2431530,1031,93.747078,99.957726,99.949554,
