block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35226.328125,58123441,0.021651,16.376818,16.376877,0.021706,51212,0.262329,6399,0.021540,604920.625000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604918.375000,8.398368,799.750000,0.012302,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35285.332031,58220802,0.021615,16.349745,16.349806,0.021669,51213,0.262600,6399,0.021781,604932.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,8.384484,799.750000,0.012281,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35199.195312,58078670,0.021668,16.389755,16.389816,0.021722,51213,0.261034,6399,0.021629,604932.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,8.405003,799.750000,0.012311,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35240.542969,58146894,0.021639,16.367973,16.368032,0.021693,51205,0.261706,6398,0.021734,604837.875000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604835.625000,8.393832,799.625000,0.012295,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35078.695312,57879846,0.021743,16.446381,16.446442,0.021797,51214,0.260129,6399,0.021976,604944.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,8.434041,799.750000,0.012354,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35110.343750,57932064,0.021723,16.431555,16.431616,0.021777,51214,0.260613,6399,0.022088,604944.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,8.426438,799.750000,0.012343,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35277.695312,58208202,0.021620,16.353930,16.353991,0.021674,51215,0.263295,6399,0.022479,604956.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604953.875000,8.386630,799.750000,0.012284,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35253.410156,58168127,0.021631,16.362633,16.362694,0.021686,51207,0.263312,6398,0.022755,604861.375000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604859.125000,8.391094,799.625000,0.012291,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35489.031250,58556903,0.021491,16.256859,16.256920,0.021545,51216,0.269004,6399,0.022705,604967.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604965.625000,8.336851,799.750000,0.012211,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35544.472656,58648380,0.021458,16.231499,16.231558,0.021511,51216,0.269952,6399,0.022937,604967.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,8.323846,799.750000,0.012192,
