block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35226.328125,58123441,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35285.332031,58220802,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35199.195312,58078670,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35240.542969,58146894,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35078.695312,57879846,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35110.343750,57932064,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35277.695312,58208202,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35253.410156,58168127,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35489.031250,58556903,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35544.472656,58648380,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35643.898438,58812432,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35665.242188,58847653,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35080.109375,57882180,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35126.261719,57958333,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35133.812500,57970792,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35166.230469,58024279,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35132.718750,57968984,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35166.546875,58024802,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35678.328125,58869245,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35692.769531,58893070,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35598.457031,58737451,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35621.246094,58775054,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35220.359375,58113593,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35240.937500,58147548,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35032.562500,57803727,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35091.941406,57901704,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35106.015625,57924928,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35160.339844,58014562,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35175.402344,58039412,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35214.656250,58104181,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35743.570312,58976890,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35755.601562,58996743,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35931.246094,59286555,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35951.925781,59320678,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35274.253906,58202520,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35326.175781,58288194,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35991.218750,59385507,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36002.980469,59404920,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35674.796875,58863413,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35700.562500,58905929,
