block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,35226.328125,58123441,66.859673,32.910198,0.021653,0.043303,
1,vector0,NA,NA,35285.332031,58220802,66.747871,32.855167,0.021617,0.043230,
2,vector0,NA,NA,35199.195312,58078670,66.911209,32.935570,0.021670,0.043336,
3,vector0,NA,NA,35240.542969,58146894,66.822258,32.891785,0.021641,0.043279,
4,vector0,NA,NA,35078.695312,57879846,67.141060,33.048706,0.021744,0.043485,
5,vector0,NA,NA,35110.343750,57932064,67.080536,33.018917,0.021725,0.043446,
6,vector0,NA,NA,35277.695312,58208202,66.762321,32.862282,0.021622,0.043240,
7,vector0,NA,NA,35253.410156,58168127,66.797874,32.879780,0.021633,0.043263,
8,vector0,NA,NA,35489.031250,58556903,66.364754,32.666588,0.021493,0.042982,
9,vector0,NA,NA,35544.472656,58648380,66.261238,32.615635,0.021459,0.042915,
10,vector0,NA,NA,35643.898438,58812432,66.076408,32.524654,0.021399,0.042796,
11,vector0,NA,NA,35665.242188,58847653,66.026543,32.500111,0.021383,0.042763,
12,vector0,NA,NA,35080.109375,57882180,67.138351,33.047375,0.021743,0.043483,
13,vector0,NA,NA,35126.261719,57958333,67.050140,33.003952,0.021715,0.043426,
14,vector0,NA,NA,35133.812500,57970792,67.035728,32.996861,0.021710,0.043417,
15,vector0,NA,NA,35166.230469,58024279,66.963470,32.961292,0.021687,0.043370,
16,vector0,NA,NA,35132.718750,57968984,67.037819,32.997887,0.021711,0.043418,
17,vector0,NA,NA,35166.546875,58024802,66.973328,32.966145,0.021690,0.043377,
18,vector0,NA,NA,35678.328125,58869245,66.012642,32.493267,0.021379,0.042754,
19,vector0,NA,NA,35692.769531,58893070,65.975624,32.475048,0.021367,0.042730,
20,vector0,NA,NA,35598.457031,58737451,66.160751,32.566174,0.021427,0.042850,
21,vector0,NA,NA,35621.246094,58775054,66.118423,32.545338,0.021413,0.042823,
22,vector0,NA,NA,35220.359375,58113593,66.871002,32.915775,0.021657,0.043310,
23,vector0,NA,NA,35240.937500,58147548,66.821510,32.891418,0.021641,0.043278,
24,vector0,NA,NA,35032.562500,57803727,67.229477,33.092228,0.021773,0.043542,
25,vector0,NA,NA,35091.941406,57901704,67.115715,33.036232,0.021736,0.043469,
26,vector0,NA,NA,35106.015625,57924928,67.088806,33.022987,0.021727,0.043451,
27,vector0,NA,NA,35160.339844,58014562,66.974686,32.966812,0.021690,0.043377,
28,vector0,NA,NA,35175.402344,58039412,66.956467,32.957848,0.021684,0.043366,
29,vector0,NA,NA,35214.656250,58104181,66.881836,32.921108,0.021660,0.043317,
30,vector0,NA,NA,35743.570312,58976890,65.892151,32.433960,0.021340,0.042676,
31,vector0,NA,NA,35755.601562,58996743,65.859688,32.417980,0.021329,0.042655,
32,vector0,NA,NA,35931.246094,59286555,65.547981,32.264549,0.021228,0.042453,
33,vector0,NA,NA,35951.925781,59320678,65.510284,32.245991,0.021216,0.042429,
34,vector0,NA,NA,35274.253906,58202520,66.768829,32.865486,0.021624,0.043244,
35,vector0,NA,NA,35326.175781,58288194,66.660278,32.812054,0.021589,0.043174,
36,vector0,NA,NA,35991.218750,59385507,65.438759,32.210789,0.021193,0.042383,
37,vector0,NA,NA,36002.980469,59404920,65.417381,32.200264,0.021186,0.042369,
38,vector0,NA,NA,35674.796875,58863413,66.019180,32.496487,0.021381,0.042759,
39,vector0,NA,NA,35700.562500,58905929,65.956070,32.465424,0.021360,0.042718,
