block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35226.328125,58123441,12904.591797,0.366334,19884.689453,0.564484,9240.886719,0.262329,758.772705,0.021540,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35285.332031,58220802,12904.591797,0.365721,19884.955078,0.563547,9265.921875,0.262600,768.563049,0.021781,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35199.195312,58078670,12904.591797,0.366616,19884.693359,0.564919,9188.195312,0.261034,761.307861,0.021629,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35240.542969,58146894,12902.574219,0.366129,19883.757812,0.564230,9222.676758,0.261706,765.912720,0.021734,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35078.695312,57879846,12904.591797,0.367875,19885.406250,0.566880,9124.978516,0.260129,770.901794,0.021976,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35110.343750,57932064,12904.591797,0.367544,19886.742188,0.566407,9150.213867,0.260613,775.508484,0.022088,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35277.695312,58208202,12904.591797,0.365800,19886.666016,0.563718,9288.438477,0.263295,793.012146,0.022479,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35253.410156,58168127,12902.574219,0.365995,19884.531250,0.564046,9282.642578,0.263312,802.186646,0.022755,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35489.031250,58556903,12904.591797,0.363622,19886.285156,0.560350,9546.709961,0.269004,805.790283,0.022705,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35544.472656,58648380,12904.591797,0.363055,19887.402344,0.559508,9595.307617,0.269952,815.278198,0.022937,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35643.898438,58812432,12904.591797,0.362042,19887.263672,0.557943,9711.206055,0.272451,782.982422,0.021967,0.000000,
