block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,35226.328125,58123441,0.052837,0.046672,0.006164,0.000000,0.000000,0.269827,0.000000,0.000000,0.017282,
1,vector0,NA,NA,NA,NA,NA,NA,35285.332031,58220802,0.052748,0.046594,0.006154,0.000000,0.000000,0.269987,0.000000,0.000000,0.017253,
2,vector0,NA,NA,NA,NA,NA,NA,35199.195312,58078670,0.052877,0.046708,0.006169,0.000000,0.000000,0.268727,0.000000,0.000000,0.017295,
3,vector0,NA,NA,NA,NA,NA,NA,35240.542969,58146894,0.052807,0.046646,0.006161,0.000000,0.000000,0.269118,0.000000,0.000000,0.017272,
4,vector0,NA,NA,NA,NA,NA,NA,35078.695312,57879846,0.053059,0.046869,0.006190,0.000000,0.000000,0.265650,0.000000,0.000000,0.017355,
5,vector0,NA,NA,NA,NA,NA,NA,35110.343750,57932064,0.053011,0.046826,0.006185,0.000000,0.000000,0.267441,0.000000,0.000000,0.017339,
6,vector0,NA,NA,NA,NA,NA,NA,35277.695312,58208202,0.052760,0.046604,0.006155,0.000000,0.000000,0.269527,0.000000,0.000000,0.017257,
7,vector0,NA,NA,NA,NA,NA,NA,35253.410156,58168127,0.052788,0.046629,0.006159,0.000000,0.000000,0.269727,0.000000,0.000000,0.017266,
8,vector0,NA,NA,NA,NA,NA,NA,35489.031250,58556903,0.052445,0.046327,0.006119,0.000000,0.000000,0.275420,0.000000,0.000000,0.017154,
9,vector0,NA,NA,NA,NA,NA,NA,35544.472656,58648380,0.052364,0.046255,0.006109,0.000000,0.000000,0.276570,0.000000,0.000000,0.017127,
10,vector0,NA,NA,NA,NA,NA,NA,35643.898438,58812432,0.052218,0.046125,0.006092,0.000000,0.000000,0.277944,0.000000,0.000000,0.017079,
11,vector0,NA,NA,NA,NA,NA,NA,35665.242188,58847653,0.052178,0.046091,0.006087,0.000000,0.000000,0.278791,0.000000,0.000000,0.017067,
12,vector0,NA,NA,NA,NA,NA,NA,35080.109375,57882180,0.053057,0.046867,0.006190,0.000000,0.000000,0.264519,0.000000,0.000000,0.017354,
13,vector0,NA,NA,NA,NA,NA,NA,35126.261719,57958333,0.052987,0.046805,0.006182,0.000000,0.000000,0.265616,0.000000,0.000000,0.017331,
14,vector0,NA,NA,NA,NA,NA,NA,35133.812500,57970792,0.052976,0.046795,0.006180,0.000000,0.000000,0.266650,0.000000,0.000000,0.017327,
15,vector0,NA,NA,NA,NA,NA,NA,35166.230469,58024279,0.052919,0.046745,0.006174,0.000000,0.000000,0.267574,0.000000,0.000000,0.017309,
16,vector0,NA,NA,NA,NA,NA,NA,35132.718750,57968984,0.052977,0.046797,0.006181,0.000000,0.000000,0.266635,0.000000,0.000000,0.017328,
17,vector0,NA,NA,NA,NA,NA,NA,35166.546875,58024802,0.052926,0.046752,0.006175,0.000000,0.000000,0.268173,0.000000,0.000000,0.017311,
18,vector0,NA,NA,NA,NA,NA,NA,35678.328125,58869245,0.052167,0.046081,0.006086,0.000000,0.000000,0.277388,0.000000,0.000000,0.017063,
19,vector0,NA,NA,NA,NA,NA,NA,35692.769531,58893070,0.052138,0.046055,0.006083,0.000000,0.000000,0.277869,0.000000,0.000000,0.017053,
20,vector0,NA,NA,NA,NA,NA,NA,35598.457031,58737451,0.052284,0.046184,0.006100,0.000000,0.000000,0.275082,0.000000,0.000000,0.017101,
21,vector0,NA,NA,NA,NA,NA,NA,35621.246094,58775054,0.052251,0.046155,0.006096,0.000000,0.000000,0.275845,0.000000,0.000000,0.017090,
22,vector0,NA,NA,NA,NA,NA,NA,35220.359375,58113593,0.052845,0.046680,0.006165,0.000000,0.000000,0.268833,0.000000,0.000000,0.017285,
23,vector0,NA,NA,NA,NA,NA,NA,35240.937500,58147548,0.052806,0.046646,0.006161,0.000000,0.000000,0.269245,0.000000,0.000000,0.017272,
24,vector0,NA,NA,NA,NA,NA,NA,35032.562500,57803727,0.053129,0.046930,0.006198,0.000000,0.000000,0.265570,0.000000,0.000000,0.017378,
25,vector0,NA,NA,NA,NA,NA,NA,35091.941406,57901704,0.053039,0.046851,0.006188,0.000000,0.000000,0.266536,0.000000,0.000000,0.017348,
26,vector0,NA,NA,NA,NA,NA,NA,35106.015625,57924928,0.053018,0.046832,0.006185,0.000000,0.000000,0.266039,0.000000,0.000000,0.017341,
27,vector0,NA,NA,NA,NA,NA,NA,35160.339844,58014562,0.052927,0.046753,0.006175,0.000000,0.000000,0.267493,0.000000,0.000000,0.017312,
28,vector0,NA,NA,NA,NA,NA,NA,35175.402344,58039412,0.052913,0.046740,0.006173,0.000000,0.000000,0.268485,0.000000,0.000000,0.017307,
29,vector0,NA,NA,NA,NA,NA,NA,35214.656250,58104181,0.052854,0.046688,0.006166,0.000000,0.000000,0.268916,0.000000,0.000000,0.017288,
30,vector0,NA,NA,NA,NA,NA,NA,35743.570312,58976890,0.052072,0.045997,0.006075,0.000000,0.000000,0.277819,0.000000,0.000000,0.017032,
31,vector0,NA,NA,NA,NA,NA,NA,35755.601562,58996743,0.052046,0.045974,0.006072,0.000000,0.000000,0.278390,0.000000,0.000000,0.017023,
32,vector0,NA,NA,NA,NA,NA,NA,35931.246094,59286555,0.051800,0.045757,0.006043,0.000000,0.000000,0.283981,0.000000,0.000000,0.016943,
33,vector0,NA,NA,NA,NA,NA,NA,35951.925781,59320678,0.051770,0.045730,0.006040,0.000000,0.000000,0.284481,0.000000,0.000000,0.016933,
34,vector0,NA,NA,NA,NA,NA,NA,35274.253906,58202520,0.052765,0.046609,0.006156,0.000000,0.000000,0.270241,0.000000,0.000000,0.017258,
35,vector0,NA,NA,NA,NA,NA,NA,35326.175781,58288194,0.052679,0.046533,0.006146,0.000000,0.000000,0.271267,0.000000,0.000000,0.017230,
36,vector0,NA,NA,NA,NA,NA,NA,35991.218750,59385507,0.051714,0.045680,0.006033,0.000000,0.000000,0.282965,0.000000,0.000000,0.016915,
37,vector0,NA,NA,NA,NA,NA,NA,36002.980469,59404920,0.051697,0.045665,0.006031,0.000000,0.000000,0.283284,0.000000,0.000000,0.016909,
38,vector0,NA,NA,NA,NA,NA,NA,35674.796875,58863413,0.052172,0.046086,0.006087,0.000000,0.000000,0.277895,0.000000,0.000000,0.017065,
39,vector0,NA,NA,NA,NA,NA,NA,35700.562500,58905929,0.052122,0.046041,0.006081,0.000000,0.000000,0.278506,0.000000,0.000000,0.017048,
