block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35618.468750,58770476,0.369268,0.123670,0.000000,0.000000,0.000000,0.010451,484814976,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35646.042969,58815972,0.368982,0.123574,0.000000,0.000000,0.000000,0.010443,484814976,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35505.144531,58583487,0.370447,0.124064,0.000000,0.000000,0.000000,0.010484,484814976,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35541.402344,58643314,0.370011,0.123919,0.000000,0.000000,0.000000,0.010472,484739200,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35435.820312,58469104,0.371171,0.124307,0.000000,0.000000,0.000000,0.010505,484814976,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35509.945312,58591413,0.370396,0.124048,0.000000,0.000000,0.000000,0.010483,484814976,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35656.195312,58832720,0.368877,0.123539,0.000000,0.000000,0.000000,0.010440,484814976,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35644.492188,58813413,0.368941,0.123560,0.000000,0.000000,0.000000,0.010442,484739200,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35888.468750,59215972,0.366490,0.122739,0.000000,0.000000,0.000000,0.010372,484814976,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35949.542969,59316742,0.365867,0.122531,0.000000,0.000000,0.000000,0.010355,484814976,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36077.312500,59527564,0.364571,0.122097,0.000000,0.000000,0.000000,0.010318,484814976,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36091.925781,59551677,0.364367,0.122028,0.000000,0.000000,0.000000,0.010312,484739200,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35423.113281,58448138,0.371304,0.124352,0.000000,0.000000,0.000000,0.010509,484814976,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35476.085938,58535540,0.370750,0.124166,0.000000,0.000000,0.000000,0.010493,484814976,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35476.675781,58536517,0.370744,0.124164,0.000000,0.000000,0.000000,0.010493,484814976,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35515.597656,58600734,0.370280,0.124009,0.000000,0.000000,0.000000,0.010480,484739200,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35508.140625,58588431,0.370415,0.124054,0.000000,0.000000,0.000000,0.010484,484814976,
