block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35618.468750,58770476,6015,399,2410844,8607,2411295,8619,93.779236,99.644043,99.636276,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35646.042969,58815972,6014,400,2414441,5519,2413955,5543,93.763641,99.771423,99.763466,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35505.144531,58583487,6014,400,2418442,1957,2417087,1972,93.763641,99.918816,99.910667,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35541.402344,58643314,6013,400,2417368,1313,2418681,1341,93.762672,99.945152,99.936966,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35435.820312,58469104,6014,400,2418833,1671,2417376,1673,93.763641,99.930901,99.922737,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35509.945312,58591413,6014,400,2413782,5267,2415256,5248,93.763641,99.782730,99.774765,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35656.195312,58832720,6014,400,2410082,9593,2410397,9577,93.763641,99.603897,99.596169,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35644.492188,58813413,6014,399,2419138,457,2418837,459,93.778259,99.981071,99.972862,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35888.468750,59215972,6014,400,2419152,456,2419678,457,93.763641,99.981140,99.972908,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35949.542969,59316742,6014,400,2418117,2018,2417604,2003,93.763641,99.916916,99.908775,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36077.312500,59527564,6014,400,2419004,1363,2417997,1378,93.763641,99.943367,99.935188,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36091.925781,59551677,6013,400,2417569,1475,2418586,1450,93.762672,99.939552,99.931381,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35423.113281,58448138,6014,400,2418805,993,2419118,1016,93.763641,99.958488,99.950294,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35476.085938,58535540,6014,400,2418247,1886,2417933,1864,93.763641,99.922516,99.914368,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35476.675781,58536517,6015,399,2417316,2546,2417500,2569,93.779236,99.894318,99.886223,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35515.597656,58600734,6013,400,2418313,1472,2418125,1453,93.762672,99.939560,99.931381,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35508.140625,58588431,6014,400,2417459,1543,2419557,1562,93.763641,99.935852,99.927681,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35534.378906,58631730,6014,400,2415303,5816,2413205,5796,93.763641,99.760094,99.752151,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36047.703125,59478709,6014,400,2418482,1940,2417922,1965,93.763641,99.919319,99.911179,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36067.796875,59511862,6013,400,2416564,2945,2417138,2906,93.762672,99.879105,99.871002,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35918.074219,59264822,6014,400,2418093,1871,2418562,1878,93.763641,99.922546,99.914398,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35970.207031,59350844,6015,399,2419456,1078,2418979,1079,93.779236,99.955437,99.947266,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35603.742188,58746174,6014,400,2416004,4972,2414653,4963,93.763641,99.794754,99.786774,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35635.308594,58798259,6013,400,2417911,1374,2419276,1370,93.762672,99.943306,99.935127,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35453.414062,58498133,6014,400,2420358,410,2419696,411,93.763641,99.983040,99.974808,
