block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35618.468750,58770476,0.021413,16.196516,16.196577,0.021467,51212,0.259845,6399,0.021369,604920.625000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604918.375000,8.305905,799.750000,0.012167,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35646.042969,58815972,0.021397,16.184298,16.184359,0.021450,51213,0.260042,6399,0.021489,604932.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,8.299640,799.750000,0.012157,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35505.144531,58583487,0.021481,16.248524,16.248583,0.021535,51213,0.258068,6399,0.021374,604932.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604930.000000,8.332577,799.750000,0.012205,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35541.402344,58643314,0.021456,16.229418,16.229477,0.021510,51205,0.258476,6398,0.021619,604837.875000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604835.625000,8.322779,799.625000,0.012191,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35435.820312,58469104,0.021523,16.280632,16.280693,0.021577,51214,0.256084,6399,0.021687,604944.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,8.349042,799.750000,0.012229,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35509.945312,58591413,0.021479,16.246647,16.246708,0.021532,51214,0.257420,6399,0.021903,604944.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,8.331614,799.750000,0.012204,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35656.195312,58832720,0.021390,16.180328,16.180387,0.021444,51215,0.261336,6399,0.022302,604956.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604953.875000,8.297605,799.750000,0.012154,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35644.492188,58813413,0.021394,16.183107,16.183167,0.021448,51207,0.261209,6398,0.022445,604861.375000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604859.125000,8.299029,799.625000,0.012156,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35888.468750,59215972,0.021252,16.075920,16.075979,0.021305,51216,0.265154,6399,0.022513,604967.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604965.625000,8.244061,799.750000,0.012075,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35949.542969,59316742,0.021216,16.048607,16.048666,0.021269,51216,0.266774,6399,0.022610,604967.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,8.230055,799.750000,0.012054,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36077.312500,59527564,0.021141,15.991770,15.991828,0.021194,51216,0.269813,6399,0.021653,604967.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,8.200908,799.750000,0.012012,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36091.925781,59551677,0.021129,15.983108,15.983167,0.021182,51209,0.270422,6398,0.021897,604885.000000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604882.750000,8.196465,799.625000,0.012005,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35423.113281,58448138,0.021531,16.287746,16.287807,0.021585,51218,0.256689,6399,0.022115,604991.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604989.250000,8.352691,799.750000,0.012234,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35476.085938,58535540,0.021499,16.263418,16.263481,0.021553,51218,0.257776,6399,0.022208,604991.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604989.000000,8.340215,799.750000,0.012215,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35476.675781,58536517,0.021499,16.263151,16.263214,0.021552,51218,0.257198,6399,0.022779,604991.375000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604989.125000,8.340077,799.750000,0.012215,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35515.597656,58600734,0.021472,16.243423,16.243484,0.021525,51212,0.258580,6398,0.022895,604920.375000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604918.125000,8.329961,799.625000,0.012200,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35508.140625,58588431,0.021480,16.249380,16.249439,0.021533,51220,0.257390,6399,0.022072,605015.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605012.875000,8.333015,799.750000,0.012204,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35534.378906,58631730,0.021464,16.237377,16.237438,0.021517,51220,0.258748,6399,0.022197,605015.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605012.750000,8.326859,799.750000,0.012195,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36047.703125,59478709,0.021158,16.006779,16.006840,0.021211,51222,0.267801,6399,0.021663,605038.625000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605036.375000,8.208605,799.750000,0.012022,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36067.796875,59511862,0.021143,15.995364,15.995423,0.021196,51214,0.268209,6398,0.021906,604944.125000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,8.202750,799.625000,0.012013,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35918.074219,59264822,0.021234,16.064865,16.064924,0.021288,51223,0.266454,6399,0.022434,605050.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605048.250000,8.238393,799.750000,0.012065,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35970.207031,59350844,0.021204,16.042204,16.042263,0.021257,51225,0.267004,6399,0.022661,605074.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605071.750000,8.226771,799.750000,0.012048,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35603.742188,58746174,0.021422,16.207323,16.207384,0.021476,51225,0.259399,6399,0.022262,605074.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605071.750000,8.311448,799.750000,0.012172,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35635.308594,58798259,0.021400,16.190756,16.190817,0.021453,51218,0.260092,6398,0.022503,604991.375000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604989.125000,8.302952,799.625000,0.012159,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35453.414062,58498133,0.021513,16.276997,16.277058,0.021567,51228,0.256454,6399,0.021739,605109.375000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605107.125000,8.347178,799.750000,0.012223,
