block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35618.468750,58770476,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35646.042969,58815972,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35505.144531,58583487,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35541.402344,58643314,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35435.820312,58469104,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35509.945312,58591413,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35656.195312,58832720,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35644.492188,58813413,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35888.468750,59215972,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35949.542969,59316742,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36077.312500,59527564,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36091.925781,59551677,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35423.113281,58448138,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35476.085938,58535540,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35476.675781,58536517,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35515.597656,58600734,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35508.140625,58588431,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35534.378906,58631730,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36047.703125,59478709,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36067.796875,59511862,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35918.074219,59264822,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35970.207031,59350844,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35603.742188,58746174,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35635.308594,58798259,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35453.414062,58498133,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35486.015625,58551930,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35505.171875,58583532,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35560.027344,58674050,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35631.562500,58792079,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35669.230469,58854228,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36037.574219,59462001,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36066.871094,59510335,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36347.117188,59972744,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36376.007812,60020414,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35650.554688,58823415,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35715.582031,58930709,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36349.179688,59976149,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36367.460938,60006308,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36113.625000,59587481,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36156.097656,59657565,
