block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,35618.468750,58770476,66.123581,32.547874,0.021415,0.042826,
1,vector0,NA,NA,35646.042969,58815972,66.072433,32.522697,0.021398,0.042793,
2,vector0,NA,NA,35505.144531,58583487,66.334633,32.651760,0.021483,0.042963,
3,vector0,NA,NA,35541.402344,58643314,66.256607,32.613354,0.021458,0.042912,
4,vector0,NA,NA,35435.820312,58469104,66.464409,32.715637,0.021525,0.043047,
5,vector0,NA,NA,35509.945312,58591413,66.325668,32.647346,0.021480,0.042957,
6,vector0,NA,NA,35656.195312,58832720,66.053619,32.513439,0.021392,0.042781,
7,vector0,NA,NA,35644.492188,58813413,66.064980,32.519032,0.021396,0.042788,
8,vector0,NA,NA,35888.468750,59215972,65.626114,32.303009,0.021254,0.042504,
9,vector0,NA,NA,35949.542969,59316742,65.514626,32.248131,0.021218,0.042432,
10,vector0,NA,NA,36077.312500,59527564,65.282600,32.133923,0.021142,0.042281,
11,vector0,NA,NA,36091.925781,59551677,65.245972,32.115891,0.021131,0.042258,
12,vector0,NA,NA,35423.113281,58448138,66.488251,32.727375,0.021533,0.043062,
13,vector0,NA,NA,35476.085938,58535540,66.388969,32.678505,0.021501,0.042998,
14,vector0,NA,NA,35476.675781,58536517,66.387863,32.677963,0.021500,0.042997,
15,vector0,NA,NA,35515.597656,58600734,66.304749,32.637051,0.021473,0.042943,
16,vector0,NA,NA,35508.140625,58588431,66.329033,32.649006,0.021481,0.042959,
17,vector0,NA,NA,35534.378906,58631730,66.280060,32.624897,0.021465,0.042927,
18,vector0,NA,NA,36047.703125,59478709,65.336220,32.160316,0.021160,0.042316,
19,vector0,NA,NA,36067.796875,59511862,65.289619,32.137375,0.021145,0.042286,
20,vector0,NA,NA,35918.074219,59264822,65.572021,32.276382,0.021236,0.042469,
21,vector0,NA,NA,35970.207031,59350844,65.476990,32.229603,0.021205,0.042407,
22,vector0,NA,NA,35603.742188,58746174,66.150932,32.561340,0.021424,0.042844,
23,vector0,NA,NA,35635.308594,58798259,66.082008,32.527412,0.021401,0.042799,
24,vector0,NA,NA,35453.414062,58498133,66.431419,32.699402,0.021514,0.043026,
25,vector0,NA,NA,35486.015625,58551930,66.370392,32.669361,0.021495,0.042986,
26,vector0,NA,NA,35505.171875,58583532,66.334579,32.651737,0.021483,0.042963,
27,vector0,NA,NA,35560.027344,58674050,66.221909,32.596275,0.021447,0.042890,
28,vector0,NA,NA,35631.562500,58792079,66.099281,32.535915,0.021407,0.042810,
29,vector0,NA,NA,35669.230469,58854228,66.029480,32.501556,0.021384,0.042765,
30,vector0,NA,NA,36037.574219,59462001,65.354584,32.169353,0.021166,0.042328,
31,vector0,NA,NA,36066.871094,59510335,65.291298,32.138203,0.021145,0.042287,
32,vector0,NA,NA,36347.117188,59972744,64.798004,31.895391,0.020985,0.041968,
33,vector0,NA,NA,36376.007812,60020414,64.746544,31.870058,0.020969,0.041934,
34,vector0,NA,NA,35650.554688,58823415,66.064072,32.518581,0.021395,0.042788,
35,vector0,NA,NA,35715.582031,58930709,65.933487,32.454304,0.021353,0.042703,
36,vector0,NA,NA,36349.179688,59976149,64.794327,31.893581,0.020984,0.041965,
37,vector0,NA,NA,36367.460938,60006308,64.761757,31.877548,0.020974,0.041944,
38,vector0,NA,NA,36113.625000,59587481,65.216957,32.101608,0.021121,0.042239,
39,vector0,NA,NA,36156.097656,59657565,65.125076,32.056389,0.021091,0.042179,
