block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35618.468750,58770476,13152.756836,0.369268,19438.873047,0.545753,9255.265625,0.259845,761.127258,0.021369,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35646.042969,58815972,13152.756836,0.368982,19439.267578,0.545342,9269.480469,0.260042,766.004822,0.021489,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35505.144531,58583487,13152.756836,0.370447,19439.105469,0.547501,9162.734375,0.258068,758.900635,0.021374,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35541.402344,58643314,13150.700195,0.370011,19437.451172,0.546896,9186.596680,0.258476,768.384216,0.021619,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35435.820312,58469104,13152.756836,0.371171,19440.269531,0.548605,9074.534180,0.256084,768.492126,0.021687,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35509.945312,58591413,13152.756836,0.370396,19441.636719,0.547498,9140.980469,0.257420,777.759399,0.021903,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35656.195312,58832720,13152.756836,0.368877,19441.615234,0.545252,9318.235352,0.261336,795.207886,0.022302,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35644.492188,58813413,13150.700195,0.368941,19439.439453,0.545370,9310.666992,0.261209,800.050293,0.022445,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35888.468750,59215972,13152.756836,0.366490,19441.046875,0.541707,9515.961914,0.265154,807.958801,0.022513,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35949.542969,59316742,13152.756836,0.365867,19442.082031,0.540816,9590.390625,0.266774,812.815125,0.022610,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36077.312500,59527564,13152.756836,0.364571,19442.029297,0.538899,9734.132812,0.269813,781.170898,0.021653,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36091.925781,59551677,13150.700195,0.364367,19439.558594,0.538612,9760.032227,0.270422,790.290894,0.021897,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35423.113281,58448138,13152.756836,0.371304,19439.427734,0.548778,9092.711914,0.256689,783.398804,0.022115,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35476.085938,58535540,13152.756836,0.370750,19439.380859,0.547957,9144.878906,0.257776,787.855164,0.022208,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35476.675781,58536517,13152.756836,0.370744,19439.585938,0.547954,9124.541992,0.257198,808.116943,0.022779,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35515.597656,58600734,13150.700195,0.370280,19436.634766,0.547270,9183.607422,0.258580,813.133362,0.022895,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35508.140625,58588431,13152.756836,0.370415,19440.613281,0.547497,9139.438477,0.257390,783.736389,0.022072,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35534.378906,58631730,13152.756836,0.370142,19440.548828,0.547091,9194.432617,0.258748,788.760620,0.022197,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36047.703125,59478709,13152.756836,0.364871,19439.976562,0.539285,9653.617188,0.267801,780.915161,0.021663,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36067.796875,59511862,13150.700195,0.364611,19437.105469,0.538905,9673.722656,0.268209,790.110291,0.021906,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35918.074219,59264822,13152.756836,0.366188,19440.275391,0.541239,9570.502930,0.266454,805.791504,0.022434,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35970.207031,59350844,13152.756836,0.365657,19440.556641,0.540463,9604.201172,0.267004,815.109070,0.022661,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35603.742188,58746174,13152.756836,0.369421,19440.472656,0.546023,9235.589844,0.259399,792.619995,0.022262,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35635.308594,58798259,13150.700195,0.369036,19437.539062,0.545457,9268.443359,0.260092,801.909119,0.022503,0.000000,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35453.414062,58498133,13152.756836,0.370987,19441.005859,0.548354,9092.176758,0.256454,770.730896,0.021739,0.000000,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35486.015625,58551930,13152.756836,0.370646,19441.025391,0.547850,9141.392578,0.257605,777.650330,0.021914,0.000000,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35505.171875,58583532,13152.756836,0.370446,19440.925781,0.547552,9203.437500,0.259214,761.405457,0.021445,0.000000,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35560.027344,58674050,13150.700195,0.369817,19438.314453,0.546634,9258.148438,0.260353,766.021790,0.021542,0.000000,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35631.562500,58792079,13152.756836,0.369132,19441.486328,0.545625,9257.469727,0.259811,757.960632,0.021272,0.000000,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35669.230469,58854228,13152.756836,0.368742,19441.962891,0.545063,9303.497070,0.260827,768.688477,0.021550,0.000000,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36037.574219,59462001,13152.756836,0.364973,19442.052734,0.539494,9721.491211,0.269760,768.124268,0.021315,0.000000,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36066.871094,59510335,13150.700195,0.364620,19439.414062,0.538983,9734.547852,0.269903,777.625427,0.021561,0.000000,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36347.117188,59972744,13152.756836,0.361865,19442.740234,0.534918,9980.476562,0.274588,794.795166,0.021867,0.000000,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36376.007812,60020414,13152.756836,0.361578,19443.535156,0.534515,10007.440430,0.275111,800.432129,0.022004,0.000000,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35650.554688,58823415,13152.756836,0.368936,19443.953125,0.545404,9291.035156,0.260614,835.994568,0.023450,0.000000,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35715.582031,58930709,13150.700195,0.368206,19442.359375,0.544366,9343.563477,0.261610,845.062439,0.023661,0.000000,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36349.179688,59976149,13152.756836,0.361845,19445.232422,0.534957,10009.822266,0.275380,795.737549,0.021891,0.000000,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36367.460938,60006308,13152.756836,0.361663,19446.857422,0.534732,10019.383789,0.275504,799.968506,0.021997,0.000000,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36113.625000,59587481,13152.756836,0.364205,19449.519531,0.538565,9692.124023,0.268379,769.405457,0.021305,0.000000,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36156.097656,59657565,13149.672852,0.363692,19461.564453,0.538265,9741.790039,0.269437,777.553345,0.021505,0.000000,
