block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,35618.468750,58770476,0.052255,0.046158,0.006096,0.000000,0.000000,0.265625,0.000000,0.000000,0.016874,
1,vector0,NA,NA,NA,NA,NA,NA,35646.042969,58815972,0.052214,0.046123,0.006092,0.000000,0.000000,0.265842,0.000000,0.000000,0.016861,
2,vector0,NA,NA,NA,NA,NA,NA,35505.144531,58583487,0.052422,0.046306,0.006116,0.000000,0.000000,0.264353,0.000000,0.000000,0.016928,
3,vector0,NA,NA,NA,NA,NA,NA,35541.402344,58643314,0.052360,0.046251,0.006109,0.000000,0.000000,0.265307,0.000000,0.000000,0.016908,
4,vector0,NA,NA,NA,NA,NA,NA,35435.820312,58469104,0.052524,0.046396,0.006128,0.000000,0.000000,0.263187,0.000000,0.000000,0.016961,
5,vector0,NA,NA,NA,NA,NA,NA,35509.945312,58591413,0.052415,0.046299,0.006115,0.000000,0.000000,0.263893,0.000000,0.000000,0.016926,
6,vector0,NA,NA,NA,NA,NA,NA,35656.195312,58832720,0.052200,0.046110,0.006090,0.000000,0.000000,0.266755,0.000000,0.000000,0.016856,
7,vector0,NA,NA,NA,NA,NA,NA,35644.492188,58813413,0.052208,0.046118,0.006091,0.000000,0.000000,0.266754,0.000000,0.000000,0.016859,
8,vector0,NA,NA,NA,NA,NA,NA,35888.468750,59215972,0.051862,0.045811,0.006051,0.000000,0.000000,0.272361,0.000000,0.000000,0.016747,
9,vector0,NA,NA,NA,NA,NA,NA,35949.542969,59316742,0.051774,0.045733,0.006040,0.000000,0.000000,0.273446,0.000000,0.000000,0.016719,
10,vector0,NA,NA,NA,NA,NA,NA,36077.312500,59527564,0.051590,0.045571,0.006019,0.000000,0.000000,0.274784,0.000000,0.000000,0.016659,
11,vector0,NA,NA,NA,NA,NA,NA,36091.925781,59551677,0.051561,0.045546,0.006015,0.000000,0.000000,0.275174,0.000000,0.000000,0.016650,
12,vector0,NA,NA,NA,NA,NA,NA,35423.113281,58448138,0.052543,0.046413,0.006130,0.000000,0.000000,0.262724,0.000000,0.000000,0.016967,
13,vector0,NA,NA,NA,NA,NA,NA,35476.085938,58535540,0.052465,0.046344,0.006121,0.000000,0.000000,0.263294,0.000000,0.000000,0.016942,
14,vector0,NA,NA,NA,NA,NA,NA,35476.675781,58536517,0.052464,0.046343,0.006121,0.000000,0.000000,0.262902,0.000000,0.000000,0.016941,
15,vector0,NA,NA,NA,NA,NA,NA,35515.597656,58600734,0.052398,0.046285,0.006113,0.000000,0.000000,0.263908,0.000000,0.000000,0.016920,
16,vector0,NA,NA,NA,NA,NA,NA,35508.140625,58588431,0.052417,0.046302,0.006115,0.000000,0.000000,0.263486,0.000000,0.000000,0.016926,
17,vector0,NA,NA,NA,NA,NA,NA,35534.378906,58631730,0.052378,0.046268,0.006111,0.000000,0.000000,0.265332,0.000000,0.000000,0.016914,
18,vector0,NA,NA,NA,NA,NA,NA,36047.703125,59478709,0.051633,0.045609,0.006024,0.000000,0.000000,0.274411,0.000000,0.000000,0.016673,
19,vector0,NA,NA,NA,NA,NA,NA,36067.796875,59511862,0.051596,0.045576,0.006020,0.000000,0.000000,0.274808,0.000000,0.000000,0.016661,
20,vector0,NA,NA,NA,NA,NA,NA,35918.074219,59264822,0.051819,0.045773,0.006046,0.000000,0.000000,0.273008,0.000000,0.000000,0.016733,
21,vector0,NA,NA,NA,NA,NA,NA,35970.207031,59350844,0.051744,0.045707,0.006037,0.000000,0.000000,0.273405,0.000000,0.000000,0.016709,
22,vector0,NA,NA,NA,NA,NA,NA,35603.742188,58746174,0.052276,0.046178,0.006099,0.000000,0.000000,0.266376,0.000000,0.000000,0.016881,
23,vector0,NA,NA,NA,NA,NA,NA,35635.308594,58798259,0.052222,0.046129,0.006093,0.000000,0.000000,0.266685,0.000000,0.000000,0.016863,
24,vector0,NA,NA,NA,NA,NA,NA,35453.414062,58498133,0.052498,0.046373,0.006125,0.000000,0.000000,0.262925,0.000000,0.000000,0.016953,
25,vector0,NA,NA,NA,NA,NA,NA,35486.015625,58551930,0.052450,0.046331,0.006119,0.000000,0.000000,0.263408,0.000000,0.000000,0.016937,
26,vector0,NA,NA,NA,NA,NA,NA,35505.171875,58583532,0.052422,0.046306,0.006116,0.000000,0.000000,0.263498,0.000000,0.000000,0.016928,
27,vector0,NA,NA,NA,NA,NA,NA,35560.027344,58674050,0.052333,0.046227,0.006105,0.000000,0.000000,0.264611,0.000000,0.000000,0.016899,
28,vector0,NA,NA,NA,NA,NA,NA,35631.562500,58792079,0.052236,0.046141,0.006094,0.000000,0.000000,0.266513,0.000000,0.000000,0.016868,
29,vector0,NA,NA,NA,NA,NA,NA,35669.230469,58854228,0.052180,0.046093,0.006088,0.000000,0.000000,0.268139,0.000000,0.000000,0.016850,
30,vector0,NA,NA,NA,NA,NA,NA,36037.574219,59462001,0.051647,0.045622,0.006025,0.000000,0.000000,0.276194,0.000000,0.000000,0.016678,
31,vector0,NA,NA,NA,NA,NA,NA,36066.871094,59510335,0.051597,0.045577,0.006020,0.000000,0.000000,0.276461,0.000000,0.000000,0.016662,
32,vector0,NA,NA,NA,NA,NA,NA,36347.117188,59972744,0.051207,0.045233,0.005974,0.000000,0.000000,0.281211,0.000000,0.000000,0.016536,
33,vector0,NA,NA,NA,NA,NA,NA,36376.007812,60020414,0.051167,0.045197,0.005969,0.000000,0.000000,0.281731,0.000000,0.000000,0.016523,
34,vector0,NA,NA,NA,NA,NA,NA,35650.554688,58823415,0.052208,0.046117,0.006091,0.000000,0.000000,0.267098,0.000000,0.000000,0.016859,
35,vector0,NA,NA,NA,NA,NA,NA,35715.582031,58930709,0.052105,0.046026,0.006079,0.000000,0.000000,0.267411,0.000000,0.000000,0.016825,
36,vector0,NA,NA,NA,NA,NA,NA,36349.179688,59976149,0.051204,0.045231,0.005974,0.000000,0.000000,0.280872,0.000000,0.000000,0.016535,
37,vector0,NA,NA,NA,NA,NA,NA,36367.460938,60006308,0.051179,0.045208,0.005971,0.000000,0.000000,0.281005,0.000000,0.000000,0.016526,
38,vector0,NA,NA,NA,NA,NA,NA,36113.625000,59587481,0.051538,0.045526,0.006013,0.000000,0.000000,0.275148,0.000000,0.000000,0.016643,
39,vector0,NA,NA,NA,NA,NA,NA,36156.097656,59657565,0.051466,0.045461,0.006004,0.000000,0.000000,0.275859,0.000000,0.000000,0.016619,
