block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32600.101562,53790167,0.395868,0.135128,0.000000,0.000000,0.000000,0.015226,491395328,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32615.066406,53814859,0.395679,0.135063,0.000000,0.000000,0.000000,0.015218,491385728,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32776.464844,54081170,0.393723,0.134396,0.000000,0.000000,0.000000,0.015143,491376128,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32788.683594,54101330,0.393507,0.134322,0.000000,0.000000,0.000000,0.015135,491289728,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32937.562500,54346978,0.391797,0.133738,0.000000,0.000000,0.000000,0.015069,491376128,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32959.875000,54383791,0.391532,0.133648,0.000000,0.000000,0.000000,0.015059,491376128,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32686.582031,53932861,0.394821,0.134770,0.000000,0.000000,0.000000,0.015185,491395328,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32675.826172,53915112,0.394874,0.134788,0.000000,0.000000,0.000000,0.015188,491299328,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32909.875000,54301294,0.392127,0.133851,0.000000,0.000000,0.000000,0.015082,491376128,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32914.488281,54308902,0.392064,0.133829,0.000000,0.000000,0.000000,0.015079,491366528,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32818.031250,54149753,0.393232,0.134228,0.000000,0.000000,0.000000,0.015124,491385728,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32836.257812,54179822,0.392945,0.134130,0.000000,0.000000,0.000000,0.015113,491299328,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32565.601562,53733243,0.396288,0.135271,0.000000,0.000000,0.000000,0.015242,491395328,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32617.960938,53819636,0.395628,0.135046,0.000000,0.000000,0.000000,0.015217,491366528,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32549.761719,53707108,0.396457,0.135329,0.000000,0.000000,0.000000,0.015248,491366528,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32545.617188,53700267,0.396446,0.135325,0.000000,0.000000,0.000000,0.015248,491289728,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32543.451172,53696695,0.396557,0.135363,0.000000,0.000000,0.000000,0.015252,491395328,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32560.957031,53725580,0.396329,0.135285,0.000000,0.000000,0.000000,0.015243,491376128,
