block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32600.101562,53790167,6015,399,2412705,7219,2412507,7217,93.779236,99.701714,99.693871,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32615.066406,53814859,6014,400,2414183,5541,2414402,5521,93.763641,99.771431,99.763481,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32776.464844,54081170,6014,400,2416713,1975,2418911,1954,93.763641,99.918816,99.910667,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32788.683594,54101330,6013,400,2419621,819,2417437,826,93.762672,99.966003,99.957794,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32937.562500,54346978,6014,400,2419980,46,2419577,45,93.763641,99.998123,99.989868,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32959.875000,54383791,6014,400,2414384,5238,2414753,5273,93.763641,99.782814,99.774849,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32686.582031,53932861,6014,400,2408503,11504,2408407,11518,93.763641,99.524330,99.516708,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32675.826172,53915112,6014,399,2418999,453,2419071,463,93.778259,99.981071,99.972855,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32909.875000,54301294,6014,400,2418496,454,2420429,459,93.763641,99.981140,99.972908,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32914.488281,54308902,6014,400,2418833,2007,2416887,2015,93.763641,99.916893,99.908752,
