block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32600.101562,53790167,0.023396,17.697147,17.697214,0.023454,51215,0.165420,6399,0.023289,604956.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604953.750000,9.075460,799.750000,0.013293,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32615.066406,53814859,0.023385,17.689024,17.689093,0.023443,51215,0.166088,6399,0.023582,604955.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604953.625000,9.071294,799.750000,0.013287,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32776.464844,54081170,0.023270,17.601580,17.601645,0.023328,51214,0.171788,6399,0.023520,604944.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,9.026451,799.750000,0.013221,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32788.683594,54101330,0.023257,17.591930,17.591995,0.023316,51205,0.172450,6398,0.023656,604837.875000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604835.625000,9.021502,799.625000,0.013214,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32937.562500,54346978,0.023156,17.515833,17.515898,0.023214,51215,0.175497,6399,0.024157,604956.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604953.750000,8.982478,799.750000,0.013157,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32959.875000,54383791,0.023140,17.503975,17.504042,0.023198,51215,0.175948,6399,0.024286,604956.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604953.750000,8.976398,799.750000,0.013148,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32686.582031,53932861,0.023334,17.651361,17.651428,0.023392,51218,0.170096,6399,0.025625,604991.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604989.250000,9.051980,799.750000,0.013258,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32675.826172,53915112,0.023338,17.653721,17.653788,0.023396,51208,0.169644,6398,0.025939,604873.250000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604871.000000,9.053190,799.625000,0.013260,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32909.875000,54301294,0.023175,17.531258,17.531324,0.023233,51217,0.174306,6399,0.024105,604979.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604977.500000,8.990388,799.750000,0.013168,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32914.488281,54308902,0.023172,17.528454,17.528517,0.023230,51216,0.174516,6399,0.024401,604967.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604965.500000,8.988951,799.750000,0.013166,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32818.031250,54149753,0.023240,17.580654,17.580721,0.023298,51218,0.173032,6399,0.023418,604991.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604989.000000,9.015720,799.750000,0.013205,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32836.257812,54179822,0.023224,17.568155,17.568220,0.023282,51210,0.173375,6398,0.023704,604896.875000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604894.625000,9.009311,799.625000,0.013195,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32565.601562,53733243,0.023420,17.717972,17.718040,0.023479,51221,0.166314,6399,0.023410,605026.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605024.625000,9.086139,799.750000,0.013307,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32617.960938,53819636,0.023383,17.688488,17.688557,0.023441,51218,0.167365,6399,0.023501,604991.250000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604989.000000,9.071019,799.750000,0.013286,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32549.761719,53707108,0.023432,17.725554,17.725622,0.023490,51218,0.165676,6399,0.023406,604991.375000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,604989.125000,9.090027,799.750000,0.013314,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32545.617188,53700267,0.023431,17.725731,17.725800,0.023490,51212,0.166831,6398,0.023573,604920.375000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604918.125000,9.090118,799.625000,0.013313,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32543.451172,53696695,0.023436,17.730726,17.730791,0.023495,51223,0.166069,6399,0.023666,605050.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605048.250000,9.092680,799.750000,0.013316,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32560.957031,53725580,0.023424,17.720499,17.720568,0.023482,51221,0.166986,6399,0.023863,605026.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605024.625000,9.087436,799.750000,0.013309,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32635.417969,53848438,0.023370,17.680759,17.680826,0.023429,51223,0.167850,6399,0.024351,605050.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605048.250000,9.067056,799.750000,0.013279,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32683.720703,53928139,0.023332,17.651527,17.651592,0.023391,51214,0.168533,6398,0.024608,604944.125000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,604941.875000,9.052065,799.625000,0.013257,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32795.011719,54111772,0.023257,17.595400,17.595465,0.023315,51225,0.171990,6399,0.024626,605074.000000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605071.750000,9.023282,799.750000,0.013214,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32783.996094,54093591,0.023264,17.601660,17.601725,0.023323,51226,0.171777,6399,0.024813,605085.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,605083.625000,9.026492,799.750000,0.013218,
