block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32600.101562,53790167,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32615.066406,53814859,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32776.464844,54081170,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32788.683594,54101330,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32937.562500,54346978,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32959.875000,54383791,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32686.582031,53932861,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32675.826172,53915112,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32909.875000,54301294,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32914.488281,54308902,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32818.031250,54149753,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32836.257812,54179822,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32565.601562,53733243,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32617.960938,53819636,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32549.761719,53707108,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32545.617188,53700267,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32543.451172,53696695,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32560.957031,53725580,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32635.417969,53848438,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32683.720703,53928139,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32795.011719,54111772,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32783.996094,54093591,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32790.476562,54104290,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32810.433594,54137217,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32534.101562,53681268,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32532.736328,53679018,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32587.568359,53769490,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32582.263672,53760738,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32547.394531,53703199,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32549.880859,53707302,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32831.257812,54171578,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32818.238281,54150091,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32765.644531,54063314,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32777.464844,54082818,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32594.630859,53781139,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32599.466797,53789118,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32500.052734,53625089,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32537.988281,53687681,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32528.140625,53671430,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32491.943359,53611709,
