block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,32600.101562,53790167,72.250053,35.563492,0.023399,0.046794,
1,vector0,NA,NA,32615.066406,53814859,72.215485,35.546482,0.023388,0.046772,
2,vector0,NA,NA,32776.464844,54081170,71.858475,35.370754,0.023272,0.046540,
3,vector0,NA,NA,32788.683594,54101330,71.819069,35.351353,0.023259,0.046515,
4,vector0,NA,NA,32937.562500,54346978,71.507011,35.197754,0.023158,0.046313,
5,vector0,NA,NA,32959.875000,54383791,71.458611,35.173927,0.023143,0.046281,
6,vector0,NA,NA,32686.582031,53932861,72.058899,35.469402,0.023337,0.046670,
7,vector0,NA,NA,32675.826172,53915112,72.068527,35.474144,0.023340,0.046677,
8,vector0,NA,NA,32909.875000,54301294,71.567177,35.227367,0.023178,0.046352,
9,vector0,NA,NA,32914.488281,54308902,71.555748,35.221737,0.023174,0.046344,
10,vector0,NA,NA,32818.031250,54149753,71.768860,35.326645,0.023243,0.046482,
11,vector0,NA,NA,32836.257812,54179822,71.716415,35.300827,0.023226,0.046448,
12,vector0,NA,NA,32565.601562,53733243,72.326591,35.601170,0.023424,0.046844,
13,vector0,NA,NA,32617.960938,53819636,72.206253,35.541935,0.023385,0.046766,
14,vector0,NA,NA,32549.761719,53707108,72.357544,35.616405,0.023434,0.046864,
15,vector0,NA,NA,32545.617188,53700267,72.355446,35.615376,0.023433,0.046862,
16,vector0,NA,NA,32543.451172,53696695,72.375824,35.625401,0.023440,0.046876,
17,vector0,NA,NA,32560.957031,53725580,72.334076,35.604858,0.023426,0.046848,
18,vector0,NA,NA,32635.417969,53848438,72.169037,35.523621,0.023373,0.046742,
19,vector0,NA,NA,32683.720703,53928139,72.049713,35.464886,0.023334,0.046664,
20,vector0,NA,NA,32795.011719,54111772,71.819237,35.351440,0.023259,0.046515,
21,vector0,NA,NA,32783.996094,54093591,71.841965,35.362629,0.023267,0.046530,
22,vector0,NA,NA,32790.476562,54104290,71.826363,35.354946,0.023262,0.046520,
23,vector0,NA,NA,32810.433594,54137217,71.771461,35.327919,0.023244,0.046484,
24,vector0,NA,NA,32534.101562,53681268,72.392372,35.633549,0.023445,0.046886,
25,vector0,NA,NA,32532.736328,53679018,72.396820,35.635742,0.023446,0.046889,
26,vector0,NA,NA,32587.568359,53769490,72.275009,35.575783,0.023407,0.046810,
27,vector0,NA,NA,32582.263672,53760738,72.276894,35.576706,0.023408,0.046811,
28,vector0,NA,NA,32547.394531,53703199,72.364220,35.619694,0.023436,0.046868,
29,vector0,NA,NA,32549.880859,53707302,72.360100,35.617668,0.023435,0.046865,
30,vector0,NA,NA,32831.257812,54171578,71.737144,35.311028,0.023233,0.046462,
31,vector0,NA,NA,32818.238281,54150091,71.758598,35.321590,0.023240,0.046476,
32,vector0,NA,NA,32765.644531,54063314,71.885017,35.383816,0.023281,0.046558,
33,vector0,NA,NA,32777.464844,54082818,71.854881,35.368980,0.023271,0.046538,
34,vector0,NA,NA,32594.630859,53781139,72.260757,35.568768,0.023402,0.046801,
35,vector0,NA,NA,32599.466797,53789118,72.235931,35.556545,0.023394,0.046785,
36,vector0,NA,NA,32500.052734,53625089,72.469627,35.671581,0.023470,0.046936,
37,vector0,NA,NA,32537.988281,53687681,72.386551,35.630688,0.023443,0.046882,
38,vector0,NA,NA,32528.140625,53671430,72.405640,35.640079,0.023449,0.046895,
39,vector0,NA,NA,32491.943359,53611709,72.469315,35.671425,0.023470,0.046936,
