block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32600.101562,53790167,12905.347656,0.395868,20934.650391,0.642165,5392.705078,0.165420,759.226074,0.023289,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32615.066406,53814859,12905.095703,0.395679,20933.183594,0.641826,5416.982910,0.166088,769.138794,0.023582,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32776.464844,54081170,12904.843750,0.393723,20936.000000,0.638751,5630.619629,0.171788,770.915161,0.023520,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32788.683594,54101330,12902.574219,0.393507,20931.119141,0.638364,5654.401367,0.172450,775.664246,0.023656,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32937.562500,54346978,12904.843750,0.391797,20934.269531,0.635574,5780.440430,0.175497,795.662415,0.024157,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32959.875000,54383791,12904.843750,0.391532,20940.103516,0.635321,5799.230469,0.175948,800.479370,0.024286,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32686.582031,53932861,12905.347656,0.394821,20935.001953,0.640477,5559.861816,0.170096,837.604248,0.025625,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32675.826172,53915112,12902.827148,0.394874,20935.259766,0.640696,5543.269043,0.169644,847.562439,0.025939,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32909.875000,54301294,12904.843750,0.392127,20934.279297,0.636109,5736.385254,0.174306,793.282410,0.024105,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32914.488281,54308902,12904.591797,0.392064,20938.806641,0.636158,5744.116211,0.174516,803.162415,0.024401,0.000000,
