block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,32600.101562,53790167,0.057096,0.050435,0.006661,0.000000,0.000000,0.228473,0.000000,0.000000,0.018556,
1,vector0,NA,NA,NA,NA,NA,NA,32615.066406,53814859,0.057069,0.050411,0.006658,0.000000,0.000000,0.228706,0.000000,0.000000,0.018547,
2,vector0,NA,NA,NA,NA,NA,NA,32776.464844,54081170,0.056787,0.050162,0.006625,0.000000,0.000000,0.235488,0.000000,0.000000,0.018456,
3,vector0,NA,NA,NA,NA,NA,NA,32788.683594,54101330,0.056756,0.050134,0.006622,0.000000,0.000000,0.235659,0.000000,0.000000,0.018446,
4,vector0,NA,NA,NA,NA,NA,NA,32937.562500,54346978,0.056509,0.049916,0.006593,0.000000,0.000000,0.237519,0.000000,0.000000,0.018365,
5,vector0,NA,NA,NA,NA,NA,NA,32959.875000,54383791,0.056471,0.049883,0.006588,0.000000,0.000000,0.237482,0.000000,0.000000,0.018353,
6,vector0,NA,NA,NA,NA,NA,NA,32686.582031,53932861,0.056945,0.050302,0.006644,0.000000,0.000000,0.231586,0.000000,0.000000,0.018507,
7,vector0,NA,NA,NA,NA,NA,NA,32675.826172,53915112,0.056953,0.050308,0.006645,0.000000,0.000000,0.231208,0.000000,0.000000,0.018510,
8,vector0,NA,NA,NA,NA,NA,NA,32909.875000,54301294,0.056557,0.049958,0.006598,0.000000,0.000000,0.237124,0.000000,0.000000,0.018381,
9,vector0,NA,NA,NA,NA,NA,NA,32914.488281,54308902,0.056548,0.049950,0.006597,0.000000,0.000000,0.237421,0.000000,0.000000,0.018378,
10,vector0,NA,NA,NA,NA,NA,NA,32818.031250,54149753,0.056716,0.050099,0.006617,0.000000,0.000000,0.234626,0.000000,0.000000,0.018433,
11,vector0,NA,NA,NA,NA,NA,NA,32836.257812,54179822,0.056675,0.050063,0.006612,0.000000,0.000000,0.234703,0.000000,0.000000,0.018419,
12,vector0,NA,NA,NA,NA,NA,NA,32565.601562,53733243,0.057157,0.050489,0.006668,0.000000,0.000000,0.228580,0.000000,0.000000,0.018576,
13,vector0,NA,NA,NA,NA,NA,NA,32617.960938,53819636,0.057062,0.050405,0.006657,0.000000,0.000000,0.230176,0.000000,0.000000,0.018545,
14,vector0,NA,NA,NA,NA,NA,NA,32549.761719,53707108,0.057181,0.050510,0.006671,0.000000,0.000000,0.228884,0.000000,0.000000,0.018584,
15,vector0,NA,NA,NA,NA,NA,NA,32545.617188,53700267,0.057180,0.050509,0.006671,0.000000,0.000000,0.229026,0.000000,0.000000,0.018583,
16,vector0,NA,NA,NA,NA,NA,NA,32543.451172,53696695,0.057196,0.050523,0.006673,0.000000,0.000000,0.228659,0.000000,0.000000,0.018589,
17,vector0,NA,NA,NA,NA,NA,NA,32560.957031,53725580,0.057163,0.050494,0.006669,0.000000,0.000000,0.229007,0.000000,0.000000,0.018578,
18,vector0,NA,NA,NA,NA,NA,NA,32635.417969,53848438,0.057032,0.050379,0.006654,0.000000,0.000000,0.229772,0.000000,0.000000,0.018535,
19,vector0,NA,NA,NA,NA,NA,NA,32683.720703,53928139,0.056938,0.050295,0.006643,0.000000,0.000000,0.230374,0.000000,0.000000,0.018505,
20,vector0,NA,NA,NA,NA,NA,NA,32795.011719,54111772,0.056756,0.050134,0.006622,0.000000,0.000000,0.233655,0.000000,0.000000,0.018446,
21,vector0,NA,NA,NA,NA,NA,NA,32783.996094,54093591,0.056774,0.050150,0.006624,0.000000,0.000000,0.234069,0.000000,0.000000,0.018451,
22,vector0,NA,NA,NA,NA,NA,NA,32790.476562,54104290,0.056761,0.050139,0.006622,0.000000,0.000000,0.235252,0.000000,0.000000,0.018447,
23,vector0,NA,NA,NA,NA,NA,NA,32810.433594,54137217,0.056718,0.050101,0.006617,0.000000,0.000000,0.235511,0.000000,0.000000,0.018433,
24,vector0,NA,NA,NA,NA,NA,NA,32534.101562,53681268,0.057209,0.050534,0.006674,0.000000,0.000000,0.228857,0.000000,0.000000,0.018593,
25,vector0,NA,NA,NA,NA,NA,NA,32532.736328,53679018,0.057212,0.050538,0.006675,0.000000,0.000000,0.227757,0.000000,0.000000,0.018594,
26,vector0,NA,NA,NA,NA,NA,NA,32587.568359,53769490,0.057116,0.050452,0.006664,0.000000,0.000000,0.228479,0.000000,0.000000,0.018563,
27,vector0,NA,NA,NA,NA,NA,NA,32582.263672,53760738,0.057118,0.050454,0.006664,0.000000,0.000000,0.229087,0.000000,0.000000,0.018563,
28,vector0,NA,NA,NA,NA,NA,NA,32547.394531,53703199,0.057187,0.050515,0.006672,0.000000,0.000000,0.227736,0.000000,0.000000,0.018586,
29,vector0,NA,NA,NA,NA,NA,NA,32549.880859,53707302,0.057183,0.050512,0.006671,0.000000,0.000000,0.227773,0.000000,0.000000,0.018585,
30,vector0,NA,NA,NA,NA,NA,NA,32831.257812,54171578,0.056691,0.050077,0.006614,0.000000,0.000000,0.233854,0.000000,0.000000,0.018425,
