block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31774.201172,52427432,0.387729,0.138684,0.000000,0.000000,0.000000,0.015626,491548928,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31765.845703,52413644,0.387581,0.138631,0.000000,0.000000,0.000000,0.015620,491232128,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31722.365234,52341902,0.388347,0.138905,0.000000,0.000000,0.000000,0.015651,491529728,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31712.679688,52325921,0.388215,0.138858,0.000000,0.000000,0.000000,0.015646,491212928,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31795.044922,52461826,0.387459,0.138587,0.000000,0.000000,0.000000,0.015616,491529728,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31786.662109,52447991,0.387319,0.138537,0.000000,0.000000,0.000000,0.015610,491222528,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32096.621094,52959425,0.383834,0.137291,0.000000,0.000000,0.000000,0.015469,491548928,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32064.501953,52906427,0.383963,0.137337,0.000000,0.000000,0.000000,0.015475,491222528,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32153.521484,53053311,0.382900,0.136957,0.000000,0.000000,0.000000,0.015432,491222528,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32173.277344,53085908,0.382897,0.136955,0.000000,0.000000,0.000000,0.015432,491520128,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31829.841797,52519242,0.386802,0.138352,0.000000,0.000000,0.000000,0.015589,491232128,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31878.128906,52598910,0.386450,0.138226,0.000000,0.000000,0.000000,0.015575,491529728,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32128.189453,53011513,0.383217,0.137070,0.000000,0.000000,0.000000,0.015445,491241728,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32153.246094,53052857,0.383135,0.137041,0.000000,0.000000,0.000000,0.015441,491520128,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32043.011719,52870969,0.384213,0.137426,0.000000,0.000000,0.000000,0.015485,491212928,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32060.089844,52899148,0.384009,0.137353,0.000000,0.000000,0.000000,0.015476,491212928,
