block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31774.201172,52427432,1216,400,2401120,7006,2400456,6963,75.247528,99.709915,99.701714,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31765.845703,52413644,1216,399,2400388,5527,2401112,5510,75.294121,99.770668,99.762451,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31722.365234,52341902,1216,400,2404534,3068,2404760,3089,75.247528,99.872139,99.863884,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31712.679688,52325921,1215,400,2404698,1600,2404465,1586,75.232201,99.933792,99.925507,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31795.044922,52461826,1216,400,2405623,1350,2407217,1355,75.247528,99.943825,99.935539,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31786.662109,52447991,1215,400,2402506,4562,2400923,4546,75.232201,99.810745,99.802498,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32096.621094,52959425,1216,400,2395915,12102,2395639,12171,75.247528,99.495972,99.487839,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32064.501953,52906427,1215,400,2405970,242,2406180,239,75.232201,99.990005,99.981705,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32153.521484,53053311,1216,399,2406754,417,2405140,414,75.294121,99.982735,99.974457,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32173.277344,53085908,1216,400,2404985,2026,2406607,2021,75.247528,99.915962,99.907684,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31829.841797,52519242,1215,400,2405779,688,2405660,692,75.232201,99.971329,99.963028,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31878.128906,52598910,1216,400,2405648,2208,2405783,2188,75.247528,99.908722,99.900444,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32128.189453,53011513,1215,400,2405757,329,2406706,309,75.232201,99.986748,99.978439,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32153.246094,53052857,1216,400,2406185,2193,2405226,2223,75.247528,99.908302,99.900024,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32043.011719,52870969,1215,400,2405379,1466,2404497,1477,75.232201,99.938850,99.930557,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32060.089844,52899148,1216,399,2406013,55,2406892,47,75.294121,99.997879,99.989594,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31767.205078,52415888,1216,400,2406446,2229,2405342,2280,75.247528,99.906387,99.898109,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31772.058594,52423898,1215,400,2400150,5874,2401178,5899,75.232201,99.755394,99.747169,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31743.882812,52377408,1216,400,2408558,461,2406819,459,75.247528,99.980896,99.972603,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31696.972656,52300005,1215,400,2402375,3352,2404105,3363,75.232201,99.860489,99.852226,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31763.390625,52409596,1216,400,2406512,1897,2406199,1877,75.247528,99.921646,99.913368,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31746.302734,52381398,1215,400,2406286,333,2406598,354,75.232201,99.985725,99.977425,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31839.660156,52535438,1216,400,2402739,5272,2403223,5251,75.247528,99.781517,99.773293,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31819.306641,52501856,1216,399,2405974,1043,2405482,1072,75.294121,99.956062,99.947792,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31902.710938,52639471,1215,400,2404374,1463,2406449,1473,75.232201,99.939011,99.930725,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31937.730469,52697255,1216,400,2408824,696,2406750,685,75.247528,99.971329,99.963043,
