block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31774.201172,52427432,0.006003,18.066719,18.066786,0.006063,51231,0.165241,1601,0.005995,601943.125000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601940.875000,9.264984,200.000000,0.003411,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31765.845703,52413644,0.006001,18.060181,18.060251,0.006061,51199,0.165258,1600,0.006080,601567.125000,201.875000,NA,NA,NA,NA,NA,NA,NA,NA,601564.875000,9.261631,199.875000,0.003409,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31722.365234,52341902,0.006013,18.095888,18.095955,0.006073,51230,0.164482,1601,0.005922,601931.375000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601929.125000,9.279943,200.000000,0.003416,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31712.679688,52325921,0.006011,18.089754,18.089821,0.006071,51197,0.164483,1600,0.005961,601543.625000,201.875000,NA,NA,NA,NA,NA,NA,NA,NA,601541.375000,9.276797,199.875000,0.003415,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31795.044922,52461826,0.005999,18.054874,18.054941,0.006059,51231,0.164027,1601,0.005873,601943.125000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601940.875000,9.258910,200.000000,0.003408,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31786.662109,52447991,0.005997,18.048355,18.048424,0.006057,51199,0.164819,1600,0.005905,601567.125000,201.875000,NA,NA,NA,NA,NA,NA,NA,NA,601564.875000,9.255567,199.875000,0.003407,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32096.621094,52959425,0.005943,17.886282,17.886347,0.006002,51234,0.172738,1601,0.005831,601978.375000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601976.125000,9.172452,200.000000,0.003376,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32064.501953,52906427,0.005945,17.892315,17.892382,0.006004,51200,0.173110,1600,0.005911,601578.875000,201.875000,NA,NA,NA,NA,NA,NA,NA,NA,601576.625000,9.175546,199.875000,0.003378,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32153.521484,53053311,0.005928,17.843126,17.843195,0.005988,51201,0.175257,1600,0.006030,601590.625000,201.875000,NA,NA,NA,NA,NA,NA,NA,NA,601588.375000,9.150321,199.875000,0.003368,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32173.277344,53085908,0.005928,17.842968,17.843037,0.005988,51232,0.175217,1601,0.006099,601954.875000,202.000000,NA,NA,NA,NA,NA,NA,NA,NA,601952.625000,9.150240,200.000000,0.003368,
