block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31774.201172,52427432,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31765.845703,52413644,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31722.365234,52341902,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31712.679688,52325921,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31795.044922,52461826,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31786.662109,52447991,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32096.621094,52959425,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32064.501953,52906427,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32153.521484,53053311,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32173.277344,53085908,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31829.841797,52519242,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31878.128906,52598910,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32128.189453,53011513,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32153.246094,53052857,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32043.011719,52870969,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32060.089844,52899148,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31767.205078,52415888,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31772.058594,52423898,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31743.882812,52377408,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31696.972656,52300005,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31763.390625,52409596,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31746.302734,52381398,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31839.660156,52535438,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31819.306641,52501856,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31902.710938,52639471,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31937.730469,52697255,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32039.316406,52864871,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32062.535156,52903182,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31670.345703,52256071,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31731.617188,52357169,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31746.564453,52381834,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31735.535156,52363632,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31753.238281,52392844,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31709.394531,52320501,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32016.863281,52827825,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32001.888672,52803116,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31920.625000,52669031,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31908.972656,52649805,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31773.193359,52425769,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31807.615234,52482564,
