block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,31774.201172,52427432,66.851341,36.499298,0.024015,0.048025,
1,vector0,NA,NA,31765.845703,52413644,66.825821,36.485367,0.024005,0.048007,
2,vector0,NA,NA,31722.365234,52341902,66.957962,36.557507,0.024053,0.048102,
3,vector0,NA,NA,31712.679688,52325921,66.935234,36.545101,0.024045,0.048086,
4,vector0,NA,NA,31795.044922,52461826,66.804909,36.473942,0.023998,0.047992,
5,vector0,NA,NA,31786.662109,52447991,66.780754,36.460762,0.023989,0.047975,
6,vector0,NA,NA,32096.621094,52959425,66.179802,36.132652,0.023773,0.047543,
7,vector0,NA,NA,32064.501953,52906427,66.202095,36.144829,0.023781,0.047559,
8,vector0,NA,NA,32153.521484,53053311,66.018814,36.044758,0.023716,0.047427,
9,vector0,NA,NA,32173.277344,53085908,66.018250,36.044449,0.023715,0.047427,
10,vector0,NA,NA,31829.841797,52519242,66.691467,36.412010,0.023957,0.047911,
11,vector0,NA,NA,31878.128906,52598910,66.630791,36.378880,0.023935,0.047867,
12,vector0,NA,NA,32128.189453,53011513,66.073448,36.074585,0.023735,0.047467,
13,vector0,NA,NA,32153.246094,53052857,66.059380,36.066902,0.023730,0.047456,
14,vector0,NA,NA,32043.011719,52870969,66.245201,36.168358,0.023797,0.047590,
15,vector0,NA,NA,32060.089844,52899148,66.209915,36.149090,0.023784,0.047565,
16,vector0,NA,NA,31767.205078,52415888,66.866066,36.507336,0.024020,0.048036,
17,vector0,NA,NA,31772.058594,52423898,66.811447,36.477520,0.024000,0.047997,
18,vector0,NA,NA,31743.882812,52377408,66.912575,36.532726,0.024037,0.048069,
19,vector0,NA,NA,31696.972656,52300005,66.968407,36.563213,0.024057,0.048109,
20,vector0,NA,NA,31763.390625,52409596,66.872787,36.511002,0.024022,0.048041,
21,vector0,NA,NA,31746.302734,52381398,66.865654,36.507114,0.024020,0.048036,
22,vector0,NA,NA,31839.660156,52535438,66.709991,36.422123,0.023964,0.047924,
23,vector0,NA,NA,31819.306641,52501856,66.710938,36.422638,0.023964,0.047925,
24,vector0,NA,NA,31902.710938,52639471,66.536530,36.327419,0.023901,0.047799,
25,vector0,NA,NA,31937.730469,52697255,66.506447,36.310989,0.023891,0.047778,
26,vector0,NA,NA,32039.316406,52864871,66.254135,36.173241,0.023800,0.047596,
27,vector0,NA,NA,32062.535156,52903182,66.248863,36.170353,0.023798,0.047593,
28,vector0,NA,NA,31670.345703,52256071,67.026024,36.594669,0.024077,0.048151,
29,vector0,NA,NA,31731.617188,52357169,66.939751,36.547562,0.024046,0.048089,
30,vector0,NA,NA,31746.564453,52381834,66.863792,36.506096,0.024019,0.048034,
31,vector0,NA,NA,31735.535156,52363632,66.890953,36.520927,0.024029,0.048054,
32,vector0,NA,NA,31753.238281,52392844,66.895477,36.523392,0.024030,0.048057,
33,vector0,NA,NA,31709.394531,52320501,66.942169,36.548889,0.024047,0.048091,
34,vector0,NA,NA,32016.863281,52827825,66.343369,36.221951,0.023832,0.047660,
35,vector0,NA,NA,32001.888672,52803116,66.330330,36.214836,0.023827,0.047651,
36,vector0,NA,NA,31920.625000,52669031,66.542084,36.330448,0.023903,0.047803,
37,vector0,NA,NA,31908.972656,52649805,66.526077,36.321712,0.023898,0.047792,
38,vector0,NA,NA,31773.193359,52425769,66.849541,36.498314,0.024014,0.048024,
39,vector0,NA,NA,31807.615234,52482564,66.709381,36.421787,0.023964,0.047923,
