block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31774.201172,52427432,12319.772461,0.387729,20900.740234,0.657790,5250.399414,0.165241,190.490295,0.005995,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31765.845703,52413644,12311.833008,0.387581,20886.650391,0.657519,5249.550781,0.165258,193.149094,0.006080,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31722.365234,52341902,12319.291016,0.388347,20901.556641,0.658890,5217.748535,0.164482,187.868484,0.005922,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31712.679688,52325921,12311.350586,0.388215,20886.796875,0.658626,5216.211914,0.164483,189.053940,0.005961,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31795.044922,52461826,12319.291016,0.387459,20899.960938,0.657334,5215.231445,0.164027,186.739395,0.005873,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31786.662109,52447991,12311.591797,0.387319,20889.304688,0.657172,5239.036133,0.164819,187.689697,0.005905,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32096.621094,52959425,12319.772461,0.383834,20903.302734,0.651262,5544.312012,0.172738,187.156357,0.005831,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32064.501953,52906427,12311.591797,0.383963,20890.742188,0.651522,5550.686523,0.173110,189.524246,0.005911,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32153.521484,53053311,12311.591797,0.382900,20890.412109,0.649708,5635.134766,0.175257,193.891510,0.006030,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32173.277344,53085908,12319.049805,0.382897,20904.615234,0.649751,5637.311523,0.175217,196.214539,0.006099,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31829.841797,52519242,12311.833008,0.386802,20889.820312,0.656297,5280.698730,0.165904,207.679398,0.006525,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31878.128906,52598910,12319.291016,0.386450,20899.947266,0.655620,5301.906738,0.166318,209.604248,0.006575,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32128.189453,53011513,12312.072266,0.383217,20893.320312,0.650311,5594.456543,0.174129,194.847885,0.006065,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32153.246094,53052857,12319.049805,0.383135,20904.167969,0.650142,5619.436523,0.174770,195.715149,0.006087,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32043.011719,52870969,12311.350586,0.384213,20888.636719,0.651894,5540.658203,0.172913,188.059998,0.005869,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32060.089844,52899148,12311.350586,0.384009,20889.132812,0.651562,5543.187988,0.172900,189.322418,0.005905,0.000000,
