block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,31774.201172,52427432,0.035159,0.001953,0.033206,0.000000,0.000000,0.229283,0.000000,0.000000,0.018678,
1,vector0,NA,NA,NA,NA,NA,NA,31765.845703,52413644,0.035146,0.001953,0.033193,0.000000,0.000000,0.229541,0.000000,0.000000,0.018671,
2,vector0,NA,NA,NA,NA,NA,NA,31722.365234,52341902,0.035215,0.001956,0.033259,0.000000,0.000000,0.227966,0.000000,0.000000,0.018708,
3,vector0,NA,NA,NA,NA,NA,NA,31712.679688,52325921,0.035203,0.001956,0.033248,0.000000,0.000000,0.227787,0.000000,0.000000,0.018702,
4,vector0,NA,NA,NA,NA,NA,NA,31795.044922,52461826,0.035135,0.001952,0.033183,0.000000,0.000000,0.228772,0.000000,0.000000,0.018665,
5,vector0,NA,NA,NA,NA,NA,NA,31786.662109,52447991,0.035122,0.001951,0.033171,0.000000,0.000000,0.229523,0.000000,0.000000,0.018659,
6,vector0,NA,NA,NA,NA,NA,NA,32096.621094,52959425,0.034806,0.001934,0.032872,0.000000,0.000000,0.236198,0.000000,0.000000,0.018491,
7,vector0,NA,NA,NA,NA,NA,NA,32064.501953,52906427,0.034818,0.001934,0.032883,0.000000,0.000000,0.236215,0.000000,0.000000,0.018497,
8,vector0,NA,NA,NA,NA,NA,NA,32153.521484,53053311,0.034721,0.001929,0.032792,0.000000,0.000000,0.238049,0.000000,0.000000,0.018446,
9,vector0,NA,NA,NA,NA,NA,NA,32173.277344,53085908,0.034721,0.001929,0.032792,0.000000,0.000000,0.238560,0.000000,0.000000,0.018446,
10,vector0,NA,NA,NA,NA,NA,NA,31829.841797,52519242,0.035075,0.001949,0.033127,0.000000,0.000000,0.229516,0.000000,0.000000,0.018634,
11,vector0,NA,NA,NA,NA,NA,NA,31878.128906,52598910,0.035043,0.001947,0.033096,0.000000,0.000000,0.230713,0.000000,0.000000,0.018617,
12,vector0,NA,NA,NA,NA,NA,NA,32128.189453,53011513,0.034750,0.001931,0.032820,0.000000,0.000000,0.237469,0.000000,0.000000,0.018461,
13,vector0,NA,NA,NA,NA,NA,NA,32153.246094,53052857,0.034743,0.001930,0.032813,0.000000,0.000000,0.238088,0.000000,0.000000,0.018457,
14,vector0,NA,NA,NA,NA,NA,NA,32043.011719,52870969,0.034840,0.001936,0.032905,0.000000,0.000000,0.236672,0.000000,0.000000,0.018509,
15,vector0,NA,NA,NA,NA,NA,NA,32060.089844,52899148,0.034822,0.001935,0.032887,0.000000,0.000000,0.236444,0.000000,0.000000,0.018499,
16,vector0,NA,NA,NA,NA,NA,NA,31767.205078,52415888,0.035167,0.001954,0.033213,0.000000,0.000000,0.228566,0.000000,0.000000,0.018682,
17,vector0,NA,NA,NA,NA,NA,NA,31772.058594,52423898,0.035138,0.001952,0.033186,0.000000,0.000000,0.227794,0.000000,0.000000,0.018667,
18,vector0,NA,NA,NA,NA,NA,NA,31743.882812,52377408,0.035191,0.001955,0.033236,0.000000,0.000000,0.227613,0.000000,0.000000,0.018695,
19,vector0,NA,NA,NA,NA,NA,NA,31696.972656,52300005,0.035221,0.001957,0.033264,0.000000,0.000000,0.227840,0.000000,0.000000,0.018711,
20,vector0,NA,NA,NA,NA,NA,NA,31763.390625,52409596,0.035171,0.001954,0.033217,0.000000,0.000000,0.228256,0.000000,0.000000,0.018684,
21,vector0,NA,NA,NA,NA,NA,NA,31746.302734,52381398,0.035167,0.001954,0.033213,0.000000,0.000000,0.228552,0.000000,0.000000,0.018682,
22,vector0,NA,NA,NA,NA,NA,NA,31839.660156,52535438,0.035085,0.001949,0.033136,0.000000,0.000000,0.230754,0.000000,0.000000,0.018639,
23,vector0,NA,NA,NA,NA,NA,NA,31819.306641,52501856,0.035085,0.001949,0.033136,0.000000,0.000000,0.230379,0.000000,0.000000,0.018639,
24,vector0,NA,NA,NA,NA,NA,NA,31902.710938,52639471,0.034994,0.001944,0.033050,0.000000,0.000000,0.232979,0.000000,0.000000,0.018590,
25,vector0,NA,NA,NA,NA,NA,NA,31937.730469,52697255,0.034978,0.001943,0.033035,0.000000,0.000000,0.233133,0.000000,0.000000,0.018582,
26,vector0,NA,NA,NA,NA,NA,NA,32039.316406,52864871,0.034845,0.001936,0.032909,0.000000,0.000000,0.234500,0.000000,0.000000,0.018511,
