block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30698.453125,50652449,0.401316,0.143543,0.000000,0.000000,0.000000,0.016174,491548928,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30908.857422,50999618,0.398638,0.142586,0.000000,0.000000,0.000000,0.016066,491616128,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30912.894531,51006275,0.398610,0.142576,0.000000,0.000000,0.000000,0.016065,491644928,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30603.835938,50496328,0.402124,0.143833,0.000000,0.000000,0.000000,0.016207,491020928,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30645.990234,50565883,0.402081,0.143817,0.000000,0.000000,0.000000,0.016205,491644928,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30819.503906,50852181,0.399755,0.142985,0.000000,0.000000,0.000000,0.016111,491568128,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30830.917969,50871014,0.399591,0.142927,0.000000,0.000000,0.000000,0.016104,491548928,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30701.466797,50657421,0.400759,0.143344,0.000000,0.000000,0.000000,0.016152,490915328,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30743.505859,50726786,0.400743,0.143339,0.000000,0.000000,0.000000,0.016151,491568128,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30645.591797,50565227,0.401984,0.143783,0.000000,0.000000,0.000000,0.016201,491520128,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30613.687500,50512585,0.401916,0.143758,0.000000,0.000000,0.000000,0.016198,490924928,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30678.890625,50620170,0.401619,0.143652,0.000000,0.000000,0.000000,0.016186,491606528,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30685.679688,50631373,0.401545,0.143626,0.000000,0.000000,0.000000,0.016183,491625728,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30953.177734,51072746,0.398083,0.142387,0.000000,0.000000,0.000000,0.016044,491635328,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30895.650391,50977826,0.398326,0.142474,0.000000,0.000000,0.000000,0.016053,491020928,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31080.937500,51283549,0.396447,0.141802,0.000000,0.000000,0.000000,0.015978,491635328,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31090.421875,51299196,0.396318,0.141756,0.000000,0.000000,0.000000,0.015973,491625728,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30719.535156,50687233,0.400586,0.143282,0.000000,0.000000,0.000000,0.016145,490992128,
