block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30698.453125,50652449,418,400,2400800,7040,2400659,7048,51.100243,99.707443,99.699196,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30908.857422,50999618,418,400,2402486,5583,2402683,5547,51.100243,99.768906,99.760643,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30912.894531,51006275,418,400,2405319,3052,2405140,3070,51.100243,99.872894,99.864616,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30603.835938,50496328,418,399,2399828,5420,2399790,5433,51.162792,99.774384,99.766129,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30645.990234,50565883,418,400,2407059,1266,2407080,1270,51.100243,99.947350,99.939056,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30819.503906,50852181,418,400,2401982,6049,2401887,6005,51.100243,99.749710,99.741447,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30830.917969,50871014,418,400,2395250,12595,2395363,12621,51.100243,99.476395,99.468178,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30701.466797,50657421,417,400,2403835,914,2403934,942,51.040390,99.961411,99.953102,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30743.505859,50726786,418,400,2406015,2104,2405898,2094,51.100243,99.912834,99.904541,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30645.591797,50565227,418,400,2405852,2047,2405709,2033,51.100243,99.915276,99.906982,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30613.687500,50512585,418,399,2404141,687,2404282,703,51.162792,99.971100,99.962814,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30678.890625,50620170,418,400,2406685,1337,2407204,1355,51.100243,99.944107,99.935814,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30685.679688,50631373,418,400,2408276,424,2407755,408,51.100243,99.982727,99.974426,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30953.177734,51072746,418,400,2404634,2234,2407873,2216,51.100243,99.907616,99.899330,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30895.650391,50977826,417,400,2405595,1486,2402378,1482,51.040390,99.938309,99.930008,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31080.937500,51283549,418,400,2406361,2006,2406776,2002,51.100243,99.916794,99.908508,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31090.421875,51299196,418,400,2406405,2326,2406008,2312,51.100243,99.903717,99.895432,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30719.535156,50687233,418,399,2400883,4905,2400134,4925,51.162792,99.795670,99.787407,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30757.619141,50750071,418,400,2407834,515,2408569,509,51.100243,99.978745,99.970451,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30768.361328,50767795,418,400,2403625,4862,2403688,4782,51.100243,99.799789,99.791519,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30772.078125,50773929,418,400,2406964,1835,2406937,1879,51.100243,99.922913,99.914619,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30629.302734,50538348,417,400,2404575,864,2404268,858,51.040390,99.964203,99.955902,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30668.552734,50603110,418,400,2407021,1066,2407332,1068,51.100243,99.955696,99.947395,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30737.216797,50716406,418,400,2407529,1031,2408138,1011,51.100243,99.957611,99.949326,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30694.189453,50645411,418,399,2405740,307,2405145,313,51.162792,99.987114,99.978828,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30722.796875,50692614,418,400,2408042,789,2407335,791,51.100243,99.967201,99.958900,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30735.056641,50712843,418,400,2405773,2776,2406464,2790,51.100243,99.884476,99.876190,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30778.662109,50784790,418,400,2407345,2037,2406750,2047,51.100243,99.915237,99.906952,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30740.603516,50721996,417,400,2405605,372,2406190,372,51.040390,99.984535,99.976227,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30757.359375,50749643,418,400,2408242,827,2408573,819,51.100243,99.965843,99.957542,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30766.765625,50765164,418,400,2405061,4566,2404690,4614,51.100243,99.809502,99.801231,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30672.111328,50608985,418,399,2405686,1074,2405661,1058,51.162792,99.955704,99.947433,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30710.695312,50672649,418,400,2408817,534,2408840,552,51.100243,99.977463,99.969162,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30791.621094,50806177,418,400,2408276,1294,2408245,1304,51.100243,99.946091,99.937798,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30798.656250,50817784,418,400,2409145,1015,2409158,1023,51.100243,99.957718,99.949432,
