block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30698.453125,50652449,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30908.857422,50999618,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30912.894531,51006275,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30603.835938,50496328,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30645.990234,50565883,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30819.503906,50852181,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30830.917969,50871014,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30701.466797,50657421,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30743.505859,50726786,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30645.591797,50565227,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30613.687500,50512585,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30678.890625,50620170,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30685.679688,50631373,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30953.177734,51072746,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30895.650391,50977826,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31080.937500,51283549,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31090.421875,51299196,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30719.535156,50687233,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30757.619141,50750071,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30768.361328,50767795,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30772.078125,50773929,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30629.302734,50538348,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30668.552734,50603110,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30737.216797,50716406,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30694.189453,50645411,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30722.796875,50692614,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30735.056641,50712843,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30778.662109,50784790,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30740.603516,50721996,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30757.359375,50749643,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30766.765625,50765164,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30672.111328,50608985,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30710.695312,50672649,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30791.621094,50806177,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30798.656250,50817784,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30650.410156,50573177,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30692.154297,50642055,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30684.474609,50629384,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30700.570312,50655939,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30673.046875,50610526,
